trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,3727.000000000000000000000000000000,3947,4776,2.426852101355791102577086348902,15,0.911944730758666999292927357601
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,64.000000000000000000000000000000,477,1294,7.059569869057275681711871584412,3,0.115188466887921101000635815126
2,2_0,RUNNING,Sobol,GenerationStep_0,,,2324,2937,4.984084343263879723906484286999,19,0.261974101036787032636965477650
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,606.000000000000000000000000000000,3214,627,9.578959563182666059333314478863,6,0.710763393921777564266051285813
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,3.000000000000000000000000000000,2575,3461,5.133793137258850336479554243851,9,0.530782207138836392701364275126
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,209.000000000000000000000000000000,1597,145,0.382688906221650582129001350040,16,0.449386862760409733219546524197
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,1234,4122,7.613523780889809522420819121180,5,0.175444864289835106285764254608
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,4048.000000000000000000000000000000,4637,1978,2.824566339492797784060940102790,13,0.844500157017260777436717944511
8,8_0,RUNNING,Sobol,GenerationStep_0,,,4758,2549,8.211337752038613047034232295118,18,0.028722819142043592294255560660
9,9_0,RUNNING,Sobol,GenerationStep_0,,,662,1032,3.461448887171223898207017555251,10,0.952177326759323428007064649137
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,6.000000000000000000000000000000,1552,4388,5.771207156204619437289693451021,12,0.672601819606497897119368190033
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,2.000000000000000000000000000000,3067,1698,0.981034646631218532064622195321,4,0.346612363640218967830719520862
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,3639,3904,4.347280614845455026795661979122,1,0.411589822629466639547501927154
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,651.000000000000000000000000000000,2036,2220,8.981224113300442013496649451554,14,0.615786892589181622525984494132
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,2.000000000000000000000000000000,131,3242,1.828427904865704389791858375247,8,0.757424419209361099447619380953
15,15_0,RUNNING,Sobol,GenerationStep_0,,,4158,386,6.422077030851506052044896932784,20,0.215069304434582581064816508842
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,2.000000000000000000000000000000,4271,3325,3.330138141836971321652072219877,4,0.748226797904819274087628855341
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,1803.000000000000000000000000000000,173,557,8.733042489860206814000775921158,12,0.294560630628839137390428959407
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,1436.000000000000000000000000000000,1998,3908,0.809602960999123766328011697624,9,0.082719816980883473234165137455
19,19_0,RUNNING,Sobol,GenerationStep_0,,,3520,2468,6.177105988535099179159715276910,16,0.874606845691800138808957854053
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,13.000000000000000000000000000000,2881,4676,9.074495104392990896258197608404,18,0.819219392528757417437645926839
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,421.000000000000000000000000000000,1271,1742,3.863231815738603636134484986542,6,0.145294835828244678355147811999
22,22_0,RUNNING,Sobol,GenerationStep_0,,,930,2760,6.631472184409387793380119546782,15,0.479418966922909028927080044014
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.750000000000000000000000000000,11.000000000000000000000000000000,4960,1154,1.384796847504563555020240528393,2,0.555937481524422794088025057135
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,1.000000000000000000000000000000,4437,4313,7.229741452257149703086724912282,7,0.317189360594376912327874151742
25,25_0,RUNNING,Sobol,GenerationStep_0,,,964,2081,2.022134691881947166081090472289,20,0.648055705823004202237314075319
26,26_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,1.000000000000000000000000000000,1871,3730,9.711453752141446571499727724586,1,0.976605337787419536255129060009
