trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.560000000000000053290705182008,299.000000000000000000000000000000,4326,334,8.902904439270496794733844581060,6,0.139292275786399855075359255352
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,1558,2831,0.415698252138681723089064234955,18,0.647721878206357404295090418600
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,960,1337,5.115354505619034597430072608404,2,0.931618230795487778372887532896
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,3195,3859,4.200958767518401693052965129027,13,0.407091386213898676071920590402
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,2532,2052,2.114246227820403944974714249838,11,0.344392490806058049201965332031
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,375,4550,8.727783846511504961540595104452,3,0.868530060838907935760744294384
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,2145,1181,3.399604766555130552774244279135,17,0.585215237867087179068903424195
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,4991,3703,7.439832150397823085086201899685,8,0.076137476565316317134168855318
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,4677,1853,2.702892533790320239717175354599,5,0.707015984365716554371772417653
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,2457,4361,6.733071728454903315252977336058,12,0.201890909422188985500312696786
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,32.000000000000000000000000000000,62,230,1.415266861104406359572749352083,10,0.472044758249074214440099694912
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,2844,2703,8.018103089037351693946220621001,17,0.992322915086522705507832142757
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,5023.000000000000000000000000000000,3509,759,5.659536943102255968085501081077,20,0.805887645922601203452018125972
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,649,3267,4.752748530063779064391837891890,7,0.285267806602641948998666521220
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,1872,2261,9.444471472303382242330371809658,15,0.015507037533447145388754151440
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,4014,4734,0.965526025996543468821187161666,2,0.520062002204358608814516173879
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,3861,2461,6.259746623051353431321786047192,16,0.392126317333430063349908323289
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,1702,4924,2.863605796477757259310692461440,9,0.885122118653729583748202003335
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,2402.000000000000000000000000000000,821,793,7.544953185141086926535081147449,11,0.662185488583520109884261728439
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,3659,3310,1.576110030299052500168954793480,4,0.184340865623205896195457853537
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.579999999999999960031971113494,2.000000000000000000000000000000,2994,117,4.602432797967456856724766112166,1,0.122717344200238581697348649868
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,234,2580,6.122464406167157591198701993562,14,0.599974725082516702201473890455
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,2287,1574,0.815035055143758735418657579430,6,0.823428164616227142857951548649
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,4524,4091,9.907268991611898556470805488061,19,0.330104005550965640125582467590
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,19.000000000000000000000000000000,4838,980,0.273315309794619709649055039336,14,0.945263353182002941110795291024
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,1976,3512,9.357899010147900042966284672730,3,0.455815739117562790383431092778
26,26_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,547,2017,4.058403007614426627469583763741,20,0.250396320603787858605215888019
27,27_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,2682,4505,5.570217000224627845739178155782,7,0.723748603476211394003314580914
28,28_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,3345,1448,8.244085198987274765158872469328,9,0.536481374729424698166724283510
29,29_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,1132,3980,2.285333144376054281821097902139,18,0.062498072216287253732858175681
30,30_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,1.000000000000000000000000000000,3111,983,0.001000000000000000020816681712,1,0.952263277476386837960831144301
31,31_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,2.000000000000000000000000000000,1,1,0.001000000000000000020816681712,1,0.998999999999999999111821580300
32,32_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,1.000000000000000000000000000000,4171,234,0.001000000000000000020816681712,1,0.998999999999999999111821580300
33,33_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,4.000000000000000000000000000000,1,214,10.000000000000000000000000000000,1,0.001000000000000000020816681712
34,34_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,1045,0.001000000000000000020816681712,4,0.998999999999999999111821580300
35,35_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,3.000000000000000000000000000000,4274,911,0.001000000000000000020816681712,1,0.001000000000000000020816681712
36,36_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,53.000000000000000000000000000000,448,1,10.000000000000000000000000000000,1,0.001000000000000000020816681712
37,37_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,149.000000000000000000000000000000,5000,1,0.001000000000000000020816681712,4,0.998999999999999999111821580300
38,38_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,297,0.001000000000000000020816681712,1,0.998999999999999999111821580300
39,39_0,COMPLETED,BoTorch,GenerationStep_1,0.569999999999999951150186916493,2.000000000000000000000000000000,5000,164,10.000000000000000000000000000000,1,0.998999999999999999111821580300
40,40_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,2154,1015,10.000000000000000000000000000000,1,0.001000000000000000020816681712
41,41_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,4.000000000000000000000000000000,1136,240,0.001000000000000000020816681712,1,0.001000000000000000020816681712
42,42_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,1040,0.001000000000000000020816681712,3,0.001000000000000000020816681712
43,43_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,23.000000000000000000000000000000,5000,101,10.000000000000000000000000000000,4,0.001000000000000000020816681712
44,44_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,52.000000000000000000000000000000,5000,1,0.001000000000000000020816681712,1,0.001000000000000000020816681712
45,45_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,1063,0.001000000000000000020816681712,6,0.998999999999999999111821580300
