trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,const,max_depth,threshold
0,0_0,RUNNING,GenerationStep_0,,,347,3761,1.359458736926317135029762539489,20,0.724595232725143478802465324407
1,1_0,COMPLETED,GenerationStep_0,0.570000000000000062172489379009,776.000000000000000000000000000000,4287,1288,8.304375004541128646451397798955,7,0.129625409200787550245692614226
2,2_0,RUNNING,GenerationStep_0,,,2669,3282,4.954222012748942027826615230879,12,0.363477293230593190287436300423
3,3_0,COMPLETED,GenerationStep_0,0.570000000000000062172489379009,294.000000000000000000000000000000,1291,809,5.332717966020108057989546068711,5,0.771307331835851095469536176097
4,4_0,COMPLETED,GenerationStep_0,0.359999999999999986677323704498,14.000000000000000000000000000000,2399,2930,9.988945580160244475109720951878,1,0.957714273849502251145793252363
5,5_0,RUNNING,GenerationStep_0,,,3445,403,0.387669260963797612795644909056,13,0.422184315320104364133158014738
6,6_0,RUNNING,GenerationStep_0,,,4448,4951,6.392044778900221935202807799214,9,0.063597429055720564039511089049
7,7_0,FAILED,GenerationStep_0,,,801,2424,3.357801467146724672119262322667,16,0.536737627761438518270153963385
8,8_0,FAILED,GenerationStep_0,,,1088,3612,6.973691442892887337734464381356,15,0.225734784627333290307760194082
9,9_0,COMPLETED,GenerationStep_0,0.579999999999999960031971113494,72.000000000000000000000000000000,4944,1125,2.689493864889256791173011151841,3,0.627785573374480043717937860492
10,10_0,FAILED,GenerationStep_0,,,3415,4071,9.319495769117958516858379880432,17,0.861637219462543679782129402156
11,11_0,COMPLETED,GenerationStep_0,0.550000000000000044408920985006,289.000000000000000000000000000000,1963,1583,0.968016375645063820165603374335,10,0.272446670891717090956518632083
12,12_0,FAILED,GenerationStep_0,,,1812,4641,4.373870148797520229777546774130,6,0.458362705631181588383782354867
13,13_0,COMPLETED,GenerationStep_0,0.419999999999999984456877655248,2220.000000000000000000000000000000,2931,2129,6.002172563581727793291520356433,19,0.921810226649045993951858690707
14,14_0,COMPLETED,GenerationStep_0,0.489999999999999991118215802999,70.000000000000000000000000000000,3865,2600,2.027761571289039999044234718895,4,0.563223102442920176002871812670
15,15_0,FAILED,GenerationStep_0,,,302,88,7.722733127067797909148794133216,11,0.037385821601375941736211672151
16,16_0,COMPLETED,GenerationStep_0,0.309999999999999997779553950750,6040.000000000000000000000000000000,65,2722,2.906893615301698652331197081367,8,0.803537214640527963638305664062
17,17_0,FAILED,GenerationStep_0,,,3945,200,7.351973073707894101858073554467,16,0.331371143849566562877839714929
18,18_0,COMPLETED,GenerationStep_0,0.400000000000000022204460492503,19.000000000000000000000000000000,3012,4451,0.877831190243363423952871471556,1,0.159770061666145934964333719108
19,19_0,COMPLETED,GenerationStep_0,0.450000000000000011102230246252,5939.000000000000000000000000000000,1575,1929,8.755487931733950901502794295084,14,0.694326829176396098652901400783
20,20_0,FAILED,GenerationStep_0,,,2038,4340,5.902183096617460655863851570757,12,0.504508226417005101183121951181
21,21_0,COMPLETED,GenerationStep_0,0.429999999999999993338661852249,27.000000000000000000000000000000,3183,1862,3.800060413798317604516796563985,4,0.095703096976503726489582390968
22,22_0,FAILED,GenerationStep_0,,,4712,3568,7.930331575851888636918829433853,20,0.392038244498893628797731025770
23,23_0,COMPLETED,GenerationStep_0,0.530000000000000026645352591004,41.000000000000000000000000000000,1163,1090,2.396239516528323232336106229923,8,0.987984070658683766197327713598
24,24_0,COMPLETED,GenerationStep_0,0.380000000000000004440892098501,6790.000000000000000000000000000000,726,4751,8.521663920025341454334011359606,4,0.304671761400997664903655959279
25,25_0,COMPLETED,GenerationStep_0,0.470000000000000028865798640254,6301.000000000000000000000000000000,4680,2233,1.737774934978224328219198469014,12,0.829535854941233941062250778486
26,26_0,COMPLETED,GenerationStep_0,0.489999999999999991118215802999,2461.000000000000000000000000000000,3678,3042,5.242419561742805989013049838832,6,0.657935010699555289370721311570
27,27_0,FAILED,GenerationStep_0,,,2324,525,4.390251145173795777054692734964,18,0.195461613878607748384652609275
28,28_0,FAILED,GenerationStep_0,,,1528,3248,0.287645245387218917443306054338,18,0.005159309018403291854926173698
29,29_0,COMPLETED,GenerationStep_0,0.520000000000000017763568394003,3812.000000000000000000000000000000,2589,765,9.415246717338449755629881110508,10,0.595325889037922051372220266785
30,30_0,FAILED,GenerationStep_0,,,4206,4039,3.565362983371131111454133133520,15,0.891661274502053902146769814863
31,31_0,COMPLETED,GenerationStep_0,0.470000000000000028865798640254,19.000000000000000000000000000000,584,1556,6.760635980264284583540757012088,2,0.488635391201823976459195364441
32,32_0,FAILED,GenerationStep_0,,,521,3414,9.075908217134886157850814925041,7,0.548138478990644162358591984230
33,33_0,COMPLETED,GenerationStep_0,0.600000000000000088817841970013,6877.000000000000000000000000000000,4065,931,1.173765989431180045698965841439,20,0.083777871409431103888465486307
34,34_0,FAILED,GenerationStep_0,,,2574,3873,7.041353177330456958316062809899,5,0.411300749437883472747756741228
35,35_0,COMPLETED,GenerationStep_0,0.530000000000000026645352591004,4937.000000000000000000000000000000,1435,1390,2.581552881148643674436016226537,12,0.938052068609744327254418294615
36,36_0,FAILED,GenerationStep_0,,,2222,4917,2.077113397932611515983580829925,14,0.752139361336827239057356564444
