trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,batch_size,divergence,statistic,significance,subsets,detect_batch
0,0_0,COMPLETED,SOBOL,0.040000000000000000832667268469,4.000000000000000000000000000000,0.000000000000000000000000000000,134,11,950,str\(\'H\'\),str\(\'stdev\'\),0.524923564672470144287785842607,10,2
1,1_0,COMPLETED,SOBOL,0.040000000000000000832667268469,10.000000000000000000000000000000,0.000000000000000000000000000000,3822,4,3262,str\(\'KL\'\),str\(\'tstat\'\),0.102080685734748835558072244112,98,1
2,2_0,COMPLETED,SOBOL,0.040000000000000000832667268469,6.000000000000000000000000000000,0.000000000000000000000000000000,2627,19,1297,str\(\'H\'\),str\(\'tstat\'\),0.290300395274534828171653089157,54,1
3,3_0,COMPLETED,SOBOL,0.040000000000000000832667268469,4.000000000000000000000000000000,0.000000000000000000000000000000,1310,7,4146,str\(\'KL\'\),str\(\'stdev\'\),0.834238465819507890586237408570,41,2
4,4_0,COMPLETED,SOBOL,0.040000000000000000832667268469,4.000000000000000000000000000000,0.000000000000000000000000000000,2083,16,2872,str\(\'KL\'\),str\(\'tstat\'\),0.472559093490242942969814521348,77,3
5,5_0,COMPLETED,SOBOL,0.040000000000000000832667268469,4.000000000000000000000000000000,0.000000000000000000000000000000,3436,10,105,str\(\'H\'\),str\(\'stdev\'\),0.903474838471040153642377390497,14,1
6,6_0,COMPLETED,SOBOL,0.059999999999999997779553950750,3.000000000000000000000000000000,0.000000000000000000000000000000,4575,14,4410,str\(\'KL\'\),str\(\'stdev\'\),0.705265260148793426964175523608,36,3
7,7_0,COMPLETED,SOBOL,0.040000000000000000832667268469,4.000000000000000000000000000000,0.000000000000000000000000000000,924,2,2337,str\(\'H\'\),str\(\'tstat\'\),0.169335312256589543000728781408,74,2
8,8_0,COMPLETED,SOBOL,0.040000000000000000832667268469,4.000000000000000000000000000000,0.000000000000000000000000000000,1106,20,4942,str\(\'H\'\),str\(\'tstat\'\),0.429195594057440732438379882296,49,3
9,9_0,COMPLETED,SOBOL,0.059999999999999997779553950750,4.000000000000000000000000000000,0.000000000000000000000000000000,4960,5,2098,str\(\'KL\'\),str\(\'stdev\'\),0.945875209217891144142242865200,61,2
10,10_0,COMPLETED,SOBOL,0.059999999999999997779553950750,2.000000000000000000000000000000,0.000000000000000000000000000000,3598,12,2809,str\(\'H\'\),str\(\'stdev\'\),0.630708609599620051433532808005,90,3
