trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,feature_id,batch_size,divergence,detect_batch,statistic,significance,subsets
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.029999999999999998889776975375,1245.000000000000000000000000000000,4793,0,4879,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.405248029232025130941252655248,31
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.080000000000000001665334536938,1274.000000000000000000000000000000,1484,3,1871,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.603530787652358458039714150800,81
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.029999999999999998889776975375,1561.000000000000000000000000000000,1095,1,2906,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.095135870818048709485204028624,63
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.040000000000000000832667268469,1336.000000000000000000000000000000,2630,4,992,str\(\'H\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.894150630300864612820532784099,14
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.029999999999999998889776975375,1196.000000000000000000000000000000,3417,2,2388,str\(\'H\'\),3.000000000000000000000000000000,str\(\'tstat\'\),0.158428100913763053592120400026,54
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.040000000000000000832667268469,1437.000000000000000000000000000000,318,4,4301,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.832807618955150208428506175551,5
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.029999999999999998889776975375,1688.000000000000000000000000000000,1948,1,454,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.343904937952756895036543483002,40
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.029999999999999998889776975375,1787.000000000000000000000000000000,4318,2,3462,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.666823088387027418377783760661,91
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.029999999999999998889776975375,4489.000000000000000000000000000000,3815,1,181,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.247306099632754933237421823833,61
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.040000000000000000832667268469,1249.000000000000000000000000000000,2460,4,3422,str\(\'H\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.757559042185544928571516720694,11
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.029999999999999998889776975375,1228.000000000000000000000000000000,275,0,1958,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.253332866529002775912715605955,47
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.080000000000000001665334536938,1582.000000000000000000000000000000,3452,3,3794,str\(\'H\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.739836843818426181940139940707,96
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.029999999999999998889776975375,1256.000000000000000000000000000000,2988,0,2711,str\(\'H\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.441496922796592139448534908297,38
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.080000000000000001665334536938,486.000000000000000000000000000000,750,3,875,str\(\'KL\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.553622006300836799752573824662,87
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.029999999999999998889776975375,1483.000000000000000000000000000000,1673,2,4527,str\(\'H\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.061091191476210955635384181051,71
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.040000000000000000832667268469,1529.000000000000000000000000000000,4591,4,1285,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.945723169092088977727428300568,20
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.029999999999999998889776975375,1224.000000000000000000000000000000,4472,2,3147,str\(\'H\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.570759223036467977507868454268,74
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.089999999999999996669330926125,692.000000000000000000000000000000,1764,3,139,str\(\'KL\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.434120909111574304617420239083,25
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.029999999999999998889776975375,1291.000000000000000000000000000000,815,0,3986,str\(\'H\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.927652979068458116707063254580,32
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.029999999999999998889776975375,1906.000000000000000000000000000000,2951,2,2073,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.065531721608713275339930248720,83
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.029999999999999998889776975375,1331.000000000000000000000000000000,3738,0,683,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'stdev\'\),0.866309424918144888039250872680,47
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.080000000000000001665334536938,1737.000000000000000000000000000000,39,3,2596,str\(\'H\'\),1.000000000000000000000000000000,str\(\'tstat\'\),0.128824494509026415967056777845,98
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.029999999999999998889776975375,1540.000000000000000000000000000000,2228,1,1561,str\(\'KL\'\),2.000000000000000000000000000000,str\(\'tstat\'\),0.634051932733506018458058406395,58
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.040000000000000000832667268469,1336.000000000000000000000000000000,3997,4,4569,str\(\'H\'\),3.000000000000000000000000000000,str\(\'stdev\'\),0.372777418164536356037785935769,9
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.029999999999999998889776975375,1357.000000000000000000000000000000,4121,1,1601,str\(\'H\'\),1.000000000000000000000000000000,str\(\'stdev\'\),0.791304569272324398454543370462,42
