trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
0,0_0,FAILED,SOBOL,,,2814,0.151287112325429906611873320799,0.373947804331779487529985317451,4248,2417,3911
1,1_0,COMPLETED,SOBOL,0.589999999999999968913755310496,4520.000000000000000000000000000000,2037,0.617298912907019214912907045800,0.704716987537220118653635836381,201,572,614
2,2_0,FAILED,SOBOL,,,648,0.374909416139125817313271227249,0.170337611172348274424237501989,2630,1471,1462
3,3_0,FAILED,SOBOL,,,4247,0.903303764864802349876526932348,0.750576913170516446527358311869,1674,3321,3078
4,4_0,FAILED,SOBOL,,,4940,0.384852735709398985353146827038,0.521528937209397525087695157708,2045,2643,4817
5,5_0,FAILED,SOBOL,,,91,0.854466015990823501979889442737,0.432462359435856369405115628979,3663,1207,662
6,6_0,COMPLETED,SOBOL,0.830000000000000071054273576010,12692.000000000000000000000000000000,1521,0.106558620123192671069745074419,0.941500940283760412441438347741,1082,362,2273
7,7_0,FAILED,SOBOL,,,3547,0.638539226783439550771959147824,0.103965268911793834449852624857,4462,1792,3187
8,8_0,FAILED,SOBOL,,,3373,0.278192191578447822752906404276,0.894212297178804904618232285429,3380,852,2702
9,9_0,FAILED,SOBOL,,,1658,0.997054131023585754611815445969,0.056424853701144458972827067100,2466,2287,1817
10,10_0,FAILED,SOBOL,,,577,0.244639862032607208197632076008,0.569613257499411718143278449134,4745,3137,171
11,11_0,FAILED,SOBOL,,,4489,0.526884475098922888669505937287,0.480295918872579941094613786845,662,1697,4375
12,12_0,FAILED,SOBOL,,,3757,0.016108030041679738397775167869,0.247349490540102134872313399683,562,1091,3536
13,13_0,FAILED,SOBOL,,,1096,0.731871016239747373965940369089,0.827839553391560900585943727492,4062,2937,1948
14,14_0,FAILED,SOBOL,,,2215,0.478639283884316701911387781365,0.297107229076325918271095360979,1313,2032,1056
15,15_0,COMPLETED,SOBOL,0.830000000000000071054273576010,6707.000000000000000000000000000000,2679,0.757769715432077606287464277557,0.628128198329359288543116690562,2815,191,4401
16,16_0,FAILED,SOBOL,,,2593,0.446024902096018194264104295144,0.030859075902029874105547690988,1227,3421,2135
17,17_0,FAILED,SOBOL,,,2441,0.791375472193583839874975183193,0.923003362277522665380047328654,4649,1358,3634
18,18_0,FAILED,SOBOL,,,1048,0.044900234658271073739932433000,0.450984701972454771201626044785,1898,453,4682
19,19_0,FAILED,SOBOL,,,4021,0.702118131134659040348822145461,0.594598914742469841776539851708,3479,2521,1113
20,20_0,FAILED,SOBOL,,,4538,0.214896014995872963737610916723,0.864610959585756067014017389738,2794,1912,1641
21,21_0,COMPLETED,SOBOL,0.849999999999999977795539507497,6103.000000000000000000000000000000,315,0.555670489512383958263797012478,0.214169352069497109791740285800,1802,257,2593
