trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
0,0_0,FAILED,GenerationStep_0,,,1124,0.788639869928359993345168277301,0.520570539474487281594861087797,3538,1064,1646
1,1_0,FAILED,GenerationStep_0,,,2678,0.409997805554419780804664696916,0.305469637688249362472703296589,289,4473,2806
2,2_0,FAILED,GenerationStep_0,,,4899,0.542277723861858240717026546918,0.918310683608055122739699527301,4323,3368,3830
3,3_0,FAILED,GenerationStep_0,,,1452,0.157847258167341353285451077682,0.126026211325079212643984760689,2005,2480,625
4,4_0,FAILED,GenerationStep_0,,,2076,0.714658488154411353221462377405,0.484133979585021745339901144689,1755,1384,2044
5,5_0,FAILED,GenerationStep_0,,,4275,0.086582125443965193833939508750,0.689826393492519840400234443223,4419,2897,3502
6,6_0,FAILED,GenerationStep_0,,,3303,0.966875690830871437064786277915,0.086362557265907524683967722012,972,4313,4863
7,7_0,FAILED,GenerationStep_0,,,499,0.332877649681642628909372660928,0.869299993842840179603115302598,2702,279,685
8,8_0,FAILED,GenerationStep_0,,,227,0.613839456543326389414971799852,0.014774204852059484582849080425,4783,4829,237
9,9_0,FAILED,GenerationStep_0,,,3653,0.249776097569614635718338035986,0.783976432068273387798740259313,1547,736,4219
10,10_0,FAILED,GenerationStep_0,,,3922,0.865996207145974028485113649367,0.427925846764817818801418525254,3061,2133,3053
11,11_0,FAILED,GenerationStep_0,,,2351,0.496132073881104584955892278231,0.651497463410720234477935264295,769,3744,1400
12,12_0,FAILED,GenerationStep_0,,,1726,0.874884836003184340746940961253,0.987796926690265530979218056018,472,2648,957
13,13_0,FAILED,GenerationStep_0,,,4547,0.261377631280571232075260468264,0.213452034862712025642395019531,3199,1663,4593
14,14_0,FAILED,GenerationStep_0,,,3029,0.628584093777462826757584934967,0.574736788248643271082016781293,2193,577,3139
15,15_0,FAILED,GenerationStep_0,,,851,0.009165709795430302536667355184,0.345840303102508184185381878706,3978,4045,2409
