trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
0,0_0,COMPLETED,Sobol,SOBOL,0.700000000000000066613381477509,18.000000000000000000000000000000,1961,2441,0.799423568129539519055981600104,11,0.25
1,1_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,14.000000000000000000000000000000,4268,2635,0.099351818336173888801532427806,28,0.01
2,2_0,COMPLETED,Sobol,SOBOL,0.739999999999999991118215802999,218.000000000000000000000000000000,3464,54,0.445492655232548717680884919901,40,0.25
3,3_0,COMPLETED,Sobol,SOBOL,0.709999999999999964472863211995,9.000000000000000000000000000000,303,4857,0.655701311219483606862468150211,23,0.1
4,4_0,COMPLETED,Sobol,SOBOL,0.690000000000000057731597280508,13.000000000000000000000000000000,714,1150,0.168379319963976731289179156192,47,0.025
5,5_0,COMPLETED,Sobol,SOBOL,0.700000000000000066613381477509,10.000000000000000000000000000000,3021,3765,0.995520461725071026393152351375,17,0.005
6,6_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,22.000000000000000000000000000000,4718,1340,0.578542165432125332635848735663,5,0.001
7,7_0,COMPLETED,Sobol,SOBOL,0.700000000000000066613381477509,11.000000000000000000000000000000,1556,3721,0.257588700890541089094654125802,34,0.01
8,8_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,36.000000000000000000000000000000,1638,358,0.727335241559892931029196461168,35,0.025
9,9_0,COMPLETED,Sobol,SOBOL,0.709999999999999964472863211995,10.000000000000000000000000000000,4648,4538,0.436233947962522516927919014051,3,0.05
10,10_0,COMPLETED,Sobol,SOBOL,0.700000000000000066613381477509,11.000000000000000000000000000000,2635,2111,0.018946686176583172472875915560,15,0.001
11,11_0,COMPLETED,Sobol,SOBOL,0.640000000000000013322676295502,14.000000000000000000000000000000,1114,2931,0.817453918712213623010143237479,49,0.01
12,12_0,COMPLETED,Sobol,SOBOL,0.660000000000000031086244689504,11.000000000000000000000000000000,372,1649,0.361384517535567273416319267199,22,0.001
13,13_0,COMPLETED,Sobol,SOBOL,0.680000000000000048849813083507,11.000000000000000000000000000000,3383,3408,0.537121125716715996922800968605,42,0.01
14,14_0,COMPLETED,Sobol,SOBOL,0.719999999999999973354647408996,22.000000000000000000000000000000,3869,824,0.884902215870097319516673906037,30,0.1
15,15_0,COMPLETED,Sobol,SOBOL,0.719999999999999973354647408996,9.000000000000000000000000000000,2348,4067,0.216622342748567453529773274568,9,0.025
16,16_0,COMPLETED,Sobol,SOBOL,0.690000000000000057731597280508,11.000000000000000000000000000000,2219,650,0.947823183421045545316019342863,8,0.01
17,17_0,COMPLETED,Sobol,SOBOL,0.660000000000000031086244689504,30.000000000000000000000000000000,4057,4281,0.153701626151800163633254214801,30,0.005
18,18_0,COMPLETED,Sobol,SOBOL,0.680000000000000048849813083507,13.000000000000000000000000000000,3215,1865,0.297611027030274255533726091016,44,0.025
19,19_0,COMPLETED,Sobol,SOBOL,0.700000000000000066613381477509,9.000000000000000000000000000000,522,3231,0.600894870894029708985328852577,20,0.05
20,20_0,COMPLETED,Sobol,SOBOL,0.690000000000000057731597280508,12.000000000000000000000000000000,962,2014,0.082842002853751178781394060024,49,0.05
21,21_0,COMPLETED,Sobol,SOBOL,0.670000000000000039968028886506,10.000000000000000000000000000000,2801,3067,0.753558347363024960685606856714,14,0.001
22,22_0,COMPLETED,Sobol,SOBOL,0.739999999999999991118215802999,32.000000000000000000000000000000,4459,496,0.664536100180819655491859521135,1,0.01
23,23_0,COMPLETED,Sobol,SOBOL,0.700000000000000066613381477509,11.000000000000000000000000000000,1766,4439,0.499032838387414801051278345767,38,0.25
24,24_0,COMPLETED,Sobol,SOBOL,0.700000000000000066613381477509,13.000000000000000000000000000000,1369,1554,0.516591078164055916843722116027,33,0.1
25,25_0,COMPLETED,Sobol,SOBOL,0.690000000000000057731597280508,15.000000000000000000000000000000,4848,3547,0.319539596689864979772721653717,5,0.25
26,26_0,COMPLETED,Sobol,SOBOL,0.709999999999999964472863211995,15.000000000000000000000000000000,2873,973,0.229233770921826368605067614226,19,0.01
27,27_0,COMPLETED,Sobol,SOBOL,0.660000000000000031086244689504,9.000000000000000000000000000000,883,3982,0.934665815580636216708398933406,44,0.005
28,28_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,14.000000000000000000000000000000,133,190,0.384516378102824074591836733816,24,0.01
29,29_0,COMPLETED,Sobol,SOBOL,0.700000000000000066613381477509,10.000000000000000000000000000000,3612,4760,0.716677783535793477831532527489,39,0.005
30,30_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.729999999999999982236431605997,88.000000000000000000000000000000,4069,162,0.538223286297583758397422570852,23,0.001
31,31_0,FAILED,BoTorch,BOTORCH_MODULAR,,,2566,1,0.503693180046458355292315900442,27,0.01
32,32_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.729999999999999982236431605997,37.000000000000000000000000000000,4659,425,0.561416585041630611385699012317,13,0.025
