trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,27.000000000000000000000000000000,4096,69,0.397323082089424128859889151499,0.866892900824546841498374760704,583,EDFSMode.RANDOM
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.699999999999999955591079014994,19.000000000000000000000000000000,2362,34,0.707313881849870096374388594995,0.352801441194489584507465451679,421,EDFSMode.RANDOM
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,24.000000000000000000000000000000,321,87,0.016523125916719436090396300187,0.610558586610481124345994885516,109,EDFSMode.RANDOM
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.699999999999999955591079014994,41.000000000000000000000000000000,3616,15,0.825517985558137268320422208490,0.096468622481450438943539893444,835,EDFSMode.RANDOM
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.680000000000000048849813083507,51.000000000000000000000000000000,3037,96,0.623706720266491210225012764568,0.231749657224863764293232293312,915,EDFSMode.RANDOM
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,13.000000000000000000000000000000,981,5,0.309947802582755671529923802154,0.745868709731847046029429293412,290,EDFSMode.RANDOM
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,67.000000000000000000000000000000,1773,51,0.975264573249965960322072078270,0.474420333281159400939941406250,481,EDFSMode.RANDOM
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,14.000000000000000000000000000000,4765,48,0.162509224692359566244448387806,0.988545646630227592410733450379,769,EDFSMode.RANDOM
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,4949.000000000000000000000000000000,4504,81,0.921392297780141200647108234989,0.643643453579396007668833590287,328,EDFSMode.RANDOM
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,12.000000000000000000000000000000,1560,22,0.237145713061094276508100620049,0.129550596971064801987694181662,616,EDFSMode.RANDOM
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,22.000000000000000000000000000000,768,75,0.540043900763615969395914362394,0.899960653647780439712278166553,815,EDFSMode.RANDOM
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,26.000000000000000000000000000000,2776,28,0.354800885170698188098015180003,0.385870072357356541647988024124,189,EDFSMode.RANDOM
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.750000000000000000000000000000,24.000000000000000000000000000000,3365,58,0.086852405885234476579093154669,0.258128939250484135126129103810,262,EDFSMode.RANDOM
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.640000000000000013322676295502,3408.000000000000000000000000000000,99,42,0.774855553481727854503446906165,0.772247538181021764280842489825,988,EDFSMode.RANDOM
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.670000000000000039968028886506,21.000000000000000000000000000000,2140,88,0.438958714583888631732833118804,0.015437335474416613578796386719,684,EDFSMode.RANDOM
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,15.000000000000000000000000000000,3844,10,0.627965907189995009574090545357,0.529561065023764987458321229497,521,EDFSMode.RANDOM
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,17.000000000000000000000000000000,3986,91,0.214452210891991845720383480511,0.437974739970639348474179541881,884,EDFSMode.RANDOM
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,48.000000000000000000000000000000,1978,7,0.898682615572586662722187611507,0.953068357238545993403988632053,146,EDFSMode.RANDOM
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.699999999999999955591079014994,17.000000000000000000000000000000,270,61,0.315112632025033256866208830616,0.197231507277116191456656224545,398,EDFSMode.RANDOM
