trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
0,0_0,FAILED,GenerationStep_0,,,3812,42,0.717798902750015233031888328696,0.454073763906955696345590922647,804,EDFSMode.RANDOM
1,1_0,FAILED,GenerationStep_0,,,184,74,0.149576748047024005172644933737,0.828640843585133568538481085852,318,EDFSMode.RANDOM
2,2_0,FAILED,GenerationStep_0,,,1643,15,0.787079937810078233972888028802,0.014415586680173873151966645878,343,EDFSMode.RANDOM
3,3_0,FAILED,GenerationStep_0,,,3093,97,0.345541766149923212925187954170,0.636508477667346639350398618262,731,EDFSMode.RANDOM
4,4_0,FAILED,GenerationStep_0,,,3152,6,0.096480268614366648805003023881,0.537273962389677728346271123883,597,EDFSMode.RANDOM
5,5_0,FAILED,GenerationStep_0,,,2093,87,0.537995177751407038790887327195,0.164665614483878008922346225518,533,EDFSMode.RANDOM
6,6_0,FAILED,GenerationStep_0,,,1064,27,0.398647250190377222534010570598,0.994240969045087741307042961125,100,EDFSMode.RANDOM
7,7_0,FAILED,GenerationStep_0,,,4926,57,0.966876610066741748461538463744,0.370189345356076948689860728336,967,EDFSMode.RANDOM
8,8_0,FAILED,GenerationStep_0,,,4526,20,0.479642376558855165757933036730,0.227609514599665996303912152143,260,EDFSMode.RANDOM
9,9_0,FAILED,GenerationStep_0,,,898,88,0.917221253400668512512083907495,0.602638867679983425418299702869,873,EDFSMode.RANDOM
10,10_0,COMPLETED,GenerationStep_0,0.680000000000000048849813083507,4102.000000000000000000000000000000,2198,50,0.019436402812600134942799812166,0.302763782788068036566642149410,666,EDFSMode.RANDOM
11,11_0,FAILED,GenerationStep_0,,,3648,68,0.583699273850768807214706157538,0.925368891706690233078802521050,405,EDFSMode.RANDOM
12,12_0,FAILED,GenerationStep_0,,,2614,34,0.832897751472890357504752500972,0.779094015307724485630558319826,467,EDFSMode.RANDOM
13,13_0,FAILED,GenerationStep_0,,,1554,53,0.268627805385738605004064538662,0.406004367025569079530100680131,659,EDFSMode.RANDOM
14,14_0,FAILED,GenerationStep_0,,,372,10,0.668013652199879293114292977407,0.690529354261234407097447274282,909,EDFSMode.RANDOM
15,15_0,FAILED,GenerationStep_0,,,4234,80,0.230458149416372187756607559095,0.065984540544450284715871646313,169,EDFSMode.RANDOM
16,16_0,FAILED,GenerationStep_0,,,4194,9,0.890425129044800978128648694110,0.958107623150572185188877938344,774,EDFSMode.RANDOM
17,17_0,FAILED,GenerationStep_0,,,566,77,0.460601186253130456815796378578,0.336119437683373711855949750316,360,EDFSMode.RANDOM
18,18_0,FAILED,GenerationStep_0,,,1280,36,0.602755458204075722505876910873,0.510879103545099466643364394258,278,EDFSMode.RANDOM
19,19_0,FAILED,GenerationStep_0,,,2730,54,0.046217072108760477722189108363,0.136450969761237494992656138493,791,EDFSMode.RANDOM
20,20_0,FAILED,GenerationStep_0,,,3532,45,0.295416033050045379049208804645,0.032998349688947201108213391763,982,EDFSMode.RANDOM
21,21_0,FAILED,GenerationStep_0,,,2472,64,0.851946392329409718513488769531,0.656941468225792024604459129478,145,EDFSMode.RANDOM
22,22_0,FAILED,GenerationStep_0,,,704,24,0.211394038628786806732762215688,0.498019204707816243171691894531,521,EDFSMode.RANDOM
23,23_0,FAILED,GenerationStep_0,,,4565,94,0.641240403711795803332051946199,0.870492405422031878536870408425,555,EDFSMode.RANDOM
24,24_0,FAILED,GenerationStep_0,,,4730,31,0.161799134036526071067640941692,0.732357151666656158717216840159,418,EDFSMode.RANDOM
25,25_0,FAILED,GenerationStep_0,,,1102,63,0.722175107749179034932751619635,0.109890989571809774560939843013,705,EDFSMode.RANDOM
