trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.750000000000000000000000000000,9.000000000000000000000000000000,3296,52,0.289167823255062128584569336454,0.181801846921443938098761350375,438,EDFSMode.RANDOM
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,339.000000000000000000000000000000,2163,22,0.801573823485523417886611241556,0.502733182881027418353880875657,796,EDFSMode.RANDOM
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,5.000000000000000000000000000000,25,83,0.217666257303208099393998509186,0.382391717284917831420898437500,569,EDFSMode.RANDOM
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.750000000000000000000000000000,19.000000000000000000000000000000,3893,41,0.699358977284282423703132280934,0.808087395949289244434510237625,214,EDFSMode.RANDOM
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,46.000000000000000000000000000000,4833,96,0.882761836955323841991116751160,0.965215383546426886063329675380,199,EDFSMode.RANDOM
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,238.000000000000000000000000000000,965,26,0.401051048273220633877400587153,0.350013495463877943869590581016,753,EDFSMode.RANDOM
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,132.000000000000000000000000000000,1848,65,0.610467839719727622949108081229,0.721743166342377673316832442652,979,EDFSMode.RANDOM
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.750000000000000000000000000000,4.000000000000000000000000000000,2981,7,0.098074210600927469450027729181,0.087541617153212430979536406994,424,EDFSMode.RANDOM
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.739999999999999991118215802999,80.000000000000000000000000000000,2740,80,0.528708319928497094686292712140,0.282791617533192041200607036444,869,EDFSMode.RANDOM
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.750000000000000000000000000000,6.000000000000000000000000000000,1451,50,0.016312549334019422336838900378,0.900004594795405843399294099072,548,EDFSMode.RANDOM
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.750000000000000000000000000000,377.000000000000000000000000000000,739,61,0.972287773344665762209615422762,0.032137831520289178444116373612,321,EDFSMode.RANDOM
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.750000000000000000000000000000,8.000000000000000000000000000000,4450,19,0.490579126138240118049083093865,0.660551695073023470428097425611,645,EDFSMode.RANDOM
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.750000000000000000000000000000,10.000000000000000000000000000000,4140,75,0.174860657827928672736206294758,0.568180006122216529895752046286,687,EDFSMode.RANDOM
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.750000000000000000000000000000,7.000000000000000000000000000000,429,4,0.656551236333325460847731847025,0.249259754694998253432558499298,111,EDFSMode.RANDOM
