trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
0,0_0,RUNNING,Sobol,SOBOL,,,1616,4542,7.192241615533829346418315253686,0.021897323220968246959561298581,True,True
1,1_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,2.000000000000000000000000000000,4940,1497,2.762664212594740043016372510465,0.044614964567124847094614636944,False,False
2,2_0,COMPLETED,Sobol,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,3564,2802,8.822757236772217126485884364229,0.007605078171938657247141968298,False,False
3,3_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,1690.000000000000000000000000000000,473,849,1.229753375276923188508249040751,0.034181946804281326812713359686,True,True
4,4_0,RUNNING,Sobol,SOBOL,,,726,3386,4.945457718915307054885488469154,0.028192089373711499283858827880,True,True
5,5_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,2.000000000000000000000000000000,2725,183,5.010055885421112797928344662068,0.001606087685562670400868379161,False,False
6,6_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,2.000000000000000000000000000000,3787,3959,1.537412623200565597869626799366,0.038616587032563987058608745429,False,False
7,7_0,COMPLETED,Sobol,SOBOL,0.719999999999999973354647408996,6360.000000000000000000000000000000,2183,2164,8.515710812320001821262849261984,0.015907987324986605504051340176,True,True
8,8_0,RUNNING,Sobol,SOBOL,,,2426,2816,2.079394323391839716208551180898,0.003604105040896684285234297107,False,True
9,9_0,FAILED,Sobol,SOBOL,,,4110,1021,7.954277144546621158838206611108,0.030376227132044734957627696303,True,False
10,10_0,COMPLETED,Sobol,SOBOL,0.709999999999999964472863211995,157.000000000000000000000000000000,2988,4841,4.257073526927270812336701055756,0.017922225314192474082686246106,True,False
11,11_0,FAILED,Sobol,SOBOL,,,1068,1637,5.718044319629670191318382421741,0.040831331905443225827045949927,False,True
12,12_0,FAILED,Sobol,SOBOL,,,228,4180,9.520972827724181186681562394369,0.047211164254229519288141858624,False,True
13,13_0,COMPLETED,Sobol,SOBOL,0.660000000000000031086244689504,23.000000000000000000000000000000,3242,2226,0.512086114736273967373847426643,0.024305056774988773038437273044,True,False
14,14_0,FAILED,Sobol,SOBOL,,,4676,3478,6.660091034937650533720443490893,0.036758159449324014078630540325,True,False
15,15_0,COMPLETED,Sobol,SOBOL,0.719999999999999973354647408996,872.000000000000000000000000000000,1274,433,3.314419054036028544629743919359,0.009982946782838553884120713633,False,True
16,16_0,COMPLETED,Sobol,SOBOL,0.709999999999999964472863211995,223.000000000000000000000000000000,1546,3690,7.600523342947476557185382262105,0.040424627265892923433376893172,True,False
17,17_0,COMPLETED,Sobol,SOBOL,0.719999999999999973354647408996,421.000000000000000000000000000000,4405,489,2.353161624757572845112463255646,0.013834080532658846185434242670,False,True
18,18_0,FAILED,Sobol,SOBOL,,,3358,4280,6.067288288787008099234299152158,0.026106099095661194908757352096,False,True
19,19_0,FAILED,Sobol,SOBOL,,,112,2482,3.984001742207445406762644779519,0.003377871560864150867614652540,True,False
20,20_0,COMPLETED,Sobol,SOBOL,0.700000000000000066613381477509,52.000000000000000000000000000000,1108,4868,0.161383169787004593365153937157,0.009760537797585131306044026189,True,False
21,21_0,COMPLETED,Sobol,SOBOL,0.729999999999999982236431605997,5417.000000000000000000000000000000,2948,1820,9.792909853494725425093747617211,0.032485719013493508100509643555,False,True
22,22_0,RUNNING,Sobol,SOBOL,,,4306,3102,3.666713879843242374079181900015,0.020213181912433358239367109377,False,True
23,23_0,RUNNING,Sobol,SOBOL,,,2230,1150,6.385188974622638014011499763001,0.046806677600368856717594212569,True,False
24,24_0,COMPLETED,Sobol,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,1908,3835,3.115064528073184124679073647712,0.034698985628783707291233895376,False,False
25,25_0,COMPLETED,Sobol,SOBOL,0.709999999999999964472863211995,6012.000000000000000000000000000000,4063,1883,6.917386358810589719325889745960,0.011776248143520207448120551419,True,True
26,26_0,RUNNING,Sobol,SOBOL,,,2606,3199,0.879117776840925291281791942311,0.048992382129188632999827746062,True,True
27,27_0,COMPLETED,Sobol,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,845,151,9.094779488661325572707028186414,0.022209626596421006006210063788,False,False
28,28_0,COMPLETED,Sobol,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,434,2532,5.359404152275994981380335957510,0.016210518092848361093594178328,False,False
29,29_0,COMPLETED,Sobol,SOBOL,0.719999999999999973354647408996,2801.000000000000000000000000000000,3603,734,4.672434209129773918789396702778,0.043002265060786158679118074133,True,True
30,30_0,RUNNING,Sobol,SOBOL,,,4746,4500,8.162023165260441359691867546644,0.005787124632392079068288204269,True,True
31,31_0,COMPLETED,Sobol,SOBOL,0.719999999999999973354647408996,2.000000000000000000000000000000,1810,1299,1.811266342658549577393500840117,0.028700773318298164471507050166,False,False
32,32_0,COMPLETED,Sobol,SOBOL,0.709999999999999964472863211995,245.000000000000000000000000000000,1737,2710,4.108991618704982862197994109010,0.046046956418547779765759742077,True,False
33,33_0,COMPLETED,Sobol,SOBOL,0.719999999999999973354647408996,2089.000000000000000000000000000000,4819,912,5.919186936493963990812972042477,0.019256647785194220406923548694,False,True
34,34_0,RUNNING,Sobol,SOBOL,,,3676,4635,1.912108601609245006613946316065,0.031746950955130151528216231327,False,True
35,35_0,RUNNING,Sobol,SOBOL,,,361,1433,8.057516928195022742897890566383,0.008831766570452601397556158247,True,False
36,36_0,COMPLETED,Sobol,SOBOL,0.709999999999999964472863211995,244.000000000000000000000000000000,928,4052,6.861707982830703933530003268970,0.002445915897842496425362845969,True,False
37,37_0,RUNNING,Sobol,SOBOL,,,2523,2100,3.167078627944924118509106847341,0.025370138924568894078781511325,False,True
38,38_0,RUNNING,Sobol,SOBOL,,,3980,3294,9.625264006662183291496148740407,0.012880827836692334414925298347,False,True
39,39_0,COMPLETED,Sobol,SOBOL,0.650000000000000022204460492503,36.000000000000000000000000000000,1991,247,0.344974346613511451131728335895,0.039662000463809819750249374692,True,False
40,40_0,COMPLETED,Sobol,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,2313,4729,8.907539307889528856776450993493,0.029342886030208320535805910367,False,False
41,41_0,RUNNING,Sobol,SOBOL,,,4223,1681,1.043094505172222907773971201095,0.006619190355762839816922138425,True,True
42,42_0,COMPLETED,Sobol,SOBOL,0.709999999999999964472863211995,6902.000000000000000000000000000000,2865,2929,7.413367391878740164656846900471,0.043665379578247669190016466700,True,True
43,43_0,COMPLETED,Sobol,SOBOL,0.719999999999999973354647408996,2.000000000000000000000000000000,1191,977,2.634870888485573381387894187355,0.017070300984662029053495757580,False,False
44,44_0,COMPLETED,Sobol,SOBOL,0.660000000000000031086244689504,2.000000000000000000000000000000,39,3591,1.350617793597280957840212067822,0.023066271152812990730129882877,False,False
45,45_0,COMPLETED,Sobol,SOBOL,0.709999999999999964472863211995,595.000000000000000000000000000000,3431,390,8.599403493986464752651954768226,0.049658256220631302735313283847,True,True
46,46_0,FAILED,Sobol,SOBOL,,,4478,4068,4.816884918513708591092381539056,0.012611549935303629360605626175,True,True
47,47_0,COMPLETED,Sobol,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,1473,2270,5.230745604267344361915093031712,0.035338241771329194362838421739,False,False
48,48_0,FAILED,Sobol,SOBOL,,,1357,4354,0.767658142652362651681130500947,0.015072912624105812978703156091,True,True
49,49_0,COMPLETED,Sobol,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,4593,2399,9.259299831491894394730479689315,0.037977487355004994895590897386,False,False
50,50_0,RUNNING,BoTorch,BOTORCH_MODULAR,,,2787,2,8.849497485073625213658488064539,0.000500000000000000010408340856,False,True
51,51_0,RUNNING,BoTorch,BOTORCH_MODULAR,,,1827,2,1.924220065273657187532307943911,0.000500000000000000010408340856,True,True
52,52_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.800000000000000044408920985006,321.000000000000000000000000000000,2140,2,0.001000000000000000020816681712,0.050000000000000002775557561563,False,True
53,53_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.810000000000000053290705182008,336.000000000000000000000000000000,3312,2,0.001000000000000000020816681712,0.050000000000000002775557561563,True,True
54,54_0,RUNNING,BoTorch,BOTORCH_MODULAR,,,633,2,8.418164257742583700405702984426,0.000500000000000000010408340856,False,True
55,55_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1,2,0.001000000000000000020816681712,0.000500000000000000010408340856,True,True
56,56_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.800000000000000044408920985006,3992.000000000000000000000000000000,376,2,7.046318115989120833830838819267,0.050000000000000002775557561563,False,True
57,57_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.800000000000000044408920985006,332.000000000000000000000000000000,4204,2,10.000000000000000000000000000000,0.050000000000000002775557561563,False,True
58,58_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1,2,0.001000000000000000020816681712,0.000500000000000000010408340856,False,True
59,59_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1,2,3.767590356860404998684543897980,0.000500000000000000010408340856,True,True
60,60_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,2,0.001000000000000000020816681712,0.000500000000000000010408340856,False,True
61,61_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1,2,10.000000000000000000000000000000,0.000500000000000000010408340856,False,True
62,62_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.709999999999999964472863211995,35.000000000000000000000000000000,3207,2,2.655486727182006401193348210654,0.050000000000000002775557561563,False,False
63,63_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1,2,10.000000000000000000000000000000,0.000500000000000000010408340856,True,True
64,64_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.810000000000000053290705182008,328.000000000000000000000000000000,2486,2,6.390210776060431641099057742395,0.050000000000000002775557561563,False,True
65,65_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,2,10.000000000000000000000000000000,0.000500000000000000010408340856,False,True
66,66_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,2,0.652181104810530154480829878594,0.000500000000000000010408340856,True,True
67,67_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1,2,5.148313667818686489852098020492,0.000500000000000000010408340856,False,True
68,68_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.800000000000000044408920985006,336.000000000000000000000000000000,1,2,1.145415571318431746661303805013,0.050000000000000002775557561563,False,True
69,69_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1574,2,0.001000000000000000020816681712,0.000500000000000000010408340856,True,True
70,70_0,FAILED,BoTorch,BOTORCH_MODULAR,,,2697,2,0.001000000000000000020816681712,0.000500000000000000010408340856,False,True
71,71_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.810000000000000053290705182008,323.000000000000000000000000000000,1,2,10.000000000000000000000000000000,0.050000000000000002775557561563,False,True
72,72_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.709999999999999964472863211995,36.000000000000000000000000000000,3504,2,2.470362711539594968712663103361,0.000500000000000000010408340856,False,False
73,73_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.810000000000000053290705182008,320.000000000000000000000000000000,1,2,4.142974158599343148523530544480,0.050000000000000002775557561563,True,True
74,74_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1,2,6.645726837560231636814478406450,0.000500000000000000010408340856,True,True
75,75_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.729999999999999982236431605997,2.000000000000000000000000000000,3461,1264,2.793046527983947147077969930251,0.000500000000000000010408340856,False,False
76,76_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.810000000000000053290705182008,344.000000000000000000000000000000,2445,2,1.464985493523578208296953562240,0.050000000000000002775557561563,True,True
77,77_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.619999999999999995559107901499,4.000000000000000000000000000000,5000,2885,0.001000000000000000020816681712,0.050000000000000002775557561563,False,False
78,78_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1,585,10.000000000000000000000000000000,0.050000000000000002775557561563,True,False
79,79_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.810000000000000053290705182008,363.000000000000000000000000000000,1,2,2.469361307126678006795827968745,0.050000000000000002775557561563,True,True
80,80_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.800000000000000044408920985006,346.000000000000000000000000000000,3977,2,0.001000000000000000020816681712,0.050000000000000002775557561563,False,True
81,81_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,2,10.000000000000000000000000000000,0.000500000000000000010408340856,True,False
82,82_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,692,8.038817101901130968144570942968,0.050000000000000002775557561563,True,False
83,83_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.800000000000000044408920985006,381.000000000000000000000000000000,1,2,0.001000000000000000020816681712,0.050000000000000002775557561563,True,True
84,84_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.810000000000000053290705182008,353.000000000000000000000000000000,2817,2,3.489232824064419258291991354781,0.050000000000000002775557561563,False,True
85,85_0,FAILED,BoTorch,BOTORCH_MODULAR,,,2214,5000,0.284842393481348599149072242653,0.050000000000000002775557561563,True,True
86,86_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.680000000000000048849813083507,4.000000000000000000000000000000,5000,1241,0.001000000000000000020816681712,0.000500000000000000010408340856,False,False
87,87_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1,2,6.582669738819015847752780246083,0.000500000000000000010408340856,False,True
88,88_0,FAILED,BoTorch,BOTORCH_MODULAR,,,2214,5000,0.438863536676633358979415788781,0.029453185451794733351604804739,False,True
89,89_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1678,5000,2.749942678870016532499676031875,0.050000000000000002775557561563,True,True
90,90_0,FAILED,BoTorch,BOTORCH_MODULAR,,,3095,2,10.000000000000000000000000000000,0.000500000000000000010408340856,False,True
91,91_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1826,5000,3.340126082479570435168625408551,0.000500000000000000010408340856,False,True
92,92_0,FAILED,BoTorch,BOTORCH_MODULAR,,,3540,831,10.000000000000000000000000000000,0.000500000000000000010408340856,True,False
93,93_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,2,5.802969717318164022401560941944,0.000500000000000000010408340856,True,False
94,94_0,FAILED,BoTorch,BOTORCH_MODULAR,,,4419,5000,2.318510389985217745589807236684,0.000500000000000000010408340856,False,True
95,95_0,FAILED,BoTorch,BOTORCH_MODULAR,,,2776,2,4.957963748978916562748509022640,0.000500000000000000010408340856,False,True
96,96_0,FAILED,BoTorch,BOTORCH_MODULAR,,,2214,5000,7.321813411223604184385749249486,0.000500000000000000010408340856,False,True
97,97_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1,2,8.210816863684327060468604031485,0.000500000000000000010408340856,True,True
98,98_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,2,2.990965959237510851664865185739,0.000500000000000000010408340856,True,True
99,99_0,FAILED,BoTorch,BOTORCH_MODULAR,,,1,2,10.000000000000000000000000000000,0.000500000000000000010408340856,True,False
100,100_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.810000000000000053290705182008,356.000000000000000000000000000000,4857,2,7.256156719030548707394245866453,0.050000000000000002775557561563,False,True
101,101_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.709999999999999964472863211995,6786.000000000000000000000000000000,5000,2214,0.001000000000000000020816681712,0.050000000000000002775557561563,True,True
102,102_0,RUNNING,BoTorch,BOTORCH_MODULAR,,,1858,4542,2.103039484749677612285267969128,0.023128844185007484124394494529,True,True
103,103_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.709999999999999964472863211995,59.000000000000000000000000000000,5000,2,9.179678114309231418133094848599,0.050000000000000002775557561563,False,False
