trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
0,0_0,RUNNING,SOBOL,,,2506,2934,7.116904706656933754516103363130,0.007285207681357860898252454263,True,False
1,1_0,RUNNING,SOBOL,,,1622,2327,0.441503979581408245724816197253,0.026527760109864177706651133803,False,True
2,2_0,RUNNING,SOBOL,,,264,4678,8.213118625911883796675283520017,0.020829217433929445024709536938,False,True
3,3_0,RUNNING,SOBOL,,,4341,280,4.342613227694296362813020095928,0.040078213739674538318435992323,True,False
4,4_0,RUNNING,SOBOL,,,4788,4018,1.606285905767232069507599589997,0.048048157794866715175619020783,True,False
5,5_0,RUNNING,SOBOL,,,751,871,5.798938954815269219977835746249,0.016049716527573764518477261731,False,True
6,6_0,RUNNING,SOBOL,,,2346,3535,3.026564160227775523992477246793,0.037591440703719856963882506307,False,True
7,7_0,RUNNING,SOBOL,,,3347,1678,9.379645899567753630776678619441,0.005599443636368960086624468886,True,False
8,8_0,COMPLETED,SOBOL,0.579999999999999960031971113494,39.000000000000000000000000000000,3499,4915,3.515329273280687782943232377875,0.014181232127361000430743054324,False,False
9,9_0,RUNNING,SOBOL,,,1883,520,8.928572838307358594533980067354,0.044451122722122822505941286408,True,True
10,10_0,RUNNING,SOBOL,,,1214,2559,2.406599565134383666986650496256,0.003005461796652525701539770964,True,True
11,11_0,COMPLETED,SOBOL,0.579999999999999960031971113494,42.000000000000000000000000000000,4637,1950,5.039359264087863721215398982167,0.033269710708409547250674620500,False,False
12,12_0,COMPLETED,SOBOL,0.579999999999999960031971113494,39.000000000000000000000000000000,3877,3130,7.766307745935396411596229881980,0.028381443678401410690703698947,False,False
13,13_0,RUNNING,SOBOL,,,415,1271,4.830776673404500343167455866933,0.010890809650067240915705113480,True,True
14,14_0,RUNNING,SOBOL,,,1471,4247,6.353042841149494357466664951062,0.042656595181208109557324803518,True,True
15,15_0,COMPLETED,SOBOL,0.670000000000000039968028886506,154.000000000000000000000000000000,2969,1102,1.242436552660539650361215535668,0.025160319469869137087858490531,False,False
16,16_0,RUNNING,SOBOL,,,2953,4093,9.301914157246239156506817380432,0.034547040747012945638427794393,True,True
17,17_0,COMPLETED,SOBOL,0.579999999999999960031971113494,50.000000000000000000000000000000,1337,953,3.253968518280424326860611472512,0.004675391437485814163932396070,False,False
18,18_0,COMPLETED,SOBOL,0.579999999999999960031971113494,38.000000000000000000000000000000,510,3299,5.403248306193389360885248606792,0.048864531011320655462526474366,False,False
19,19_0,RUNNING,SOBOL,,,3933,1445,2.155315681179053921567856377806,0.018999277957249434412023703089,True,True
20,20_0,RUNNING,SOBOL,,,4420,2698,4.418064463609829850554433505749,0.020395178628619760330398236192,True,True
21,21_0,COMPLETED,SOBOL,0.579999999999999960031971113494,42.000000000000000000000000000000,959,2094,7.988297610079870381127875589300,0.038284046566113831555622226688,False,False
22,22_0,COMPLETED,SOBOL,0.640000000000000013322676295502,241.000000000000000000000000000000,2177,4753,0.839801213910803201478927348944,0.009165055570192636238968653117,False,False
23,23_0,FAILED,SOBOL,,,3676,363,6.565580428460613404695322969928,0.027060319763142617888185270658,True,True
24,24_0,FAILED,SOBOL,,,3213,3673,0.077616725436411806993142192823,0.041832718191668394336346636919,False,True
25,25_0,FAILED,SOBOL,,,2328,1821,7.368190089891665017773902945919,0.022215346788521855847520214411,True,False
26,26_0,FAILED,SOBOL,,,807,3855,3.969268928821198638701162053621,0.031430413205642250551452576701,True,False
27,27_0,FAILED,SOBOL,,,4884,713,8.474476400977930978797303396277,0.011807353650219738760984711234,False,True
28,28_0,FAILED,SOBOL,,,4084,4524,6.201577273499220943620002799435,0.001118106031790375674839221887,False,True
29,29_0,FAILED,SOBOL,,,46,131,1.393751298390328852150332750170,0.032741720625665042543328553393,True,False
30,30_0,FAILED,SOBOL,,,1801,3102,9.792356321401893382017078693025,0.014619859680999072043539044330,True,False
31,31_0,FAILED,SOBOL,,,2802,2501,2.804572508122772145355838802061,0.046237786122597754334684339028,False,True
32,32_0,FAILED,SOBOL,,,2685,4598,2.230670860777609121328168839682,0.027595689055509867171345206316,True,True
33,33_0,COMPLETED,SOBOL,0.579999999999999960031971113494,137.000000000000000000000000000000,1762,203,5.175890220931731455777935480000,0.008558769744355232758636908841,False,False
34,34_0,COMPLETED,SOBOL,0.579999999999999960031971113494,45.000000000000000000000000000000,84,2857,3.652207988447509823259906625026,0.038801677597220987636639222274,False,False
35,35_0,FAILED,SOBOL,,,4201,2248,8.752973416681401275241114490200,0.019758314823731779746873726822,True,True
36,36_0,FAILED,SOBOL,,,4924,3457,6.490193922303618023761373478919,0.018060278327204287024398965400,True,True
37,37_0,COMPLETED,SOBOL,0.650000000000000022204460492503,137.000000000000000000000000000000,925,1598,1.067109497021883735001779314189,0.049877633639145643740242519470,False,False
38,38_0,COMPLETED,SOBOL,0.579999999999999960031971113494,41.000000000000000000000000000000,2211,3940,7.590107867565007104815322236391,0.003766993389930576273394446929,False,False
39,39_0,FAILED,SOBOL,,,3173,795,4.967036456234753316607566375751,0.035577905239537362114266016988,True,True
40,40_0,FAILED,SOBOL,,,3637,2635,8.389356498443522269781169597991,0.045739796564448625959542482633,False,True
41,41_0,FAILED,SOBOL,,,2059,2029,4.206391737018712717599555617198,0.015288443096913397964420333608,True,False
42,42_0,FAILED,SOBOL,,,1076,4995,6.979715342660435695165688230190,0.032165568554773926734924316406,True,False
43,43_0,FAILED,SOBOL,,,4460,598,0.616792743065394444279547769838,0.001719856032636016577794246807,False,True
44,44_0,FAILED,SOBOL,,,4049,4326,2.889723737215623255991658879793,0.012687045950908214242414118189,False,True
45,45_0,FAILED,SOBOL,,,548,1178,9.555283315354957451859263528604,0.030382935856468978874644903954,True,False
46,46_0,FAILED,SOBOL,,,1299,3207,1.782176317969337064894830291450,0.023161896107718349391291212669,True,False
47,47_0,FAILED,SOBOL,,,2836,1351,5.662370003810153207268740516156,0.040863426958676431210992774368,False,True
48,48_0,FAILED,SOBOL,,,3089,3375,3.793679527224041780897323405952,0.006519938077777624046982296591,True,False
49,49_0,FAILED,SOBOL,,,1511,1524,8.611346362587996239312815305311,0.036596843264531345174539467280,False,True
50,50_0,FAILED,SOBOL,,,374,4173,0.214157404315657939886108351857,0.016952449841890485787709863530,False,True
51,51_0,FAILED,SOBOL,,,3758,1030,7.192252929971553854215926548932,0.047022958035580819657894835473,True,False
52,52_0,FAILED,SOBOL,,,4600,4831,9.928624634293839790188940241933,0.039524339258670812546903050588,True,False
53,53_0,FAILED,SOBOL,,,1099,439,2.628362982215359799909037974430,0.021454008448403328462861239245,False,True
54,54_0,FAILED,SOBOL,,,1998,2776,6.026259045915678846938590140780,0.026004464345518500667520100933,False,True
55,55_0,FAILED,SOBOL,,,3536,2174,1.530892434014007319476036173000,0.007927736542187629326106090843,True,False
56,56_0,COMPLETED,SOBOL,0.579999999999999960031971113494,40.000000000000000000000000000000,3385,3775,5.578528539615684067598522233311,0.024274207125883552615963623111,False,False
57,57_0,FAILED,SOBOL,,,2462,635,2.018136253400705903970901999855,0.043710492573678497163491840638,True,True
58,58_0,FAILED,SOBOL,,,635,3597,9.165683838515542802838353964034,0.009926510452292860650636008302,True,True
59,59_0,COMPLETED,SOBOL,0.579999999999999960031971113494,50.000000000000000000000000000000,4751,1743,3.430216336342506000534058330231,0.029368484789971265741526096349,False,False
60,60_0,COMPLETED,SOBOL,0.660000000000000031086244689504,208.000000000000000000000000000000,4222,3025,0.703222242876887393414619964460,0.033761280223261566635351016430,False,False
61,61_0,FAILED,SOBOL,,,223,2421,6.741479594219476290106740634656,0.002343298424035310939528287122,True,True
62,62_0,FAILED,SOBOL,,,1663,4445,4.593692157361656924763337883633,0.045009524914436042919430036591,True,True
63,63_0,COMPLETED,SOBOL,0.579999999999999960031971113494,451.000000000000000000000000000000,2625,55,7.851465642631054286937342112651,0.013597232005093247766969177803,False,False
64,64_0,COMPLETED,SOBOL,0.579999999999999960031971113494,43.000000000000000000000000000000,2604,3979,4.755447521668859423016328946687,0.043292155172675851615426978469,False,False
65,65_0,FAILED,SOBOL,,,1680,832,7.688451609984972456857121869689,0.023851121745537967600014894742,True,True
66,66_0,FAILED,SOBOL,,,166,3495,1.166499494344927390088173524418,0.029790413601789626774074548621,True,True
67,67_0,COMPLETED,SOBOL,0.579999999999999960031971113494,51.000000000000000000000000000000,4282,1639,6.279461122837849629263473616447,0.010355068142525852489810311852,False,False
68,68_0,COMPLETED,SOBOL,0.579999999999999960031971113494,46.000000000000000000000000000000,4690,2816,9.006426590310409707740291196387,0.002771654009819030702738151817,False,False
69,69_0,FAILED,SOBOL,,,692,2209,3.590656041068956305650772264926,0.034183384585659955245962038362,True,True
70,70_0,FAILED,SOBOL,,,2444,4561,5.112943366346881290951387200039,0.013173971074167640377128307705,True,True
71,71_0,COMPLETED,SOBOL,0.589999999999999968913755310496,81.000000000000000000000000000000,3406,164,2.482539007397368546747884465731,0.044591389617882670748372220260,False,False
72,72_0,FAILED,SOBOL,,,3557,3247,5.876785573600791678927635075524,0.036193796466570352099445528893,True,False
73,73_0,FAILED,SOBOL,,,1980,1388,1.681624611916951783641138717940,0.006123850606381892741625350141,False,True
74,74_0,FAILED,SOBOL,,,1155,4364,9.453218100714497751368980971165,0.047423931418918076341473266666,False,True
75,75_0,FAILED,SOBOL,,,4540,1219,3.102510772957466578247931465739,0.017347589487675577069047960777,True,False
76,76_0,COMPLETED,SOBOL,0.650000000000000022204460492503,838.000000000000000000000000000000,3818,4955,0.366167657379060984546015333763,0.021849326595198365064121048817,True,False
77,77_0,FAILED,SOBOL,,,318,560,7.039060183137656245833113644039,0.039925113487988710125886626656,False,True
78,78_0,FAILED,SOBOL,,,1529,2598,4.266664231017232467024768993724,0.007531848224811257125343999519,False,True
79,79_0,FAILED,SOBOL,,,3067,1989,8.139544040817767722728603985161,0.025601239046547562272504450220,True,False
80,80_0,FAILED,SOBOL,,,2855,2737,1.317735569811426143971289093315,0.015639939245767887215921021493,False,True
81,81_0,FAILED,SOBOL,,,1278,2133,6.128069457556121868435639044037,0.046084703665692360041727937414,True,False
82,82_0,FAILED,SOBOL,,,607,4791,2.729169454018585572185884302598,0.001364775849040597739680880096,True,False
83,83_0,FAILED,SOBOL,,,3992,401,9.714578855714760763362392026465,0.031815181767567993209588905756,False,True
84,84_0,FAILED,SOBOL,,,4518,4210,7.441695521887392139603889518185,0.030032751173712315256869587188,False,True
85,85_0,FAILED,SOBOL,,,1017,1070,0.153630070067942159361962239927,0.012331790216732771078844699275,True,False
