trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
0,0_0,COMPLETED,Sobol,SOBOL,0.520000000000000017763568394003,95.000000000000000000000000000000,3443,264,9.940710036873817045943724224344,0.001988659882918000255946910926,True,False
1,1_0,COMPLETED,Sobol,SOBOL,0.540000000000000035527136788005,2704.000000000000000000000000000000,983,4444,0.998000352662056777752752623201,0.046826425519306213995918142246,False,True
2,2_0,COMPLETED,Sobol,SOBOL,0.560000000000000053290705182008,1535.000000000000000000000000000000,1338,2034,5.780542591679841635254888387863,0.014401977024041117889097129989,False,True
3,3_0,COMPLETED,Sobol,SOBOL,0.520000000000000017763568394003,24.000000000000000000000000000000,3868,2620,4.532619886268862252620692743221,0.034483747432939707011634311584,True,False
4,4_0,COMPLETED,Sobol,SOBOL,0.520000000000000017763568394003,27.000000000000000000000000000000,4470,1494,1.814520551881752874479047932255,0.027514019726309926067164823849,True,False
5,5_0,COMPLETED,Sobol,SOBOL,0.560000000000000053290705182008,2074.000000000000000000000000000000,2005,3173,7.874317100541667002744361525401,0.019752677428070457288367123283,False,True
6,6_0,COMPLETED,Sobol,SOBOL,0.589999999999999968913755310496,554.000000000000000000000000000000,324,802,2.654196553418412651836888471735,0.039922805053181950607488204241,False,True
7,7_0,COMPLETED,Sobol,SOBOL,0.520000000000000017763568394003,21.000000000000000000000000000000,2869,3888,6.409093159480952373030504531926,0.007417552442289889608195707638,True,False
8,8_0,COMPLETED,Sobol,SOBOL,0.520000000000000017763568394003,4.000000000000000000000000000000,2514,2246,3.299156454907730129377796401968,0.024232115555088969832686629502,False,False
9,9_0,COMPLETED,Sobol,SOBOL,0.570000000000000062172489379009,1978.000000000000000000000000000000,56,3065,7.014006023040973758497784729116,0.028845938480924815383588111217,True,True
10,10_0,COMPLETED,Sobol,SOBOL,0.630000000000000004440892098501,260.000000000000000000000000000000,2284,461,2.264420366480015101018352652318,0.011892411502078176210872584306,True,True
11,11_0,COMPLETED,Sobol,SOBOL,0.520000000000000017763568394003,5.000000000000000000000000000000,4817,4875,8.674289752999319702553293609526,0.041262324115261435342194573650,False,False
12,12_0,COMPLETED,Sobol,SOBOL,0.520000000000000017763568394003,5.000000000000000000000000000000,4146,1016,5.172272236239165543736362451455,0.048208239731844515496561598411,False,False
13,13_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,2682.000000000000000000000000000000,1684,4336,3.891017476660199481131030552206,0.006421217845287173486834575442,True,True
14,14_0,COMPLETED,Sobol,SOBOL,0.600000000000000088817841970013,1510.000000000000000000000000000000,626,1693,9.136769331951626327281701378524,0.035870046298950915286685159344,True,True
15,15_0,COMPLETED,Sobol,SOBOL,0.520000000000000017763568394003,5.000000000000000000000000000000,3174,3606,0.552068320471793438919405616616,0.018827029138803484664688170369,False,False
16,16_0,COMPLETED,Sobol,SOBOL,0.570000000000000062172489379009,1776.000000000000000000000000000000,3392,1867,7.390124389236794044677480997052,0.038661049365997318671972493576,True,True
17,17_0,COMPLETED,Sobol,SOBOL,0.520000000000000017763568394003,5.000000000000000000000000000000,936,3468,3.548585879239253948469468014082,0.009297132026404142379760742188,False,False
18,18_0,COMPLETED,Sobol,SOBOL,0.520000000000000017763568394003,5.000000000000000000000000000000,1756,1151,8.151702852214686600973436725326,0.026226601199712606254932367733,False,False
19,19_0,COMPLETED,Sobol,SOBOL,0.530000000000000026645352591004,3086.000000000000000000000000000000,4291,4159,2.161459476737305429594471206656,0.021606594172772022183215412383,True,True
