trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
0,0_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,293.000000000000000000000000000000,291,1472,1.680305571973323752743567638390,0.035708238452672957929934227650,False,True
1,1_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,2618,2951,9.023669206728227365488237410318,0.008272516221739351430231046436,True,False
2,2_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,4901,980,4.250730699700303816257473954465,0.045535389996133747436690697441,True,False
3,3_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,245.000000000000000000000000000000,2231,4656,6.297316134361550687970066064736,0.023471430781297385886885464856,False,True
4,4_0,COMPLETED,Sobol,SOBOL,0.560000000000000053290705182008,160.000000000000000000000000000000,1616,185,8.352592779969796765726641751826,0.013917740433942527369937103288,False,True
5,5_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,4267,4164,0.945119995226152309619749303238,0.042894602674525231233992883517,True,False
6,6_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,3253,2193,5.776971950692125545856470125727,0.005838376642670482091768136002,True,False
7,7_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,301.000000000000000000000000000000,905,3370,3.677281685737892935605941602262,0.026361810182686896270043419577,False,True
8,8_0,COMPLETED,Sobol,SOBOL,0.560000000000000053290705182008,183.000000000000000000000000000000,1075,630,5.365554503689520693399117590161,0.038539746957831085005796722953,True,True
9,9_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,3715,4931,2.682436030384153013983450364321,0.018022535136900844077167960222,False,False
10,10_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,3804,1747,8.102590025607495860526796604972,0.030328961060382426256909482731,False,False
11,11_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,263.000000000000000000000000000000,1447,2601,0.101943455654196449278181546561,0.001346232627518475057429303554,True,True
12,12_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,282.000000000000000000000000000000,2083,1917,4.627656041393988672894010960590,0.011287209590431303979363164558,True,True
13,13_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,4420,3718,7.326041295047850177013515349245,0.033357409702148288488388061523,False,False
14,14_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,3099,534,1.886647503558546379309746043873,0.020843958381097763693512447958,False,False
15,15_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,242.000000000000000000000000000000,439,3888,9.911124030071309931599898845889,0.048273840143810961555992378180,True,True
16,16_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,479,315,3.046603100351989112937189929653,0.004077373038977384275827198223,False,False
17,17_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,294.000000000000000000000000000000,2820,3991,5.001692653483711836770453373902,0.027694544039666653401088325381,True,True
18,18_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,263.000000000000000000000000000000,4624,2059,0.461599948196671938660529121989,0.015291273573413493094830251096,True,True
19,19_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,1962,3538,7.742628164306283977680323005188,0.041174373274669051614438330944,False,False
20,20_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,1346,1606,6.985971239618957717709690768970,0.044189065721351658555526853434,False,False
21,21_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,253.000000000000000000000000000000,3989,2783,4.968031316584908374522910889937,0.025218821838963779297104750299,True,True
22,22_0,COMPLETED,Sobol,SOBOL,0.560000000000000053290705182008,126.000000000000000000000000000000,3455,851,9.566390824585221608344909327570,0.037442069242242727311609229446,True,True
23,23_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,1095,4829,2.231075340285897379288826414268,0.006912561698351055161637646052,False,False
24,24_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,638,2412,9.311530814700759606239444110543,0.019096546670421959968066971669,True,False
25,25_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,197.000000000000000000000000000000,3291,3267,1.392748978892341282787015188660,0.049620190972462299705547650319,False,True
26,26_0,COMPLETED,Sobol,SOBOL,0.560000000000000053290705182008,50.000000000000000000000000000000,4153,43,6.579446881847457184733229951235,0.012647143460810184728559946166,False,True
27,27_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,1803,4344,3.968295030445792015427741716849,0.031623606111854316025322475525,True,False
28,28_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,3.000000000000000000000000000000,2437,1121,0.682613977008499239751415643696,0.028996200649533423326920100749,True,False
29,29_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,195.000000000000000000000000000000,4768,4475,8.615403868952766330835402186494,0.003107256884220987742245556618,False,True
30,30_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,82.000000000000000000000000000000,5000,84,10.000000000000000000000000000000,0.050000000000000002775557561563,True,True
31,31_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,208.000000000000000000000000000000,5000,2,10.000000000000000000000000000000,0.050000000000000002775557561563,False,True
32,32_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,80.000000000000000000000000000000,5000,323,10.000000000000000000000000000000,0.050000000000000002775557561563,True,True
33,33_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,2,10.000000000000000000000000000000,0.000500000000000000010408340856,False,True
34,34_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,162.000000000000000000000000000000,5000,2,10.000000000000000000000000000000,0.050000000000000002775557561563,True,True
35,35_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,204.000000000000000000000000000000,5000,2,10.000000000000000000000000000000,0.036243413880519763370369190625,False,True
36,36_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,489.000000000000000000000000000000,5000,2,0.001000000000000000020816681712,0.050000000000000002775557561563,False,True
37,37_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,3.000000000000000000000000000000,5000,2,0.001000000000000000020816681712,0.050000000000000002775557561563,False,False
38,38_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,225.000000000000000000000000000000,1,2,10.000000000000000000000000000000,0.050000000000000002775557561563,True,False
39,39_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,377.000000000000000000000000000000,5000,2,0.001000000000000000020816681712,0.050000000000000002775557561563,True,True
40,40_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,108.000000000000000000000000000000,5000,238,10.000000000000000000000000000000,0.050000000000000002775557561563,False,True
41,41_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1320.000000000000000000000000000000,5000,331,10.000000000000000000000000000000,0.000500000000000000010408340856,True,True
42,42_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,239.000000000000000000000000000000,5000,2,10.000000000000000000000000000000,0.000500000000000000010408340856,True,False
43,43_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,1,5000,10.000000000000000000000000000000,0.050000000000000002775557561563,True,False
44,44_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,1,5000,0.001000000000000000020816681712,0.000500000000000000010408340856,True,False
45,45_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,2362,0.001000000000000000020816681712,0.050000000000000002775557561563,False,False
46,46_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,3.000000000000000000000000000000,5000,2,0.001000000000000000020816681712,0.000500000000000000010408340856,False,False
47,47_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,2596,0.001000000000000000020816681712,0.000500000000000000010408340856,False,False
48,48_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,2,0.001000000000000000020816681712,0.000500000000000000010408340856,False,True
49,49_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,5.000000000000000000000000000000,1,2,0.001000000000000000020816681712,0.000500000000000000010408340856,True,False
50,50_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,5000,10.000000000000000000000000000000,0.000500000000000000010408340856,False,False
51,51_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,68.000000000000000000000000000000,5000,205,10.000000000000000000000000000000,0.050000000000000002775557561563,True,True
52,52_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,1.000000000000000000000000000000,5000,5000,10.000000000000000000000000000000,0.018873693704660011311036171833,True,False
53,53_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,5000,0.001000000000000000020816681712,0.050000000000000002775557561563,False,False
54,54_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,3.000000000000000000000000000000,5000,2,10.000000000000000000000000000000,0.000500000000000000010408340856,False,False
55,55_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,6.000000000000000000000000000000,1,2,0.001000000000000000020816681712,0.050000000000000002775557561563,True,False
56,56_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,464.000000000000000000000000000000,5000,2,10.000000000000000000000000000000,0.020658186240852527415512440712,False,True
57,57_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,131.000000000000000000000000000000,5000,371,10.000000000000000000000000000000,0.034114954099791081065795594895,True,True
58,58_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,217.000000000000000000000000000000,1,2,10.000000000000000000000000000000,0.000500000000000000010408340856,True,False
59,59_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,5000,10.000000000000000000000000000000,0.023499396162035300628101452958,False,False
60,60_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,3.000000000000000000000000000000,913,101,2.095183779852401340093592807534,0.008248209684229224764040466766,True,False
61,61_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,5.000000000000000000000000000000,5000,2,0.001000000000000000020816681712,0.017746872483970395351082771640,True,False
62,62_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,25.000000000000000000000000000000,2211,4,1.954686073410296209829084546072,0.043642105515460202780353426988,True,False
63,63_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,206.000000000000000000000000000000,5000,2,5.767311394125127499421523680212,0.030366590860090712788998956739,True,False
64,64_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,78.000000000000000000000000000000,479,315,3.237746341828334095680475002155,0.050000000000000002775557561563,True,True
65,65_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,5.000000000000000000000000000000,5000,2,0.001000000000000000020816681712,0.038416512251660234200656418579,True,False
66,66_0,RUNNING,BoTorch,BOTORCH_MODULAR,,,1044,2,6.811152253984709581402512412751,0.000500000000000000010408340856,False,True
67,67_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,90.000000000000000000000000000000,959,2,3.477652012947006543441830217489,0.000500000000000000010408340856,True,False
68,68_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,52.000000000000000000000000000000,4299,24,7.496403482575304089152723463485,0.045709063717234217627538583884,True,True
69,69_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,205.000000000000000000000000000000,959,2,3.642912109239513362979323574109,0.021401690205581320319838667388,True,False
70,70_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,85.000000000000000000000000000000,4299,24,7.632395618674534532033248979133,0.039631403399071028770261904128,False,True
71,71_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,12.000000000000000000000000000000,1492,2,2.257027493328604528244341054233,0.050000000000000002775557561563,True,False
72,72_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.560000000000000053290705182008,88.000000000000000000000000000000,2344,2,3.796731843021731833687226753682,0.050000000000000002775557561563,False,True
73,73_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,16.000000000000000000000000000000,706,27,6.185676133637779017249158641789,0.050000000000000002775557561563,True,False
74,74_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,7.000000000000000000000000000000,3909,2,1.820334027336865334589788290032,0.000500000000000000010408340856,True,False
75,75_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1598,1585,7.735442705240132887922754889587,0.000500000000000000010408340856,False,False
76,76_0,RUNNING,BoTorch,BOTORCH_MODULAR,,,3113,2,2.379384769225181273100133694243,0.000500000000000000010408340856,False,True
