trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
0,0_0,RUNNING,SOBOL,,,3871,2652,3.906740773618221584939647073043,0.011373020216822625136354751874,True,True
1,1_0,COMPLETED,SOBOL,0.320000000000000006661338147751,8.000000000000000000000000000000,194,965,5.786836073058657881063027161872,0.042198264057282358630018848089,False,False
2,2_0,COMPLETED,SOBOL,0.320000000000000006661338147751,11.000000000000000000000000000000,1548,3790,0.849921955174766541318831514218,0.014459635247476400679578212305,False,False
3,3_0,RUNNING,SOBOL,,,2518,2284,8.843335423929616467830783221871,0.032921210121829067030141402483,True,True
4,4_0,RUNNING,SOBOL,,,3620,4575,7.217609348520637624346818483900,0.027149177907034756362936178675,True,True
5,5_0,COMPLETED,SOBOL,0.320000000000000006661338147751,8.000000000000000000000000000000,2316,1814,3.091111723725683990693369196379,0.020282933948095889509222189417,False,False
6,6_0,COMPLETED,SOBOL,0.320000000000000006661338147751,7.000000000000000000000000000000,945,3429,8.066707175687886532955417351332,0.048810295194387440242955733538,False,False
7,7_0,COMPLETED,SOBOL,0.609999999999999986677323704498,1768.000000000000000000000000000000,4991,498,2.241732665266841451057189260609,0.004806212808471172631685774945,True,True
8,8_0,RUNNING,SOBOL,,,4468,4274,8.222738551981747079366869002115,0.023472975976765158429016011610,False,True
9,9_0,RUNNING,SOBOL,,,842,2113,1.470845427912659930669292407401,0.030146615225356075684626233624,True,False
10,10_0,RUNNING,SOBOL,,,2145,3115,6.415828015678562756818337220466,0.001809532275423407585851487411,True,False
11,11_0,COMPLETED,SOBOL,0.600000000000000088817841970013,3547.000000000000000000000000000000,3166,814,3.277427053976804227630736932042,0.045619502281304451229981822280,False,True
12,12_0,RUNNING,SOBOL,,,3040,3581,0.362887215422466435921222682737,0.039007471051998442168606828773,False,True
13,13_0,RUNNING,SOBOL,,,1650,33,9.945841083164326690280176990200,0.008376339499372989147452095438,True,False
14,14_0,RUNNING,SOBOL,,,365,4745,4.961566870792769812226197245764,0.035918647347949445025605541559,True,False
15,15_0,COMPLETED,SOBOL,0.600000000000000088817841970013,5621.000000000000000000000000000000,4326,1332,5.346870511716232066135034983745,0.017649677368346602251980570486,False,True
16,16_0,RUNNING,SOBOL,,,4084,4980,1.710848864017985748731121020683,0.048311674059834330829943382923,True,False
17,17_0,RUNNING,SOBOL,,,603,1408,8.597576598754152144010731717572,0.005304600859060884521234413569,False,True
18,18_0,RUNNING,SOBOL,,,1720,3659,3.653892442824318909089242879418,0.026662594526540489558996682717,False,True
19,19_0,RUNNING,SOBOL,,,2967,270,6.654862079183571310636580165010,0.020769189830869436153015783475,True,False
20,20_0,RUNNING,SOBOL,,,3407,2880,9.413272473671472795331283123232,0.014166316828224809892811109080,True,False
21,21_0,COMPLETED,SOBOL,0.600000000000000088817841970013,3056.000000000000000000000000000000,1909,734,0.279989747826009993669771347413,0.033214012215845287179227796059,False,True
22,22_0,RUNNING,SOBOL,,,770,4196,5.263118100993335879422829748364,0.011067663766909392047965710049,False,True
23,23_0,RUNNING,SOBOL,,,4546,1881,4.430434887585231074069724854780,0.042503198319114747494307238185,True,False
24,24_0,COMPLETED,SOBOL,0.320000000000000006661338147751,8.000000000000000000000000000000,4766,3196,6.026808257103898114337425795384,0.036404805958736692617083718915,False,False
25,25_0,COMPLETED,SOBOL,0.609999999999999986677323704498,1115.000000000000000000000000000000,1175,421,4.281624432008714009612049267162,0.017162996531464160682167729988,True,True
26,26_0,RUNNING,SOBOL,,,2402,4496,9.219683664113283327878889394924,0.039505761830601844597499194833,True,True
27,27_0,COMPLETED,SOBOL,0.320000000000000006661338147751,10.000000000000000000000000000000,3539,1579,1.089068399448879009838719866821,0.007877620908431708438013352236,False,False
28,28_0,COMPLETED,SOBOL,0.320000000000000006661338147751,7.000000000000000000000000000000,2747,4026,2.558436097345314852447017983650,0.002114558092784136599656674704,False,False
29,29_0,RUNNING,SOBOL,,,1314,2364,7.134833201495931476188161468599,0.045314237479120493545803327606,True,True
30,30_0,RUNNING,SOBOL,,,110,2728,2.157940062681213078121800208464,0.023765869626309724799151368302,True,True
31,31_0,COMPLETED,SOBOL,0.320000000000000006661338147751,8.000000000000000000000000000000,3952,1198,7.535610616448336074313374410849,0.029853388177230957140073641654,False,False
32,32_0,RUNNING,SOBOL,,,4044,3852,6.356407838739455584686766087543,0.043596160694491119247384602886,True,False
33,33_0,RUNNING,SOBOL,,,17,2262,3.336861460101790743948413364706,0.010068415712565184638727089350,False,True
