trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,0_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,3631,4869,231,192,7
1,1_0,COMPLETED,Sobol,SOBOL,0.560000000000000053290705182008,5.000000000000000000000000000000,448,440,878,18,2
2,2_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,1539,3002,463,160,5
3,3_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,4411,2307,673,118,10
4,4_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,3757,3193,844,72,8
5,5_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,2176,1501,10,144,4
6,6_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,1084,3827,581,34,2
7,7_0,COMPLETED,Sobol,SOBOL,0.560000000000000053290705182008,3.000000000000000000000000000000,2979,867,309,239,6
8,8_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,2784,2524,506,136,3
9,9_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,656,2160,358,94,8
10,10_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,2376,4408,804,232,10
11,11_0,COMPLETED,Sobol,SOBOL,0.579999999999999960031971113494,6.000000000000000000000000000000,4193,276,95,58,4
12,12_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,4828,4288,392,11,4
13,13_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,4.000000000000000000000000000000,1724,1031,727,216,9
14,14_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,2,3671,187,110,6
15,15_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,5.000000000000000000000000000000,3421,1648,959,183,1
16,16_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,3197,3505,344,41,10
17,17_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,2.000000000000000000000000000000,248,1814,554,247,5
18,18_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,1651,4141,108,79,2
19,19_0,COMPLETED,Sobol,SOBOL,0.560000000000000053290705182008,4.000000000000000000000000000000,4914,1177,755,152,7
20,20_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,4260,4554,708,168,7
21,21_0,COMPLETED,Sobol,SOBOL,0.569999999999999951150186916493,4.000000000000000000000000000000,2288,129,435,126,1
22,22_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,883,2690,975,200,3
23,23_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,2544,1994,141,26,8
24,24_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,2906,3973,923,102,5
25,25_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,4.000000000000000000000000000000,1168,720,214,175,9
26,26_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,1951,3359,629,3,7
27,27_0,COMPLETED,Sobol,SOBOL,0.560000000000000053290705182008,4.000000000000000000000000000000,4003,1334,481,208,3
28,28_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,4638,2836,60,224,1
29,29_0,COMPLETED,Sobol,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,1299,2473,832,50,6
30,30_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,18.000000000000000000000000000000,4680,1,508,250,1
31,31_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,1464,2,250,10
32,32_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,15.000000000000000000000000000000,4817,1,29,250,1
33,33_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,16.000000000000000000000000000000,4505,1,1000,250,1
34,34_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,1920,2,219,10
35,35_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,1192,2,250,8
36,36_0,FAILED,BoTorch,BOTORCH_MODULAR,,,5000,1730,2,2,10
37,37_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.569999999999999951150186916493,14.000000000000000000000000000000,4594,1,754,250,1
38,38_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,2207,2,250,10
39,39_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,5000,1000,2,10
40,40_0,COMPLETED,BoTorch,BOTORCH_MODULAR,0.550000000000000044408920985006,0.000000000000000000000000000000,1,4495,2,250,10
