trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,0_0,COMPLETED,SOBOL,0.920000000000000039968028886506,3911.000000000000000000000000000000,476,4215,181,140,5
1,1_0,FAILED,SOBOL,,,4397,2410,900,71,7
2,2_0,COMPLETED,SOBOL,0.920000000000000039968028886506,2805.000000000000000000000000000000,2721,3250,443,216,10
3,3_0,COMPLETED,SOBOL,0.900000000000000022204460492503,4597.000000000000000000000000000000,2227,211,731,22,2
4,4_0,FAILED,SOBOL,,,1620,2638,784,58,1
5,5_0,COMPLETED,SOBOL,0.910000000000000031086244689504,2745.000000000000000000000000000000,3353,853,15,235,8
6,6_0,FAILED,SOBOL,,,3789,4818,580,106,6
7,7_0,COMPLETED,SOBOL,0.900000000000000022204460492503,4129.000000000000000000000000000000,1109,1759,374,159,4
8,8_0,COMPLETED,SOBOL,0.920000000000000039968028886506,3472.000000000000000000000000000000,816,3598,558,224,8
9,9_0,FAILED,SOBOL,,,4082,403,272,45,5
10,10_0,COMPLETED,SOBOL,0.890000000000000013322676295502,6243.000000000000000000000000000000,3646,3938,822,180,2
11,11_0,COMPLETED,SOBOL,0.910000000000000031086244689504,3764.000000000000000000000000000000,1327,1977,102,125,10
12,12_0,FAILED,SOBOL,,,1935,4550,422,82,9
13,13_0,COMPLETED,SOBOL,0.900000000000000022204460492503,5159.000000000000000000000000000000,3014,1336,626,153,1
14,14_0,FAILED,SOBOL,,,4690,2996,216,2,4
15,15_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1035.000000000000000000000000000000,183,1054,988,197,6
16,16_0,COMPLETED,SOBOL,0.900000000000000022204460492503,2590.000000000000000000000000000000,48,2851,291,97,3
17,17_0,COMPLETED,SOBOL,0.900000000000000022204460492503,5260.000000000000000000000000000000,4907,1199,509,165,9
18,18_0,COMPLETED,SOBOL,0.900000000000000022204460492503,6704.000000000000000000000000000000,2840,4382,91,52,7
19,19_0,COMPLETED,SOBOL,0.849999999999999977795539507497,888.000000000000000000000000000000,2034,1504,865,245,5
20,20_0,COMPLETED,SOBOL,0.900000000000000022204460492503,5288.000000000000000000000000000000,1422,3774,686,210,4
21,21_0,FAILED,SOBOL,,,3468,2141,394,33,6
22,22_0,FAILED,SOBOL,,,4294,3450,952,130,8
23,23_0,COMPLETED,SOBOL,0.900000000000000022204460492503,3875.000000000000000000000000000000,676,551,221,77,2
24,24_0,COMPLETED,SOBOL,0.900000000000000022204460492503,5663.000000000000000000000000000000,1008,4962,912,12,10
25,25_0,COMPLETED,SOBOL,0.890000000000000013322676295502,5576.000000000000000000000000000000,3962,1615,137,191,2
26,26_0,COMPLETED,SOBOL,0.890000000000000013322676295502,6799.000000000000000000000000000000,3135,2806,710,88,4
27,27_0,COMPLETED,SOBOL,0.890000000000000013322676295502,4737.000000000000000000000000000000,1754,685,495,143,8
28,28_0,COMPLETED,SOBOL,0.930000000000000048849813083507,2835.000000000000000000000000000000,2366,3415,48,186,7
29,29_0,COMPLETED,SOBOL,0.900000000000000022204460492503,1824.000000000000000000000000000000,2509,47,781,115,3
30,30_0,COMPLETED,SOBOL,0.890000000000000013322676295502,5895.000000000000000000000000000000,4575,4364,317,234,1
31,31_0,COMPLETED,SOBOL,0.920000000000000039968028886506,2563.000000000000000000000000000000,380,2262,606,39,9
32,32_0,COMPLETED,SOBOL,0.910000000000000031086244689504,4511.000000000000000000000000000000,461,3159,832,75,4
33,33_0,FAILED,SOBOL,,,4666,256,124,129,6
34,34_0,COMPLETED,SOBOL,0.900000000000000022204460492503,5751.000000000000000000000000000000,2590,4065,534,26,8
35,35_0,COMPLETED,SOBOL,0.920000000000000039968028886506,2093.000000000000000000000000000000,2457,2437,266,204,1
36,36_0,COMPLETED,SOBOL,0.900000000000000022204460492503,5426.000000000000000000000000000000,1820,4717,196,247,3
37,37_0,COMPLETED,SOBOL,0.890000000000000013322676295502,5147.000000000000000000000000000000,3211,1833,977,53,10
38,38_0,COMPLETED,SOBOL,0.890000000000000013322676295502,4997.000000000000000000000000000000,4028,2517,427,172,7
39,39_0,FAILED,SOBOL,,,1084,870,653,102,5
40,40_0,FAILED,SOBOL,,,752,4029,469,33,6
