trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,0_0,COMPLETED,SOBOL,0.500000000000000000000000000000,92.000000000000000000000000000000,93,990,684,242,1
1,1_0,COMPLETED,SOBOL,0.320000000000000006661338147751,224.000000000000000000000000000000,4969,2986,10,22,7
2,2_0,COMPLETED,SOBOL,0.419999999999999984456877655248,140.000000000000000000000000000000,3687,1930,815,176,8
3,3_0,COMPLETED,SOBOL,0.309999999999999997779553950750,204.000000000000000000000000000000,1370,3921,488,81,5
4,4_0,COMPLETED,SOBOL,0.560000000000000053290705182008,202.000000000000000000000000000000,1937,1632,143,118,3
5,5_0,COMPLETED,SOBOL,0.320000000000000006661338147751,382.000000000000000000000000000000,3008,4883,534,147,10
6,6_0,COMPLETED,SOBOL,0.589999999999999968913755310496,193.000000000000000000000000000000,4284,76,356,52,7
7,7_0,COMPLETED,SOBOL,0.570000000000000062172489379009,301.000000000000000000000000000000,656,3312,962,206,2
8,8_0,COMPLETED,SOBOL,0.309999999999999997779553950750,205.000000000000000000000000000000,985,2481,264,139,8
9,9_0,COMPLETED,SOBOL,0.600000000000000088817841970013,798.000000000000000000000000000000,3921,4170,936,110,1
10,10_0,COMPLETED,SOBOL,0.560000000000000053290705182008,149.000000000000000000000000000000,2697,927,243,198,4
11,11_0,COMPLETED,SOBOL,0.320000000000000006661338147751,139.000000000000000000000000000000,2204,2601,568,44,9
12,12_0,COMPLETED,SOBOL,0.320000000000000006661338147751,44.000000000000000000000000000000,1680,589,789,14,10
13,13_0,COMPLETED,SOBOL,0.589999999999999968913755310496,368.000000000000000000000000000000,3421,3522,396,234,4
14,14_0,COMPLETED,SOBOL,0.419999999999999984456877655248,126.000000000000000000000000000000,4640,1529,717,73,3
15,15_0,COMPLETED,SOBOL,0.470000000000000028865798640254,270.000000000000000000000000000000,457,4458,110,168,6
16,16_0,COMPLETED,SOBOL,0.320000000000000006661338147751,81.000000000000000000000000000000,488,1302,902,63,5
17,17_0,COMPLETED,SOBOL,0.500000000000000000000000000000,371.000000000000000000000000000000,4418,4550,292,217,9
18,18_0,COMPLETED,SOBOL,0.510000000000000008881784197001,111.000000000000000000000000000000,3136,371,595,122,7
19,19_0,COMPLETED,SOBOL,0.600000000000000088817841970013,571.000000000000000000000000000000,1765,3604,208,151,2
20,20_0,COMPLETED,SOBOL,0.579999999999999960031971113494,147.000000000000000000000000000000,2489,698,424,187,2
21,21_0,COMPLETED,SOBOL,0.289999999999999980015985556747,157.000000000000000000000000000000,2612,2692,754,92,6
22,22_0,COMPLETED,SOBOL,0.350000000000000033306690738755,192.000000000000000000000000000000,3890,2263,74,246,10
23,23_0,COMPLETED,SOBOL,0.300000000000000044408920985006,233.000000000000000000000000000000,1207,4251,744,26,3
24,24_0,COMPLETED,SOBOL,0.410000000000000031086244689504,44.000000000000000000000000000000,902,298,45,69,9
25,25_0,COMPLETED,SOBOL,0.550000000000000044408920985006,248.000000000000000000000000000000,4160,3228,657,164,5
26,26_0,COMPLETED,SOBOL,0.579999999999999960031971113494,2256.000000000000000000000000000000,2937,1863,460,3,1
27,27_0,COMPLETED,SOBOL,0.390000000000000013322676295502,314.000000000000000000000000000000,2120,4789,850,223,8
28,28_0,COMPLETED,SOBOL,0.479999999999999982236431605997,157.000000000000000000000000000000,1440,2150,508,193,6
29,29_0,COMPLETED,SOBOL,0.309999999999999997779553950750,334.000000000000000000000000000000,3505,3836,179,40,2
30,30_0,COMPLETED,SOBOL,0.570000000000000062172489379009,177.000000000000000000000000000000,4723,1221,997,128,4
31,31_0,COMPLETED,SOBOL,0.320000000000000006661338147751,187.000000000000000000000000000000,217,2892,329,99,9
32,32_0,COMPLETED,SOBOL,0.340000000000000024424906541753,146.000000000000000000000000000000,265,1997,227,30,2
33,33_0,COMPLETED,SOBOL,0.600000000000000088817841970013,492.000000000000000000000000000000,4831,3991,583,250,6
34,34_0,COMPLETED,SOBOL,0.320000000000000006661338147751,72.000000000000000000000000000000,3555,1062,280,88,10
35,35_0,COMPLETED,SOBOL,0.560000000000000053290705182008,354.000000000000000000000000000000,1546,3050,921,184,4
36,36_0,COMPLETED,SOBOL,0.460000000000000019984014443253,42.000000000000000000000000000000,2072,139,701,155,5
37,37_0,COMPLETED,SOBOL,0.309999999999999997779553950750,216.000000000000000000000000000000,2829,3387,125,126,8
38,38_0,COMPLETED,SOBOL,0.489999999999999991118215802999,182.000000000000000000000000000000,4110,1708,805,213,7
