trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
0,0_0,RUNNING,Sobol,GenerationStep_0,,,3295,6,0.309049015760421763587828536402,3716
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,33.000000000000000000000000000000,1355,2,0.547010531963780577413558603439,601
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.619999999999999995559107901499,4561.000000000000000000000000000000,456,4,0.017579340014606713998857046022,4621
3,3_0,RUNNING,Sobol,GenerationStep_0,,,4896,0,0.777938275570049908580472219910,1493
4,4_0,RUNNING,Sobol,GenerationStep_0,,,3892,5,0.645387673435732667215347646561,2487
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,36.000000000000000000000000000000,835,1,0.399629938431084130723291991671,4369
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,304.000000000000000000000000000000,2359,7,0.929060461169108786627646168199,889
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,2679.000000000000000000000000000000,2916,3,0.176499069824814808216117967277,2764
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,39.000000000000000000000000000000,2568,4,0.945943590514361831722567330871,3755
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,1756.000000000000000000000000000000,2160,0,0.193609256936237206225825957517,1891
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.579999999999999960031971113494,759.000000000000000000000000000000,1183,6,0.722813643932342486664310854394,2869
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,32.000000000000000000000000000000,4091,2,0.477284870227798807551522486392,979
12,12_0,RUNNING,Sobol,GenerationStep_0,,,4622,7,0.095233736442402003308238533918,23
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.619999999999999995559107901499,37.000000000000000000000000000000,28,3,0.855364781435579035751004539634,3162
14,14_0,RUNNING,Sobol,GenerationStep_0,,,1629,5,0.326160558024421343148446794658,1640
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,41.000000000000000000000000000000,3723,1,0.563892293144017453521144034312,4748
16,16_0,RUNNING,Sobol,GenerationStep_0,,,3585,5,0.238272014943882837201272195671,671
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,36.000000000000000000000000000000,1768,1,0.998372484423220130089760004921,2553
