trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
0,0_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,1818.000000000000000000000000000000,4226,11,0.683577050685882592340192331903,4856
1,1_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,1775.000000000000000000000000000000,832,29,0.414088741641491675515851511591,1739
2,2_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,1838.000000000000000000000000000000,2258,16,0.848029360054060821205723641469,3454
3,3_0,FAILED,GenerationStep_0,,,2527,51,0.124398665644228453852626614662,339
4,4_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,1737.000000000000000000000000000000,3358,22,0.350204132342711083047959164105,1123
5,5_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,1536.000000000000000000000000000000,1742,43,0.622589851472526767395265778759,2987
6,6_0,COMPLETED,GenerationStep_0,0.470000000000000028865798640254,5583.000000000000000000000000000000,4,3,0.187186603313311938912022469594,2210
7,7_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,1758.000000000000000000000000000000,4745,35,0.909869588777422855230270215543,4077
8,8_0,FAILED,GenerationStep_0,,,4644,17,0.236338044913485645359685349831,2541
9,9_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,1770.000000000000000000000000000000,606,49,0.978524534981697780011700160685,695
10,10_0,FAILED,GenerationStep_0,,,1368,8,0.289715212879702421755467867115,3951
11,11_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,1817.000000000000000000000000000000,3531,30,0.550409590162336814778143434523,2107
12,12_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,1810.000000000000000000000000000000,3096,3,0.791808687889948514815330327110,1328
13,13_0,COMPLETED,GenerationStep_0,0.040000000000000000832667268469,3425.000000000000000000000000000000,2124,38,0.048682073269039394247670315963,4422
14,14_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,1696.000000000000000000000000000000,1050,24,0.736028765624389014199380198988,228
15,15_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,1574.000000000000000000000000000000,3897,43,0.478224203810095782607447745249,3325
16,16_0,COMPLETED,GenerationStep_0,0.059999999999999997779553950750,1354.000000000000000000000000000000,3935,25,0.944277987167239207799696032453,2488
17,17_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,2251.000000000000000000000000000000,1166,40,0.215778039937838922446289302570,4351
18,18_0,FAILED,GenerationStep_0,,,1928,0,0.529841707084327984134120015369,1076
19,19_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,1908.000000000000000000000000000000,2821,38,0.255476550603285446072732156608,2942
20,20_0,FAILED,GenerationStep_0,,,3649,8,0.030036800362169744499363233103,3725
21,21_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,2202.000000000000000000000000000000,1408,33,0.755647408006712817396532955172,609
22,22_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,1801.000000000000000000000000000000,334,20,0.442070333581417784785116964485,4822
23,23_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,1941.000000000000000000000000000000,4450,48,0.717376090498641150183800618834,1709
24,24_0,FAILED,GenerationStep_0,,,4941,6,0.385963839992880808349440258098,114
25,25_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,2049.000000000000000000000000000000,278,34,0.641788964455947241738442698988,3209
26,26_0,COMPLETED,GenerationStep_0,0.170000000000000012212453270877,1851.000000000000000000000000000000,1704,21,0.082602691087871785158291970674,1515
27,27_0,COMPLETED,GenerationStep_0,0.059999999999999997779553950750,1836.000000000000000000000000000000,3242,46,0.819912343943491550568580805702,4612
28,28_0,FAILED,GenerationStep_0,,,2799,13,0.578878962673246899584000857431,3833
29,29_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,1738.000000000000000000000000000000,2452,52,0.324002023039385689262559253621,1986
30,30_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,2151.000000000000000000000000000000,714,12,0.883674889128655216552488127491,2743
31,31_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,1790.000000000000000000000000000000,4186,27,0.143468312295153749280629540408,898
32,32_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,4308.000000000000000000000000000000,4114,15,0.310405088502913706349772837711,1585
33,33_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,1839.000000000000000000000000000000,633,51,0.537958689013496083042298323562,4702
34,34_0,RUNNING,GenerationStep_0,,,2371,10,0.223407209694385516796089063973,498
35,35_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,1784.000000000000000000000000000000,2727,29,0.998718776097521132584233782836,3612
36,36_0,COMPLETED,GenerationStep_0,0.020000000000000000416333634234,1771.000000000000000000000000000000,3148,4,0.725523527111858079763351270230,2829
37,37_0,RUNNING,GenerationStep_1,,,5000,12,0.001000000000000000020816681712,3283
38,38_0,RUNNING,GenerationStep_1,,,3766,17,0.001000000000000000020816681712,4000
39,39_0,RUNNING,GenerationStep_1,,,4773,6,0.001000000000000000020816681712,3707
40,40_0,RUNNING,GenerationStep_1,,,5000,0,0.001000000000000000020816681712,1988
41,41_0,COMPLETED,GenerationStep_1,0.479999999999999982236431605997,3058.000000000000000000000000000000,1,15,0.001000000000000000020816681712,3498
42,42_0,RUNNING,GenerationStep_1,,,4692,9,0.001000000000000000020816681712,1468
43,43_0,RUNNING,GenerationStep_1,,,856,20,0.001000000000000000020816681712,4606
