trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,feature_id,threshold,window_size
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,289.000000000000000000000000000000,1506,66,0.164442450225353253845383960652,206
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,2782,32,0.748755357600748516766486773122,4238
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,4833,50,0.480446136327460415760270961982,1980
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,1016,12,0.924324283774942134783714209334,3578
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,145,44,0.578230295376852110322829503275,2706
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,3829,1,0.009571689527481795634056283006,1738
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,3693,55,0.776881120858713969390407783067,4480
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,2469,26,0.317348665378987815355316115529,1078
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,2177,47,0.851487922277301523266146432434,1470
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,3361,13,0.297441856028512141563169279834,2995
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,4161,67,0.536035871572792532724349712225,721
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,438,29,0.122303455693647269986179537682,4817
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,724,61,0.405778806619346121831171103622,3969
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,4500,18,0.944291680900379959417989539361,494
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,3114,36,0.206697395812720063901224420988,3221
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,1798,7,0.635963007377460587399298219680,2316
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,1605,39,0.278028808323666443147459403917,4618
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,2838,5,0.816450370602309738465862665180,1214
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,4537,59,0.079343332575634126224706221819,2573
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,844,21,0.508700371395796491214014167781,1598
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,475,70,0.979298835517838583974992161529,2118
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,4281,27,0.425222251381725091512464587140,3713
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,162.000000000000000000000000000000,3167,45,0.663329023582860832775054404920,73
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,1900,16,0.249627002902328976041701480426,4097
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,2193,58,0.705797494929283897313609941193,3395
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,3500,24,0.137108493881300086414398720080,2493
26,26_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,3949,42,0.904905168555676930886022546474,3790
27,27_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,182,4,0.445403230963274832099330069468,322
28,28_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,1136,53,0.036936159111559389855994339769,896
29,29_0,COMPLETED,Sobol,GenerationStep_0,0.959999999999999964472863211995,1.000000000000000000000000000000,4870,10,0.621157642019912636932588156924,4994
30,30_0,COMPLETED,BoTorch,GenerationStep_1,0.959999999999999964472863211995,1.000000000000000000000000000000,5000,71,0.998999999999999999111821580300,911
