trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0_0,FAILED,GenerationStep_0,,,4266,1478,58,279,0.855388536572456392725882778905
1,1_0,FAILED,GenerationStep_0,,,2304,3488,18,610,0.456327578758820906479343193496
2,2_0,COMPLETED,GenerationStep_0,0.780000000000000026645352591004,551.000000000000000000000000000000,20,57,83,93,0.063203594576567406759792788762
3,3_0,RUNNING,GenerationStep_0,,,3427,4919,43,801,0.625023376472294334149637506926
4,4_0,RUNNING,GenerationStep_0,,,2728,863,11,956,0.501436448719352445557717601332
5,5_0,RUNNING,GenerationStep_0,,,706,4162,65,186,0.187076082162559026444981213899
6,6_0,RUNNING,GenerationStep_0,,,1586,1981,36,642,0.330471645990386586611009533954
7,7_0,RUNNING,GenerationStep_0,,,4976,3054,90,498,0.981073194971308071288262908638
8,8_0,RUNNING,GenerationStep_0,,,4397,468,30,195,0.431035209963098187024854723859
9,9_0,RUNNING,GenerationStep_0,,,1536,4666,95,917,0.755987787386402487754821777344
10,10_0,RUNNING,GenerationStep_0,,,1163,1850,5,381,0.728341367062181221925243335136
11,11_0,RUNNING,GenerationStep_0,,,2892,3274,70,729,0.084692472063004967108845733037
12,12_0,RUNNING,GenerationStep_0,,,3455,2196,77,509,0.208477393370121721893895028188
13,13_0,RUNNING,GenerationStep_0,,,613,2683,48,348,0.604727793551981473996193017229
14,14_0,RUNNING,GenerationStep_0,,,2076,1117,52,824,0.881645793521776743872919723799
15,15_0,RUNNING,GenerationStep_0,,,3864,3753,23,39,0.305091703480109555091104311941
16,16_0,RUNNING,GenerationStep_0,,,4001,1033,100,670,0.685422006338834766125955866301
17,17_0,RUNNING,GenerationStep_0,,,1941,4023,26,440,0.002787803161889314609855894389
18,18_0,RUNNING,GenerationStep_0,,,436,2454,75,984,0.481695555401965957997845180216
19,19_0,RUNNING,GenerationStep_0,,,3629,2592,1,127,0.830037794904783354787980442779
20,20_0,RUNNING,GenerationStep_0,,,3069,1628,47,97,0.955737645326182216898303067865
21,21_0,RUNNING,GenerationStep_0,,,988,3329,79,766,0.355793900640681393099384877132
22,22_0,RUNNING,GenerationStep_0,,,1398,510,22,283,0.126645025297999369584545092948
23,23_0,RUNNING,GenerationStep_0,,,4532,4437,54,575,0.561880741093307767286546550167
24,24_0,RUNNING,GenerationStep_0,,,4837,2043,14,867,0.106105790033936497884781147150
25,25_0,RUNNING,GenerationStep_0,,,1723,2845,63,27,0.706910887543112043118753717863
26,26_0,FAILED,GenerationStep_0,,,884,661,38,552,0.804745422391220932567534873670
27,27_0,FAILED,GenerationStep_0,,,2553,4236,88,337,0.382294795991852898175977770734
28,28_0,FAILED,GenerationStep_0,,,3251,295,67,432,0.256366495473310362918084592820
29,29_0,FAILED,GenerationStep_0,,,193,4808,10,709,0.930357706533744943655506176583
30,30_0,FAILED,GenerationStep_0,,,2441,1374,92,245,0.583282048583030676702776418097
31,31_0,FAILED,GenerationStep_0,,,4131,3739,35,897,0.229936373848468073033401992689
32,32_0,FAILED,GenerationStep_0,,,4208,153,4,581,0.995980360357090810374813827366
33,33_0,FAILED,GenerationStep_0,,,2364,4981,72,311,0.316239997209981082981755662331
34,34_0,FAILED,GenerationStep_0,,,273,1535,29,767,0.172110621050000189846684861550
35,35_0,FAILED,GenerationStep_0,,,3172,3589,97,123,0.515611705306917467162008961168
36,36_0,FAILED,GenerationStep_1,,,5000,1,57,178,0.531452658533800748053010920557
37,37_0,FAILED,GenerationStep_1,,,1835,4237,99,1000,0.339606154268484339286970907779
38,38_0,COMPLETED,GenerationStep_1,0.739999999999999991118215802999,3566.000000000000000000000000000000,4527,54,1,1000,0.350430857184206134835591228693
39,39_0,FAILED,GenerationStep_1,,,4682,4824,36,803,0.001000000000000000020816681712
40,40_0,FAILED,GenerationStep_1,,,4285,1,100,1,0.763909397271505641313638079737
41,41_0,FAILED,GenerationStep_1,,,5000,1,100,1000,0.972897313257868656677374019637
42,42_0,FAILED,GenerationStep_1,,,1,5000,100,596,0.036661729552634317319537160529
43,43_0,FAILED,GenerationStep_1,,,1,3756,1,546,0.975388474982900488541304184764
44,44_0,FAILED,GenerationStep_1,,,5000,2088,32,1000,0.575743665671940130224015774729
45,45_0,FAILED,GenerationStep_1,,,1632,736,72,853,0.998999999999999999111821580300
46,46_0,FAILED,GenerationStep_1,,,932,1,95,471,0.876012370975841836440167753608
47,47_0,FAILED,GenerationStep_1,,,1,4266,59,1,0.001000000000000000020816681712
48,48_0,FAILED,GenerationStep_1,,,5000,4837,100,166,0.947132658408179728404263642005
49,49_0,FAILED,GenerationStep_1,,,1,1129,1,151,0.468039306257199971827986928474
50,50_0,FAILED,GenerationStep_1,,,1,1,71,1000,0.001000000000000000020816681712
51,51_0,FAILED,GenerationStep_1,,,3753,3182,100,1000,0.456111777998250700338900287534
52,52_0,FAILED,GenerationStep_1,,,1,4424,100,922,0.921001139285610448403929240158
53,53_0,COMPLETED,GenerationStep_1,0.709999999999999964472863211995,47.000000000000000000000000000000,3413,1,1,1,0.693184161638974782881916780752
54,54_0,FAILED,GenerationStep_1,,,5000,4994,14,224,0.731042138904746008343238372618
55,55_0,FAILED,GenerationStep_1,,,1,5000,94,1,0.998999999999999999111821580300
56,56_0,FAILED,GenerationStep_1,,,5000,4062,66,682,0.001000000000000000020816681712
57,57_0,COMPLETED,GenerationStep_1,0.709999999999999964472863211995,1743.000000000000000000000000000000,1,1,1,1000,0.092082592940336202569362455961
58,58_0,FAILED,GenerationStep_1,,,1013,5000,31,624,0.617246168343732692918024440587
59,59_0,FAILED,GenerationStep_1,,,1905,1,12,1,0.842841168860971823306726946612
60,60_0,FAILED,GenerationStep_1,,,1,1,61,1,0.457977224347627887013345571177
61,61_0,FAILED,GenerationStep_1,,,2678,1,81,1,0.285406933781059246602040957441
62,62_0,FAILED,GenerationStep_1,,,1,1,94,442,0.070419528684981302912859746357
63,63_0,FAILED,GenerationStep_1,,,1558,1429,100,1,0.368253278194982880400232261309
64,64_0,FAILED,GenerationStep_1,,,5000,1,40,109,0.097397779973003015263621762188
65,65_0,FAILED,GenerationStep_1,,,1,2728,100,72,0.001000000000000000020816681712
66,66_0,FAILED,GenerationStep_1,,,1,1618,37,1,0.001000000000000000020816681712
67,67_0,FAILED,GenerationStep_1,,,1,2094,1,1,0.998999999999999999111821580300
68,68_0,FAILED,GenerationStep_1,,,341,1,47,1,0.001000000000000000020816681712
69,69_0,FAILED,GenerationStep_1,,,4947,4620,15,781,0.206938110456558771454993461703
70,70_0,FAILED,GenerationStep_1,,,1,1,100,219,0.539451093251528734917599194887
71,71_0,COMPLETED,GenerationStep_1,0.709999999999999964472863211995,3456.000000000000000000000000000000,5000,786,64,1,0.001000000000000000020816681712
72,72_0,FAILED,GenerationStep_1,,,4278,1,100,322,0.980500727817989914392171613144
73,73_0,FAILED,GenerationStep_1,,,2603,3961,100,1,0.998999999999999999111821580300
74,74_0,FAILED,GenerationStep_1,,,5000,4707,1,415,0.358273414150330427041524217202
75,75_0,FAILED,GenerationStep_1,,,917,1,66,283,0.361622224113689549884753660081
76,76_0,FAILED,GenerationStep_1,,,1,1114,100,1,0.349425970843059818804476890364
77,77_0,FAILED,GenerationStep_1,,,1,2679,100,630,0.821730124694630470472134220472
78,78_0,COMPLETED,GenerationStep_1,0.709999999999999964472863211995,4032.000000000000000000000000000000,1,1301,1,1,0.527175223310947238530843605986
79,79_0,COMPLETED,GenerationStep_1,0.709999999999999964472863211995,47.000000000000000000000000000000,1,1,1,1,0.123528482453539006913345588146
80,80_0,FAILED,GenerationStep_1,,,4484,5000,28,694,0.924417862291719294454139799200
81,81_0,FAILED,GenerationStep_1,,,5000,5000,58,842,0.117989270561899242673042920160
82,82_0,COMPLETED,GenerationStep_1,0.709999999999999964472863211995,906.000000000000000000000000000000,1,1,1,538,0.998999999999999999111821580300
83,83_0,FAILED,GenerationStep_1,,,1,954,1,348,0.286672891908822113915533691397
84,84_0,FAILED,GenerationStep_1,,,1,3134,10,58,0.001000000000000000020816681712
85,85_0,FAILED,GenerationStep_1,,,971,5000,100,150,0.998999999999999999111821580300
86,86_0,FAILED,GenerationStep_1,,,2032,1,49,202,0.001000000000000000020816681712
87,87_0,FAILED,GenerationStep_1,,,1,1,24,1,0.998999999999999999111821580300
88,88_0,FAILED,GenerationStep_1,,,1,1947,85,396,0.433126118197825760169905606745
89,89_0,FAILED,GenerationStep_1,,,5000,1038,61,258,0.998999999999999999111821580300
90,90_0,FAILED,GenerationStep_1,,,1,1,84,1,0.191275267246706931478783531020
91,91_0,FAILED,GenerationStep_1,,,1,2477,73,1,0.075782441368433872685983487827
92,92_0,FAILED,GenerationStep_1,,,1,1742,79,1,0.998999999999999999111821580300
93,93_0,FAILED,GenerationStep_1,,,165,1256,82,1000,0.998999999999999999111821580300
94,94_0,FAILED,GenerationStep_1,,,191,5000,81,658,0.914025943868270518422036730044
95,95_0,COMPLETED,GenerationStep_1,0.709999999999999964472863211995,1934.000000000000000000000000000000,1977,386,98,1,0.826160811098107794592237951292
96,96_0,FAILED,GenerationStep_1,,,1076,1,66,1,0.001000000000000000020816681712
97,97_0,FAILED,GenerationStep_1,,,51,2451,90,691,0.001000000000000000020816681712
98,98_0,FAILED,GenerationStep_1,,,639,1,75,120,0.203347448274415837365935999514
99,99_0,FAILED,GenerationStep_1,,,397,1831,80,1000,0.835241113445014726757165135496
100,100_0,COMPLETED,GenerationStep_1,0.729999999999999982236431605997,4911.000000000000000000000000000000,471,296,92,91,0.862702562110832182895592268324
101,101_0,FAILED,GenerationStep_1,,,205,2641,94,44,0.869719984301997373066228647076
102,102_0,COMPLETED,GenerationStep_1,0.709999999999999964472863211995,239.000000000000000000000000000000,4964,252,1,1,0.709023752370486870511001598061
103,103_0,FAILED,GenerationStep_1,,,1,4391,71,902,0.001000000000000000020816681712
104,104_0,FAILED,GenerationStep_1,,,1,1,94,1,0.998999999999999999111821580300
105,105_0,FAILED,GenerationStep_1,,,1,235,88,926,0.834286931868378434096200635395
106,106_0,FAILED,GenerationStep_1,,,1489,1,70,1,0.905849208626254065457317210530
107,107_0,FAILED,GenerationStep_1,,,707,2993,78,1000,0.998999999999999999111821580300
108,108_0,FAILED,GenerationStep_1,,,82,4922,86,1000,0.567123629418574970451061290078
109,109_0,FAILED,GenerationStep_1,,,275,4944,84,331,0.293029591920076271094330877531
110,110_0,FAILED,GenerationStep_1,,,3300,1945,63,220,0.628808684732375611226018463640
