trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0_0,FAILED,GenerationStep_0,,,4664,2432,49,53,0.466847636580467240108305304602
1,1_0,FAILED,GenerationStep_0,,,1575,2961,70,566,0.604852147854864630183158169530
2,2_0,FAILED,GenerationStep_0,,,125,572,3,395,0.977226019974797965872426175338
3,3_0,FAILED,GenerationStep_0,,,3598,4819,79,970,0.094342499623075129489002677019
4,4_0,FAILED,GenerationStep_0,,,2506,973,52,847,0.129260368460789309974501293254
5,5_0,FAILED,GenerationStep_0,,,1214,4261,30,272,0.802085156571120005963848598185
6,6_0,FAILED,GenerationStep_0,,,2049,1581,98,689,0.679120033793151334222670811869
7,7_0,FAILED,GenerationStep_0,,,4194,3655,22,176,0.252113327732309711048941380795
8,8_0,COMPLETED,GenerationStep_0,0.800000000000000044408920985006,2758.000000000000000000000000000000,3916,185,92,314,0.555507570987567311782129308995
9,9_0,FAILED,GenerationStep_0,,,2306,4426,15,803,0.389483463086187864377052392229
10,10_0,FAILED,GenerationStep_0,,,644,2037,57,222,0.013332589264959095187723647769
11,11_0,FAILED,GenerationStep_0,,,3097,2572,38,649,0.931546229252591673208883094048
12,12_0,FAILED,GenerationStep_0,,,3262,1344,8,522,0.849480516547337138888451590901
13,13_0,FAILED,GenerationStep_0,,,480,3422,86,95,0.204675307404249912091032115313
14,14_0,FAILED,GenerationStep_0,,,1532,742,44,930,0.331174017481505877924519154476
15,15_0,FAILED,GenerationStep_0,,,4688,4026,64,441,0.722850607624277441409788025339
16,16_0,FAILED,GenerationStep_0,,,4965,782,16,747,0.104330130266025666863072274282
17,17_0,FAILED,GenerationStep_0,,,1256,3827,90,140,0.964322294313460615100552786316
18,18_0,FAILED,GenerationStep_0,,,445,1431,33,838,0.591944250777363789595142407052
19,19_0,FAILED,GenerationStep_0,,,3298,3181,62,294,0.476824434367939808954162117516
20,20_0,FAILED,GenerationStep_0,,,2826,1987,84,421,0.301561759663745765358555672719
21,21_0,FAILED,GenerationStep_0,,,914,2781,10,965,0.626740278571844111610289473902
22,22_0,COMPLETED,GenerationStep_0,0.810000000000000053290705182008,449.000000000000000000000000000000,2349,89,68,13,0.749709810707718138367283700063
23,23_0,FAILED,GenerationStep_0,,,3874,4676,39,620,0.178719857247546326517451120708
24,24_0,FAILED,GenerationStep_0,,,4231,1818,75,888,0.888908760713413403919958000188
25,25_0,FAILED,GenerationStep_0,,,2012,3573,44,493,0.056937172014266256014902722882
26,26_0,FAILED,GenerationStep_0,,,939,1176,78,546,0.433091488555073733657252432749
