trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0_0,FAILED,GenerationStep_0,,,2599,1250,57,166,0.864470059037208526930839980196
1,1_0,FAILED,GenerationStep_0,,,2467,3417,3,820,0.442282348038628703168484435082
2,2_0,FAILED,GenerationStep_0,,,148,2067,86,307,0.126625816149637110408221474245
3,3_0,FAILED,GenerationStep_0,,,4939,4860,31,711,0.548571632413193621680136402574
4,4_0,FAILED,GenerationStep_0,,,4244,1644,15,561,0.705425021298229704136417694826
5,5_0,FAILED,GenerationStep_0,,,665,3851,70,454,0.098425026886165140060924727550
6,6_0,COMPLETED,GenerationStep_0,0.709999999999999964472863211995,1369.000000000000000000000000000000,1794,41,44,921,0.289331291090697051426872121738
7,7_0,FAILED,GenerationStep_0,,,3138,2874,98,64,0.896572766628116357701117067336
8,8_0,FAILED,GenerationStep_0,,,3600,2381,48,415,0.412107448158785694136696520218
9,9_0,FAILED,GenerationStep_0,,,1311,4549,94,569,0.769849161637946921565855973313
10,10_0,FAILED,GenerationStep_0,,,1149,935,20,56,0.578700698764994747591572377132
11,11_0,FAILED,GenerationStep_0,,,3780,3728,65,960,0.221200942294672131538391113281
12,12_0,FAILED,GenerationStep_0,,,4455,356,81,812,0.003804212208837270785266593265
13,13_0,FAILED,GenerationStep_0,,,613,2563,36,205,0.675250266414135658088468971982
14,14_0,FAILED,GenerationStep_0,,,2003,1330,53,672,0.991147985719144308802697196370
15,15_0,FAILED,GenerationStep_0,,,3082,4161,7,315,0.319460509873926656876363949777
16,16_0,FAILED,GenerationStep_0,,,2936,1412,90,891,0.509241722319275114116976510559
17,17_0,FAILED,GenerationStep_0,,,2130,4244,45,124,0.180616746474057426885551080886
18,18_0,FAILED,GenerationStep_0,,,407,596,69,501,0.496507320091128356853715786201
19,19_0,FAILED,GenerationStep_0,,,4681,2803,23,484,0.824890874296426823697458985407
20,20_0,FAILED,GenerationStep_0,,,3947,695,32,258,0.919364744147285861686214047950
21,21_0,FAILED,GenerationStep_0,,,963,3489,78,728,0.281177487676963211438163625644
22,22_0,FAILED,GenerationStep_0,,,1418,2299,11,149,0.090037122258916496564395970381
23,23_0,FAILED,GenerationStep_0,,,3514,4467,55,870,0.728466335738077730432848966302
24,24_0,FAILED,GenerationStep_0,,,3342,280,6,642,0.212847295701503763654116596626
25,25_0,FAILED,GenerationStep_0,,,1570,3112,61,375,0.601776271238923077255833504751
26,26_0,FAILED,GenerationStep_0,,,812,1727,28,752,0.792675404626876134450697009015
27,27_0,FAILED,GenerationStep_0,,,4117,3935,82,234,0.403987910214811563047732079212
28,28_0,FAILED,GenerationStep_0,,,4831,1983,73,7,0.373712136978283537835920924408
29,29_0,FAILED,GenerationStep_0,,,237,4776,19,977,0.951595453241840028013598384860
30,30_0,FAILED,GenerationStep_0,,,2301,1011,95,398,0.635947003936395027778871735791
31,31_0,FAILED,GenerationStep_0,,,2784,3179,40,618,0.057821790149435399464028506600
32,32_0,FAILED,GenerationStep_0,,,2658,2175,21,857,0.889717889042571208335630217334
33,33_0,FAILED,GenerationStep_0,,,2252,4968,64,128,0.311834647135809051032850902629
34,34_0,FAILED,GenerationStep_0,,,207,1122,50,748,0.120693742631003256282617996931
35,35_0,FAILED,GenerationStep_0,,,4724,3290,92,270,0.698819060517474999194575957517
36,36_0,COMPLETED,GenerationStep_0,0.709999999999999964472863211995,1771.000000000000000000000000000000,4147,89,51,495,0.539895070992410186505594538176
