trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.579999999999999960031971113494,276.000000000000000000000000000000,2246,254,74,195,0.226141933619976032154852418898
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,3212,2705,11,934,0.950705007392913081787355622509
2,2_0,RUNNING,Sobol,GenerationStep_0,,,4199,1594,84,399,0.645387078581377893193860018073
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,8,4202,46,731,0.434089105781167772235562551941
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,833,2278,13,610,0.312507100241258717332470951078
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,4923,4729,51,262,0.522343171991407895227155222528
6,6_0,RUNNING,Sobol,GenerationStep_0,,,2785,821,31,782,0.825222660819068587478852805361
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,1719,3428,94,90,0.099197686925530437207498835051
8,8_0,RUNNING,Sobol,GenerationStep_0,,,1526,1548,36,359,0.912852288894355323733975637879
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,2980,3941,98,521,0.140278301717713466123527155105
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.579999999999999960031971113494,152.000000000000000000000000000000,4573,359,21,62,0.458788415938615801170641361750
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,1183,2908,59,818,0.746353397989645617194298665709
12,12_0,RUNNING,Sobol,GenerationStep_0,,,440,1082,76,962,0.623794847939163399352935357456
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,3769,3474,38,160,0.334767968555912398542773189547
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,3486,2075,69,634,0.013823217701166869847417828510
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,1971,4624,6,488,0.784935307545587379607354705513
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,4732.000000000000000000000000000000,2138,1928,96,772,0.398049423422664416793992359089
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,3672,4457,34,108,0.685264136640355014939984812372
18,18_0,FAILED,Sobol,GenerationStep_0,,,3934,1246,61,569,0.972967000354081346102930183406
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,624,3620,24,311,0.200042744344100353881543696843
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.579999999999999960031971113494,2346.000000000000000000000000000000,1036,524,44,409,0.078946063742041591715370429938
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,4446,3053,81,713,0.849433783302083633692802777659
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,5010.000000000000000000000000000000,2833,1401,1,237,0.560270922072231725152846593119
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,1399,3774,63,885,0.270619672404602162885112193180
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,5393.000000000000000000000000000000,1593,653,9,685,0.710511653417721378289684253104
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,2639,3280,71,445,0.498589302897453290341900355997
26,26_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,4796,2423,49,982,0.162616406293585896714048999456
27,27_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,686,4894,86,148,0.886555101417005109176727728482
28,28_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,273.000000000000000000000000000000,194,1740,56,11,0.764485746575519486967209559225
29,29_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,4365,4367,19,861,0.038110511284321545166786648906
30,30_0,COMPLETED,Sobol,GenerationStep_0,0.579999999999999960031971113494,119.000000000000000000000000000000,3397,87,88,339,0.372619607022032117704668507940
31,31_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,3.000000000000000000000000000000,4681,34,1,1,0.330198910493901764962032530093
32,32_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,19.000000000000000000000000000000,171,96,100,1,0.559003122145315334279302987852
33,33_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,2519,2532,2,376,0.001000000000000000020816681712
34,34_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,9.000000000000000000000000000000,5000,232,1,1,0.001000000000000000020816681712
35,35_0,FAILED,BoTorch,GenerationStep_1,,,5000,1,100,1,0.001000000000000000020816681712
36,36_0,FAILED,BoTorch,GenerationStep_1,,,1412,1,100,1,0.912538355431066094958225676237
37,37_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,367,2273,98,1,0.998999999999999999111821580300
38,38_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,3.000000000000000000000000000000,1020,1,1,1,0.998999999999999999111821580300
39,39_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,14.000000000000000000000000000000,5000,354,1,1,0.001000000000000000020816681712
40,40_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,3.000000000000000000000000000000,5000,1,1,1,0.544806012001422979018627756886
41,41_0,FAILED,BoTorch,GenerationStep_1,,,1581,1,100,1000,0.001000000000000000020816681712
42,42_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,42.000000000000000000000000000000,4740,204,100,1,0.329530638201395442710150973653
43,43_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,3.000000000000000000000000000000,403,1,1,1,0.001000000000000000020816681712
44,44_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,968,2428,1,1,0.478634862494315860281801633391
45,45_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,2475,2372,100,13,0.001000000000000000020816681712
46,46_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,61.000000000000000000000000000000,6,289,100,1,0.001000000000000000020816681712
47,47_0,FAILED,BoTorch,GenerationStep_1,,,3898,1,100,1,0.552012914907767160421769858658
48,48_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,3.000000000000000000000000000000,1,1,1,1,0.432688396328891999864652007091
49,49_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,5.000000000000000000000000000000,5000,88,1,1,0.098345048308357038702176566858
50,50_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,2670,1,596,0.001000000000000000020816681712
51,51_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,8.000000000000000000000000000000,478,197,1,1,0.346870891898493849403450894897
52,52_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,46.000000000000000000000000000000,5000,222,100,1,0.998999999999999999111821580300
53,53_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,100.000000000000000000000000000000,5000,441,100,1,0.001000000000000000020816681712
54,54_0,FAILED,BoTorch,GenerationStep_1,,,5000,1,100,1,0.998999999999999999111821580300
55,55_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,2.000000000000000000000000000000,5000,1,1,1,0.001000000000000000020816681712
56,56_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,2230,1,1,0.998999999999999999111821580300
57,57_0,FAILED,BoTorch,GenerationStep_1,,,1,1,100,243,0.893741865244064070950003042526
58,58_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,52.000000000000000000000000000000,1426,1,1,605,0.001000000000000000020816681712
59,59_0,FAILED,BoTorch,GenerationStep_1,,,5000,1,100,265,0.998999999999999999111821580300
60,60_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,80.000000000000000000000000000000,294,1668,38,1,0.998999999999999999111821580300
61,61_0,FAILED,BoTorch,GenerationStep_1,,,5000,984,39,580,0.001000000000000000020816681712
62,62_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,2136,38,1000,0.001000000000000000020816681712
63,63_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,72.000000000000000000000000000000,1,395,81,1,0.001000000000000000020816681712
64,64_0,FAILED,BoTorch,GenerationStep_1,,,1,1664,40,1000,0.001000000000000000020816681712
65,65_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,143.000000000000000000000000000000,211,931,81,1,0.998999999999999999111821580300
66,66_0,FAILED,BoTorch,GenerationStep_1,,,5000,1115,40,867,0.998999999999999999111821580300
67,67_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,102.000000000000000000000000000000,5000,1659,82,1,0.998999999999999999111821580300
68,68_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,29.000000000000000000000000000000,4376,166,81,1,0.001000000000000000020816681712
69,69_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,3320.000000000000000000000000000000,1,397,81,1000,0.001000000000000000020816681712
70,70_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,156.000000000000000000000000000000,1470,1035,82,1,0.998999999999999999111821580300
71,71_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,2137,82,1000,0.998999999999999999111821580300
72,72_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,5605.000000000000000000000000000000,3877,906,39,414,0.001000000000000000020816681712
73,73_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,105.000000000000000000000000000000,5000,969,36,1,0.998999999999999999111821580300
74,74_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,5000,100,247,0.001000000000000000020816681712
75,75_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,80.000000000000000000000000000000,5000,1175,17,1,0.998999999999999999111821580300
76,76_0,FAILED,BoTorch,GenerationStep_1,,,1,1113,38,1000,0.001000000000000000020816681712
77,77_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,71.000000000000000000000000000000,1,1673,35,1,0.001000000000000000020816681712
78,78_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,5000,71,1000,0.998999999999999999111821580300
79,79_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,26.000000000000000000000000000000,5000,147,81,1,0.998999999999999999111821580300
80,80_0,FAILED,BoTorch,GenerationStep_1,,,1,1009,40,1000,0.998999999999999999111821580300
81,81_0,COMPLETED,BoTorch,GenerationStep_1,0.570000000000000062172489379009,3103.000000000000000000000000000000,5000,397,81,1000,0.001000000000000000020816681712
82,82_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,117.000000000000000000000000000000,1,1068,42,1,0.001000000000000000020816681712
83,83_0,FAILED,BoTorch,GenerationStep_1,,,5000,1646,36,1000,0.998999999999999999111821580300
84,84_0,FAILED,BoTorch,GenerationStep_1,,,5000,1679,37,1000,0.001000000000000000020816681712
85,85_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,3494,4072,13,934,0.998999999999999999111821580300
86,86_0,FAILED,BoTorch,GenerationStep_1,,,5000,22,81,1,0.998999999999999999111821580300
87,87_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,2137,34,1,0.001000000000000000020816681712
88,88_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,79.000000000000000000000000000000,1,990,21,1,0.001000000000000000020816681712
89,89_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,103.000000000000000000000000000000,1,1142,35,1,0.998999999999999999111821580300
90,90_0,FAILED,BoTorch,GenerationStep_1,,,337,1,41,417,0.001000000000000000020816681712
91,91_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,4030,2917,64,332,0.001000000000000000020816681712
92,92_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1907,2796,60,196,0.001000000000000000020816681712
93,93_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,203,4211,45,409,0.001000000000000000020816681712
94,94_0,FAILED,BoTorch,GenerationStep_1,,,5000,1,74,496,0.001000000000000000020816681712
95,95_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1180,5000,39,682,0.769721235219067545507698469009
96,96_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,155,2838,57,411,0.001000000000000000020816681712
97,97_0,FAILED,BoTorch,GenerationStep_1,,,49,1,18,436,0.001000000000000000020816681712
98,98_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1883,4064,100,197,0.001000000000000000020816681712
99,99_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,641,3605,50,672,0.001000000000000000020816681712
100,100_0,FAILED,BoTorch,GenerationStep_1,,,1,1,100,508,0.001000000000000000020816681712
101,101_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,5000,1,54,0.001000000000000000020816681712
102,102_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,17.000000000000000000000000000000,1764,1,1,193,0.001000000000000000020816681712
103,103_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,70,5000,71,413,0.998999999999999999111821580300
104,104_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,3214,50,1000,0.001000000000000000020816681712
105,105_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,731,4674,29,665,0.998999999999999999111821580300
106,106_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,4926,3948,29,56,0.256986432189810098947191363550
107,107_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,2921,14,66,0.998999999999999999111821580300
108,108_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,4421,100,401,0.998999999999999999111821580300
109,109_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1256,2458,1,194,0.001000000000000000020816681712
110,110_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,2839,3008,100,198,0.998999999999999999111821580300
111,111_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,4229,4207,100,339,0.998999999999999999111821580300
112,112_0,FAILED,BoTorch,GenerationStep_1,,,170,1,83,408,0.998999999999999999111821580300
113,113_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,5000,5000,100,586,0.998999999999999999111821580300
114,114_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,476,4640,100,683,0.001000000000000000020816681712
115,115_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,173,4027,100,404,0.998999999999999999111821580300
116,116_0,FAILED,BoTorch,GenerationStep_1,,,1,1,100,532,0.001000000000000000020816681712
117,117_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1,4412,1,645,0.998999999999999999111821580300
118,118_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,1649,2676,1,206,0.998999999999999999111821580300
119,119_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,0.000000000000000000000000000000,3105,3412,1,574,0.998999999999999999111821580300
120,120_0,FAILED,BoTorch,GenerationStep_1,,,2861,1,84,479,0.335895121141838504108534380066
121,121_0,COMPLETED,BoTorch,GenerationStep_1,0.560000000000000053290705182008,183.000000000000000000000000000000,2911,116,76,446,0.332081556497602292665760614909
