trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,4371,1376,55,518,0.335166334152221689901551826551
1,1_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,1828,2675,12,201,0.992061045328155199918285234162
2,2_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,158.000000000000000000000000000000,10,257,83,792,0.728496403766796030154750951624
3,3_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,2555,3823,27,491,0.067566196929663424608492050538
4,4_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,3376,746,23,322,0.127622614521533256359830943438
5,5_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,911,4546,69,897,0.546621249979361900628305193095
6,6_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,2258,2137,38,112,0.809219089629128585094974823733
7,7_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,4725,3203,97,671,0.394225470982491943416903268371
8,8_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,139.000000000000000000000000000000,4508,496,45,994,0.884841031381860321225474308449
9,9_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,1964,4219,91,288,0.286453614369034770259503375200
10,10_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,1124,1606,17,690,0.054056474547833202604074642750
11,11_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,3668,3061,75,30,0.648438867313787303814365259313
12,12_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,2927,2367,77,159,0.591526909327134475802267843392
13,13_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,461,3588,34,623,0.238649696338921774030339406636
14,14_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,1458,985,61,401,0.470049547962844371795654296875
15,15_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,3923,4941,6,819,0.826962271483615007916512240627
16,16_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,3852,1197,93,82,0.108113390950486068509128756432
17,17_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,1395,4764,48,640,0.690876844938844492105545214145
18,18_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,517,2306,71,353,0.953478294610977217260483485006
19,19_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,2972,3605,14,927,0.374719894612208004325282217906
20,20_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,3560,1818,37,761,0.432583597259595997730485805732
21,21_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,1025,2883,79,461,0.769897775180637844449904605426
22,22_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,148.000000000000000000000000000000,2061,436,3,548,0.506329136941581992026328862266
23,23_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,4594,4236,57,232,0.164979478230699888596788582618
24,24_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,4925,1921,9,434,0.673380884554237169048462874343
25,25_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,2469,3376,51,851,0.032049706635996697001722566256
26,26_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,692,802,32,126,0.263445591324940331379167446357
27,27_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,3148,4524,85,591,0.908812242597341501948449149495
28,28_0,COMPLETED,GenerationStep_0,0.920000000000000039968028886506,68.000000000000000000000000000000,2798,40,65,723,0.849707614280283407559579700319
29,29_0,COMPLETED,GenerationStep_0,0.910000000000000031086244689504,0.000000000000000000000000000000,264,3997,20,62,0.446333402859047045918572393930
30,30_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2857,913,78,884,0.816613919361156681553381986305
31,31_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2863,1550,81,946,0.998999999999999999111821580300
32,32_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,889,1,99,0.001000000000000000020816681712
33,33_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2838,796,76,800,0.910963317104831471482384586125
34,34_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2886,911,87,1000,0.509346834127186509633133937314
35,35_0,FAILED,GenerationStep_1,,,2828,1,74,776,0.922504727657032730370190165559
36,36_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2577,887,100,1000,0.001000000000000000020816681712
37,37_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2859,1353,82,987,0.998999999999999999111821580300
38,38_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,173,900,100,722,0.001000000000000000020816681712
39,39_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2924,1632,100,1,0.998999999999999999111821580300
40,40_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,897,1,1000,0.001000000000000000020816681712
41,41_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2848,916,85,1000,0.675987071287406537933861727652
42,42_0,FAILED,GenerationStep_1,,,2851,1,75,1,0.940299869072497074284910922870
43,43_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2842,865,77,836,0.895081625984667006434847280616
44,44_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2972,908,79,1,0.735935793095331747259990606835
45,45_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,3315,5000,100,1,0.001000000000000000020816681712
46,46_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,887,100,1,0.001000000000000000020816681712
47,47_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,2750,1,1000,0.001000000000000000020816681712
48,48_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2879,907,95,1000,0.341728759826906369756471804067
49,49_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,898,100,1000,0.001000000000000000020816681712
50,50_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,5000,897,1,1000,0.001000000000000000020816681712
51,51_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1316,890,100,1,0.001000000000000000020816681712
52,52_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2893,1474,93,1,0.998999999999999999111821580300
53,53_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,1,5000,1,1,0.001000000000000000020816681712
54,54_0,COMPLETED,GenerationStep_1,0.910000000000000031086244689504,0.000000000000000000000000000000,2873,755,76,1000,0.854906074879884680939312602277
