trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.640000000000000013322676295502,28.000000000000000000000000000000,3233,1215,0.948616371512413070199443154706,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,13.000000000000000000000000000000,1026,4286,0.012419403249397872879278281744,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.579999999999999960031971113494,25.000000000000000000000000000000,1921,2253,0.599906920051202163790549093392,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.579999999999999960031971113494,21.000000000000000000000000000000,4753,2932,0.407869890697300452320206431978,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.609999999999999986677323704498,22.000000000000000000000000000000,3840,1740,0.145611803041771042943608449605,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,19.000000000000000000000000000000,1672,3678,0.830983935851603794375819234119,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.600000000000000088817841970013,12.000000000000000000000000000000,64,400,0.311590798676013969181752827353,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.530000000000000026645352591004,14.000000000000000000000000000000,2857,4712,0.743001049799844603960252698016,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.589999999999999968913755310496,14.000000000000000000000000000000,2761,2085,0.360833961240947242998799993074,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.570000000000000062172489379009,18.000000000000000000000000000000,554,2812,0.678167379191145336392310127849,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.579999999999999960031971113494,39.000000000000000000000000000000,1456,778,0.215394572654739019368363983631,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.540000000000000035527136788005,20.000000000000000000000000000000,4288,3800,0.776791495826095301779901092232,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,94.000000000000000000000000000000,4615,266,0.540056232837960115134023908467,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.530000000000000026645352591004,13.000000000000000000000000000000,2448,4548,0.483324232235550876879415227449,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.600000000000000088817841970013,25.000000000000000000000000000000,852,1268,0.877989304665476089084563682263,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.589999999999999968913755310496,15.000000000000000000000000000000,3645,3236,0.067442639173939819552394681068,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.609999999999999986677323704498,26.000000000000000000000000000000,3570,1516,0.639524848399683820687755542167,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.589999999999999968913755310496,12.000000000000000000000000000000,777,3299,0.321473805591464045772198687700,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
