trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
0,0_0,COMPLETED,SOBOL,0.579999999999999960031971113494,7462.000000000000000000000000000000,3983,1405,0.789218484759330762834395045502,0.451077452778816223588620459850,str\(\'kl\'\),0.074180009961128237638838811563,True
1,1_0,COMPLETED,SOBOL,0.579999999999999960031971113494,478.000000000000000000000000000000,2421,3208,0.433219237245619281928554755723,0.615293017549440213187494919111,str\(\'intersection\'\),0.020043179029598831575320616594,False
2,2_0,COMPLETED,SOBOL,0.570000000000000062172489379009,744.000000000000000000000000000000,164,1036,0.618340683197602603016207467590,0.020611565474420785737397210369,str\(\'intersection\'\),0.045998325832188137474165756657,True
3,3_0,COMPLETED,SOBOL,0.579999999999999960031971113494,2056.000000000000000000000000000000,3602,4203,0.229873552581295381713744063745,0.920639701992273296049518194195,str\(\'kl\'\),0.081886825179681183017876833219,False
4,4_0,COMPLETED,SOBOL,0.579999999999999960031971113494,753.000000000000000000000000000000,3077,353,0.259900065112859013360946391913,0.798002052113413795630947333848,str\(\'kl\'\),0.059647476300597197795827497657,True
5,5_0,COMPLETED,SOBOL,0.579999999999999960031971113494,599.000000000000000000000000000000,890,4731,0.899709578637033713377491039864,0.135749217290431267723960218063,str\(\'intersection\'\),0.023765167994424702541111926735,False
6,6_0,COMPLETED,SOBOL,0.579999999999999960031971113494,600.000000000000000000000000000000,1838,1932,0.086802605422213671704234627668,0.726196332482621054182914122066,str\(\'intersection\'\),0.042985652741044766411704358688,True
7,7_0,COMPLETED,SOBOL,0.579999999999999960031971113494,1086.000000000000000000000000000000,4650,2524,0.698530472503975041753676578082,0.331943341689184323595185333033,str\(\'kl\'\),0.097116295145824552137447938094,False
8,8_0,COMPLETED,SOBOL,0.579999999999999960031971113494,543.000000000000000000000000000000,4785,726,0.052767739318311218665868977951,0.225185693161562089370519856857,str\(\'intersection\'\),0.088253701226785788436224322595,True
9,9_0,COMPLETED,SOBOL,0.579999999999999960031971113494,1845.000000000000000000000000000000,1347,3884,0.662423386640846767470236500230,0.840628970352932824994240945671,str\(\'kl\'\),0.050970539357513194866911021563,False
10,10_0,COMPLETED,SOBOL,0.579999999999999960031971113494,6806.000000000000000000000000000000,1084,1681,0.348636231964454035292533262691,0.312708959419280285718656386962,str\(\'kl\'\),0.015094566596671939520679650570,True
11,11_0,COMPLETED,SOBOL,0.579999999999999960031971113494,792.000000000000000000000000000000,2646,3552,0.990270535578951283106619030150,0.628961070641875230613493386045,str\(\'intersection\'\),0.067791589573025709536402416688,False
12,12_0,COMPLETED,SOBOL,0.579999999999999960031971113494,949.000000000000000000000000000000,3176,2248,0.519949078399687958373931451206,0.525397797435522062592383463198,str\(\'intersection\'\),0.090552949970588089700918033031,True
13,13_0,COMPLETED,SOBOL,0.579999999999999960031971113494,1255.000000000000000000000000000000,364,2830,0.133312418732792148379218133414,0.407934709373861559278395816364,str\(\'kl\'\),0.037860743738710886385767651063,False
14,14_0,ABANDONED,SOBOL,,,1897,4,0.817557757975533649918986611738,0.940393741590902165761178821413,str\(\'kl\'\),0.028912304127588869806508853344,True
15,15_0,COMPLETED,SOBOL,0.579999999999999960031971113494,495.000000000000000000000000000000,4084,4450,0.459488145904615508108292942779,0.118301749618723986423596272743,str\(\'intersection\'\),0.066190648917108782511853348751,False
16,16_0,COMPLETED,SOBOL,0.600000000000000088817841970013,712.000000000000000000000000000000,4368,250,0.651349856808781657591111979855,0.716804679911583697560217842693,str\(\'kl\'\),0.034576616762205962529730385313,False
17,17_0,COMPLETED,SOBOL,0.579999999999999960031971113494,682.000000000000000000000000000000,2180,4677,0.009712935835123063382789965203,0.349870379082858562469482421875,str\(\'intersection\'\),0.094363199621438978437204525562,True
18,18_0,COMPLETED,SOBOL,0.579999999999999960031971113494,691.000000000000000000000000000000,549,2494,0.947248069865629038766030589613,0.756935782605782203624755766214,str\(\'intersection\'\),0.062387610049918301724503066907,False
