trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
0,0_0,COMPLETED,SOBOL,0.729999999999999982236431605997,14.000000000000000000000000000000,181,3241,0.729307430982589766088608485006,0.538737629413604701689166631695,str\(\'intersection\'\),0.083214414119720456208817438437,True
1,1_0,COMPLETED,SOBOL,0.729999999999999982236431605997,36.000000000000000000000000000000,3657,2028,0.149561577402055251306833838498,0.458156852563843142167598898595,str\(\'kl\'\),0.031203091088682417819644143719,False
2,2_0,COMPLETED,SOBOL,0.729999999999999982236431605997,90.000000000000000000000000000000,4458,3801,0.940431418178603095725520688575,0.876632435375824581313963790308,str\(\'kl\'\),0.034578683823347097781031322938,True
3,3_0,COMPLETED,SOBOL,0.709999999999999964472863211995,40.000000000000000000000000000000,1685,16,0.422766986314207338093495991416,0.111008757153525955407857850332,str\(\'intersection\'\),0.069731490705162296750430073189,False
4,4_0,COMPLETED,SOBOL,0.729999999999999982236431605997,11.000000000000000000000000000000,2397,4481,0.078693676333874459927208988574,0.127866685122251522166436643602,str\(\'intersection\'\),0.090807819506153464317321777344,True
5,5_0,COMPLETED,SOBOL,0.729999999999999982236431605997,37.000000000000000000000000000000,3921,768,0.559029212867841129863677451795,0.859165839418768895185962719552,str\(\'kl\'\),0.013456527637317777790215700406,False
6,6_0,COMPLETED,SOBOL,0.729999999999999982236431605997,25.000000000000000000000000000000,2964,2542,0.350977741360664341474517868846,0.289381686408072713589945124113,str\(\'kl\'\),0.049532666197046645861767899532,True
7,7_0,COMPLETED,SOBOL,0.729999999999999982236431605997,14.000000000000000000000000000000,737,1255,0.769231931464746554460987226776,0.707877823296934383101586263365,str\(\'intersection\'\),0.065014452235773206867364137906,False
8,8_0,COMPLETED,SOBOL,0.729999999999999982236431605997,31.000000000000000000000000000000,1211,4074,0.308183060251176366151071306376,0.751862695505842615339986423351,str\(\'kl\'\),0.074695515697821970868552909906,True
9,9_0,COMPLETED,SOBOL,0.729999999999999982236431605997,20.000000000000000000000000000000,2736,366,0.819706249216571425364463721053,0.235647617911919959876598795745,str\(\'intersection\'\),0.039546807231381542191428479782,False
10,10_0,COMPLETED,SOBOL,0.729999999999999982236431605997,17.000000000000000000000000000000,4122,3594,0.020005855027586220973301323056,0.663377944776788353031804490456,str\(\'intersection\'\),0.026058473801240329692507913251,True
11,11_0,COMPLETED,SOBOL,0.729999999999999982236431605997,23.000000000000000000000000000000,1895,2303,0.594197630641981944243923408067,0.333388551497831919778747078453,str\(\'kl\'\),0.078076687427237626004661308343,False
