trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
0,0_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,2409,3709,0.584419172167778055992926056206,0.014226716704666613616536707809,str\(\'kl\'\),0.057355355024337778546694721626,True
1,1_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,2557,945,0.185008782034739860389294108245,0.755259075000882185157990988955,str\(\'intersection\'\),0.045339449234306820890605393970,False
2,2_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,4670,3907,0.853321237374097152361684948119,0.386614242590963830270567314074,str\(\'intersection\'\),0.027391916913911705522277628688,True
3,3_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,443,1455,0.376062881488353040193572951466,0.628480725750327096079672628548,str\(\'kl\'\),0.084286906626075505655215636125,False
4,4_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,660,4893,0.118493279708549378859139267206,0.541118497719988211791530829942,str\(\'kl\'\),0.067092279680073266256989938938,True
5,5_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,4228,2344,0.643141034943983003202561121725,0.283920030219480368227635835865,str\(\'intersection\'\),0.032614235365763306895292572563,False
6,6_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,3546,2508,0.317340960156172524619933028589,0.917177910825237585612512702937,str\(\'intersection\'\),0.017621945347636940037983066532,True
7,7_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,1489,272,0.919836561243981165603145200294,0.161266668749973168806022272292,str\(\'kl\'\),0.097045164806768308141116108345,False
8,8_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,1644,4252,0.279453981764614556304593406821,0.344801367664709701443825906608,str\(\'intersection\'\),0.080304143577814110499524247189,True
9,9_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,3391,1644,0.991105832852423151990706173819,0.602063335867598636852449089929,str\(\'kl\'\),0.023292861999943854922623387438,False
10,10_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,3758,3195,0.033823129193857312535520520669,0.226109468514099715141796309581,str\(\'kl\'\),0.049444520343095071934769180189,True
11,11_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,1130,900,0.698814634429290926220801338786,0.981958161653950778458010972827,str\(\'intersection\'\),0.061334845861420045354250873970,False
12,12_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,288,3088,0.799840486675500894619972314104,0.819065638478845392533855829242,str\(\'intersection\'\),0.089870109679177412331796404033,True
13,13_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,4825,382,0.462925880789756771793719281050,0.078093985069543125909774516913,str\(\'kl\'\),0.010387057512998581002006126539,False
14,14_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,3027,4457,0.515342794889584232542745212413,0.688448128964751937530763825634,str\(\'kl\'\),0.039845510264858607918370125844,True
15,15_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,1939,2064,0.225088653827086093706100200507,0.446523796219378710237180030163,str\(\'intersection\'\),0.074273694325238462377036796624,False
16,16_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,2067,4615,0.953665828023105843769258171960,0.894623988442122985986770800082,str\(\'kl\'\),0.013797570010647177904394844461,False
17,17_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,2823,1911,0.308181738559156648271653011761,0.153638259291648870963342687901,str\(\'intersection\'\),0.091907480526715518154290407438,True
18,18_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,4952,2938,0.731366602053865832999690610450,0.518383709870278819309419304773,str\(\'intersection\'\),0.076453871848061683014208256282,False
19,19_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,83,547,0.008034666737541556677526521923,0.276472486227750779974599026900,str\(\'kl\'\),0.043464702814817436637984116032,True
20,20_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,1004,3358,0.499450586941093233050992239441,0.425218926703557376090003572244,str\(\'kl\'\),0.026208994258195165982794350157,False
21,21_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,3964,752,0.770197312232106967577749401244,0.682494494764134262965171728865,str\(\'intersection\'\),0.081781217893585569922443312407,True
22,22_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,3264,4098,0.191503242013975977231510228194,0.053134092455729843573752901875,str\(\'intersection\'\),0.064075319916009912390997271814,False
23,23_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,1850,1804,0.540097932128235647120106932562,0.808970152376219608925111970166,str\(\'kl\'\),0.053558093132451183027153973626,True
24,24_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,1382,2661,0.151421485276892781035584789606,0.743377468058839419029482087353,str\(\'intersection\'\),0.036553577389568096822625165032,False
25,25_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,3732,113,0.609172425391152461138233320526,0.486162129001691922791650313229,str\(\'kl\'\),0.069658179981634010813351665092,True
26,26_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,4121,4729,0.412589472584426408818814024926,0.873810364523902483036010835349,str\(\'kl\'\),0.098699216134846209924624815812,False
27,27_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,846,2493,0.823679947875440077176278919069,0.117916930900886660071869016519,str\(\'intersection\'\),0.020715398276224733509209841031,True
28,28_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,551,4055,0.675691087881103102930069326248,0.217443662803620096912737835737,str\(\'intersection\'\),0.049135963125154384634196702564,False
29,29_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,4485,1292,0.092702902564778921767896235906,0.958492416772991462359243541869,str\(\'kl\'\),0.059712507631629711812859540032,True
30,30_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,2665,3550,0.882398471102118442388473340543,0.336442001175135396717763569541,str\(\'kl\'\),0.086149703050032264139979076845,False
31,31_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,2224,1100,0.346070631638169312616071238153,0.578291151765733979495109906566,str\(\'intersection\'\),0.030628197975456718238351783157,True
32,32_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,2328,3761,0.058248367642983793490696342587,0.790908067243173751315055142186,str\(\'kl\'\),0.019726805603131655764137519782,False
33,33_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,2785,1506,0.703625888949260147597897230298,0.034160906085744499605105772844,str\(\'intersection\'\),0.097754222098737963975167986064,True
34,34_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,4442,3646,0.256978081036359051747552939560,0.667906567262485650893211186485,str\(\'intersection\'\),0.070602829353883872487429584908,False
35,35_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,524,1079,0.980447041053324919168687756610,0.410568457702174760548530230153,str\(\'kl\'\),0.037542517408728603989231942251,True
36,36_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,893,2641,0.520157737506553585760116220627,0.264016762111336011908946375115,str\(\'kl\'\),0.032319574002176526539287237938,False
37,37_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,4141,210,0.249517580373212699562657235219,0.505499474983662322458144444681,str\(\'intersection\'\),0.087798167085275061194415968657,True
38,38_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,3632,4942,0.789177768837660553735702251288,0.137343374911695709217340777286,str\(\'intersection\'\),0.058065077587962157790180128814,False
39,39_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,1256,2199,0.440446054022759214685578399440,0.877782038819044818644954375486,str\(\'kl\'\),0.047443555789068350692083697595,True
40,40_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,1726,3223,0.860203388102352639599246231228,0.569368375480175048508613144804,str\(\'intersection\'\),0.041948415022343400748727759719,False
41,41_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,3162,812,0.402315423287451290335070552828,0.327821686021983638159582596927,str\(\'kl\'\),0.074981874702498313434162469093,True
42,42_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,3986,4353,0.575587684648111497232036981586,0.937689952880144117486338473100,str\(\'kl\'\),0.093379825018346310216976746688,False
43,43_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,1048,1629,0.164603777514770621692719032580,0.197312410257756698506170778273,str\(\'intersection\'\),0.015313513139262796558526247281,True
44,44_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,54,4441,0.343597427994012827312531044299,0.095103628782555460485781395619,str\(\'intersection\'\),0.054371600924059758364048633439,False
45,45_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,4912,2166,0.926722638010978649880655666493,0.851791512703523046035058996495,str\(\'kl\'\),0.064843850415199993930670530062,True
46,46_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,2940,2998,0.098084587091580036077864690469,0.475350816546007970408993514866,str\(\'kl\'\),0.081011656085029248863804696157,False
47,47_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,2173,411,0.634305858397856359154332039907,0.732747251575812663659803547489,str\(\'intersection\'\),0.025396520458161833677657170938,True
48,48_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,1987,2835,0.435063473496586083921755516712,0.175491225751116863840195492230,str\(\'kl\'\),0.063377784052863705976932351405,True
49,49_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,3048,560,0.834336839858442536055349592061,0.932191757762804606990414413303,str\(\'intersection\'\),0.051444546543061742127633806376,False
50,50_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,4727,4595,0.126998146643862136473401847070,0.302345478417351820610292634228,str\(\'intersection\'\),0.021293869791552427761516241844,True
51,51_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,163,2007,0.604363070687279124726387635747,0.559728328460827428969537322700,str\(\'kl\'\),0.078260174077004196480089603938,False
52,52_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,1234,4195,0.893059289123863009329795659141,0.644895811606198576804160893516,str\(\'kl\'\),0.072933538816869258880615234375,True
53,53_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,3879,1782,0.368548558589071040270113144288,0.403335998173803111921387198890,str\(\'intersection\'\),0.038548953393474222339776247281,False
54,54_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,3349,3372,0.670878045080229634677948524768,0.767594619948416934107626730110,str\(\'intersection\'\),0.011683269720524549345475051609,True
55,55_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,1619,647,0.068275875834748145365438176668,0.027231138195842503890720109894,str\(\'kl\'\),0.091210612533614038310858518344,False
56,56_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,1461,4794,0.740196190686896460242394368834,0.467202786937356007168631322202,str\(\'intersection\'\),0.085451976582407954130538030313,True
57,57_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,3506,2362,0.028437771441414953776938290275,0.708702847249805922835719229624,str\(\'kl\'\),0.028512009577825667139272525219,False
58,58_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,4347,2799,0.946785577110946130474644633068,0.087140212222933763341892188237,str\(\'kl\'\),0.044218325261026626693539043345,True
59,59_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,767,55,0.281931096576154227584254385874,0.827562495328485914214411423018,str\(\'intersection\'\),0.056191316461190590758612017908,False
60,60_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,320,3493,0.211910034814849490558685829455,0.993137068076059170707026169111,str\(\'intersection\'\),0.095177314179018146500510511032,True
61,61_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,4569,1237,0.548931208858266517225388270163,0.236372083595022569602051021320,str\(\'kl\'\),0.015798385366797448176034990297,False
62,62_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,2581,3925,0.473196018919348704301341967948,0.624509051455184871493031550926,str\(\'kl\'\),0.034438142692670231648222056720,True
63,63_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,2455,1356,0.763313135281205146220884216746,0.367187798580154767247307745492,str\(\'intersection\'\),0.068959785643965015866641010689,False
64,64_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,2470,4989,0.460676870316267028648837822402,0.716724349478259692425297089358,str\(\'intersection\'\),0.088801451642066250857787679251,False
65,65_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,2654,2246,0.809880661547183966497698293097,0.459204117821529533838287306935,str\(\'kl\'\),0.010729282489046454082681769648,True
66,66_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,4574,2604,0.230764025384560228504327028531,0.835652495035901665687561035156,str\(\'kl\'\),0.040912794172763826405780918094,False
67,67_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,383,173,0.501876258933916741256098248414,0.079088273899629718544090906107,str\(\'intersection\'\),0.073930096896365288250407843407,True
68,68_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,723,3610,0.992865635104477450845195107831,0.244637206565588710693859297862,str\(\'intersection\'\),0.079240295579656963576020700657,False
69,69_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,4323,1042,0.269899208046495919788299033826,0.984894774500280623108494637563,str\(\'kl\'\),0.023630287665873765667878814156,True
70,70_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,3452,3807,0.692653861718252272794416057877,0.375034173827618333429967378834,str\(\'kl\'\),0.050506995888426907403978560751,False
71,71_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,1427,1552,0.047778873370960352195968567912,0.616700733873993156564097262162,str\(\'intersection\'\),0.060996046066284184683503610813,True
72,72_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,1585,3030,0.652572108699008834875598950021,0.924010343812406098606970772380,str\(\'kl\'\),0.066754687381908303644983959657,False
73,73_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,3295,443,0.116853370351716875918945959256,0.183695461660623560185001679201,str\(\'intersection\'\),0.033678261395543813983000092094,True
74,74_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,3855,4399,0.906004517029970868335908562585,0.551859123818576380315903406881,str\(\'intersection\'\),0.017960910433903336941297013141,False
75,75_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,1190,2125,0.323381839971989382132022683436,0.310252733290195481519191389452,str\(\'kl\'\),0.095982512570917610794651864126,True
76,76_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,226,4311,0.175088500058278445647985677169,0.395398268168792144106049590846,str\(\'kl\'\),0.057012951429933317326614883314,False
77,77_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,4732,1588,0.586544483607634892230464629392,0.652856367288157324324515684566,str\(\'intersection\'\),0.046408273233100774679549260782,True
78,78_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,3121,3254,0.389409524548798791077075520661,0.019118253326043489065400038385,str\(\'intersection\'\),0.027735691703855994139082952188,False
79,79_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,2002,843,0.847769565779715739139987817907,0.775745558766648191095782749471,str\(\'kl\'\),0.083219455415382989627026688595,True
80,80_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,2128,3419,0.079232559541240338285561506382,0.319861102456226953361095866057,str\(\'intersection\'\),0.048093915618956095681113538376,True
81,81_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,2916,694,0.681362652370706145532608388748,0.577306137086823545345737329626,str\(\'kl\'\),0.060072077447548513640107614719,False
