trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
0,0_0,COMPLETED,SOBOL,0.059999999999999997779553950750,10839.000000000000000000000000000000,567,3967,0.845502592563629140620662383299,0.195332924574613570056769162875,str\(\'kl\'\),0.019879055246710776450047575281,False
1,1_0,COMPLETED,SOBOL,0.059999999999999997779553950750,2063.000000000000000000000000000000,2675,2258,0.234873025525361295295923014237,0.532034047456458214497843073332,str\(\'intersection\'\),0.060836714552715429049634110470,True
2,2_0,COMPLETED,SOBOL,0.070000000000000006661338147751,1843.000000000000000000000000000000,3862,3509,0.717110430402681187089797276712,0.260641487862914800199831688587,str\(\'intersection\'\),0.098550164019688968330967782094,False
3,3_0,COMPLETED,SOBOL,0.059999999999999997779553950750,3072.000000000000000000000000000000,1568,219,0.332077699769288303688341557063,0.981323009634390452937680038303,str\(\'kl\'\),0.051973083792254334833948803407,True
4,4_0,COMPLETED,SOBOL,0.059999999999999997779553950750,6430.000000000000000000000000000000,1974,2669,0.078132289042696353997818903281,0.868417769066989420068125582475,str\(\'kl\'\),0.031174217611551285900262087125,False
5,5_0,COMPLETED,SOBOL,0.059999999999999997779553950750,2804.000000000000000000000000000000,4707,941,0.938893962260335723790660722443,0.404241254037246089403367932391,str\(\'intersection\'\),0.072129098065197475020404738189,True
6,6_0,COMPLETED,SOBOL,0.059999999999999997779553950750,1705.000000000000000000000000000000,3706,4692,0.487699267974123384927764845997,0.678378648221492741576810203696,str\(\'intersection\'\),0.087260579224675893783569335938,False
7,7_0,COMPLETED,SOBOL,0.050000000000000002775557561563,6725.000000000000000000000000000000,787,1420,0.622889483328908699633075229940,0.079690342722460630331404729532,str\(\'kl\'\),0.040675119776278738370489662657,True
8,8_0,COMPLETED,SOBOL,0.059999999999999997779553950750,1777.000000000000000000000000000000,1155,3204,0.427976615725085163255414499872,0.449987055003643054984507898553,str\(\'intersection\'\),0.044137729238718753643766490313,False
9,9_0,COMPLETED,SOBOL,0.059999999999999997779553950750,2993.000000000000000000000000000000,3417,538,0.557921197179704897450847056461,0.791485092697665093552927828568,str\(\'kl\'\),0.093531514499336484980140937751,True
10,10_0,COMPLETED,SOBOL,0.059999999999999997779553950750,8805.000000000000000000000000000000,4447,4283,0.011100542364642022874487992112,0.002635927550494670829756005404,str\(\'kl\'\),0.057421983107924470801641803064,False
11,11_0,COMPLETED,SOBOL,0.059999999999999997779553950750,3377.000000000000000000000000000000,2312,1950,0.881234770540147982487155786657,0.724246366446837819275117453799,str\(\'intersection\'\),0.013647790513932705341870743609,True
12,12_0,COMPLETED,SOBOL,0.059999999999999997779553950750,1718.000000000000000000000000000000,1311,4384,0.651784272437915257469853713701,0.610916596915572873705002621136,str\(\'intersection\'\),0.032930488428100944398035920813,False
13,13_0,COMPLETED,SOBOL,0.059999999999999997779553950750,4314.000000000000000000000000000000,4197,1739,0.272712904464453453901029433837,0.147638557339087123088106068280,str\(\'kl\'\),0.082326988084241756182812821407,True
14,14_0,COMPLETED,SOBOL,0.059999999999999997779553950750,6394.000000000000000000000000000000,3040,2985,0.788460150485858268787353608786,0.933506845969706788856967705215,str\(\'kl\'\),0.068623815411701802324806465094,False
