trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_clusters,threshold
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,111.000000000000000000000000000000,4188,140,5,0.668883374810218755968094228592
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,92.000000000000000000000000000000,1363,2862,10,0.421141895337030280899170975317
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.670000000000000039968028886506,5.000000000000000000000000000000,580,2441,1,0.925549286866560572129003503505
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.690000000000000057731597280508,132.000000000000000000000000000000,2776,4557,6,0.179340784812346110133063348258
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,90.000000000000000000000000000000,3164,1383,8,0.113860480565577751321804100826
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.650000000000000022204460492503,50.000000000000000000000000000000,984,4129,4,0.860190094966441387569489052112
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.660000000000000031086244689504,90.000000000000000000000000000000,2074,1193,7,0.353954210378229605638011889823
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.670000000000000039968028886506,38.000000000000000000000000000000,4875,3295,2,0.601816814281046386092555167124
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,32.000000000000000000000000000000,4581,2106,7,0.810431982787325977390935349831
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.680000000000000048849813083507,355.000000000000000000000000000000,2367,4970,2,0.060310052903369069932093538000
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,19.000000000000000000000000000000,652,313,9,0.538429339637979897936759243748
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.690000000000000057731597280508,90.000000000000000000000000000000,3496,2610,3,0.286743963709101101766663077797
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.719999999999999973354647408996,32.000000000000000000000000000000,3069,824,2,0.468814262256026292874366845354
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.640000000000000013322676295502,129.000000000000000000000000000000,289,3742,6,0.720621226415038118595646210451
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,44.000000000000000000000000000000,1696,1600,5,0.244571289267390967747672902988
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.619999999999999995559107901499,146.000000000000000000000000000000,3856,3834,10,0.994814807381480981085530856944
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.729999999999999982236431605997,19.000000000000000000000000000000,3963,1825,2,0.331733754981309192366722982115
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.690000000000000057731597280508,113.000000000000000000000000000000,1744,3922,8,0.578971999753266519661565325805
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.709999999999999964472863211995,41.000000000000000000000000000000,24,756,3,0.073803967960178851193120408425
