trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,delta
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.560000000000000053290705182008,40.000000000000000000000000000000,4289,0.352772625148296381514256836454
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,31.000000000000000000000000000000,2030,0.850692413324490193105020807707
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.440000000000000002220446049250,18.000000000000000000000000000000,959,0.208882307941094053083119774783
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,32.000000000000000000000000000000,2762,0.712919960310682609971877354837
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.640000000000000013322676295502,104.000000000000000000000000000000,3246,0.013821952706202865479578889563
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,30.000000000000000000000000000000,515,0.502056447753682744128411741258
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,30.000000000000000000000000000000,1498,0.422534741232171662250749477607
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,28.000000000000000000000000000000,4704,0.936379519408568783411794811400
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.589999999999999968913755310496,72.000000000000000000000000000000,4654,0.183254045339301230299611233932
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,47.000000000000000000000000000000,1607,0.675655402196571275297287684225
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.510000000000000008881784197001,18.000000000000000000000000000000,93,0.256968740893527891611114455372
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,31.000000000000000000000000000000,3609,0.758853589328005950775946075737
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,28.000000000000000000000000000000,2881,0.467626630889251826417307711381
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,27.000000000000000000000000000000,938,0.954119537381455273816754925065
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.560000000000000053290705182008,38.000000000000000000000000000000,2364,0.097894358245655899164461288819
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,27.000000000000000000000000000000,3857,0.605565830873325494643211186485
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.640000000000000013322676295502,127.000000000000000000000000000000,3950,0.077933945082128044945513067887
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,27.000000000000000000000000000000,2311,0.564126089494675353464003819681
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,33.000000000000000000000000000000,640,0.487648431163281215194871265339
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,34.000000000000000000000000000000,3062,0.995498839698731874392478857771
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.609999999999999986677323704498,53.000000000000000000000000000000,3585,0.292622332103550431003924359175
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,28.000000000000000000000000000000,234,0.784601100709289345225272427342
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.609999999999999986677323704498,89.000000000000000000000000000000,1817,0.147783667411655189605212967763
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,38.000000000000000000000000000000,4404,0.649725625582039389982469401730
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,27.000000000000000000000000000000,4992,0.403633079592138510616194935210
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,28.000000000000000000000000000000,1327,0.891932283639907841354954598501
26,26_0,COMPLETED,Sobol,GenerationStep_0,0.630000000000000004440892098501,53.000000000000000000000000000000,412,0.032906827628612515812545069593
27,27_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,28.000000000000000000000000000000,3309,0.546321418289095195319760023267
28,28_0,COMPLETED,Sobol,GenerationStep_0,0.599999999999999977795539507497,32.000000000000000000000000000000,2543,0.243522891927510504173071126388
29,29_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,29.000000000000000000000000000000,1218,0.741629221782088232650664849643
30,30_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,71.000000000000000000000000000000,3443,0.196107548375293233577920659627
31,31_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,8.000000000000000000000000000000,1,0.001000000000000000020816681712
32,32_0,COMPLETED,BoTorch,GenerationStep_1,0.550000000000000044408920985006,36.000000000000000000000000000000,2993,0.344780374044265924826646596557
33,33_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,29.000000000000000000000000000000,94,0.998999999999999999111821580300
34,34_0,COMPLETED,BoTorch,GenerationStep_1,0.609999999999999986677323704498,95.000000000000000000000000000000,977,0.001000000000000000020816681712
35,35_0,COMPLETED,BoTorch,GenerationStep_1,0.599999999999999977795539507497,78.000000000000000000000000000000,3522,0.144532774186152568329788437040
36,36_0,COMPLETED,BoTorch,GenerationStep_1,0.540000000000000035527136788005,14.000000000000000000000000000000,24,0.079052252501670333684202773838
37,37_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,50.000000000000000000000000000000,3388,0.241571237354459761315084165290
38,38_0,COMPLETED,BoTorch,GenerationStep_1,0.589999999999999968913755310496,38.000000000000000000000000000000,3321,0.316808991048843135995838338204
39,39_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,28.000000000000000000000000000000,2810,0.380306134016484498339139008749
40,40_0,COMPLETED,BoTorch,GenerationStep_1,0.530000000000000026645352591004,12.000000000000000000000000000000,1,0.154921826828387454444424520261
41,41_0,COMPLETED,BoTorch,GenerationStep_1,0.630000000000000004440892098501,20.000000000000000000000000000000,2075,0.001000000000000000020816681712
42,42_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,33.000000000000000000000000000000,5000,0.998999999999999999111821580300
43,43_0,COMPLETED,BoTorch,GenerationStep_1,0.520000000000000017763568394003,27.000000000000000000000000000000,1,0.402846934580662507929815774332
44,44_0,COMPLETED,BoTorch,GenerationStep_1,0.650000000000000022204460492503,134.000000000000000000000000000000,1575,0.001000000000000000020816681712
45,45_0,COMPLETED,BoTorch,GenerationStep_1,0.579999999999999960031971113494,53.000000000000000000000000000000,3397,0.266993854440465416821837152384
46,46_0,COMPLETED,BoTorch,GenerationStep_1,0.609999999999999986677323704498,44.000000000000000000000000000000,451,0.001000000000000000020816681712
