trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
0,0_0,RUNNING,GenerationStep_0,,,289,2563,359,0.785160090923309295085630310496,0.560227516293525740209702235006,2.791079030752181999730510142399,str\(\'ks-test\'\),str\(\'full\'\),2225
1,1_0,COMPLETED,GenerationStep_0,0.709999999999999964472863211995,1286.000000000000000000000000000000,3031,781,4557,0.028728063154965639142135458428,0.498006613314151747040625650698,5.770296506932937496969771018485,str\(\'t-test\'\),str\(\'bounded\'\),4782
2,2_0,RUNNING,GenerationStep_0,,,4407,4231,1666,0.645763975512236410025934674195,0.136676267130300399532671917768,7.872538973795251138199091656134,str\(\'ks-test\'\),str\(\'bounded\'\),2658
3,3_0,RUNNING,GenerationStep_0,,,2276,2429,3402,0.419511519450694314592453793011,0.822635474715381898036525853968,1.146439750554971270801729588129,str\(\'t-test\'\),str\(\'full\'\),258
4,4_0,RUNNING,GenerationStep_0,,,1627,4653,4285,0.365722262412309651047337411001,0.970438421346247248600036527932,3.955351481310092065513117631781,str\(\'ks-test\'\),str\(\'bounded\'\),3550
5,5_0,RUNNING,GenerationStep_0,,,3881,1465,632,0.576860026992857433114636478422,0.034678087333217262611118059112,6.949505058264360712882989901118,str\(\'t-test\'\),str\(\'full\'\),957
6,6_0,RUNNING,GenerationStep_0,,,3674,3547,3052,0.195069805622100828079723555675,0.332670498158782745878880859891,9.213204514208250373030750779435,str\(\'ks-test\'\),str\(\'full\'\),1489
7,7_0,COMPLETED,GenerationStep_0,0.709999999999999964472863211995,268.000000000000000000000000000000,820,339,2016,0.998777981765568201311111806717,0.644669160014018416404724121094,2.461800304220989499270899614203,str\(\'t-test\'\),str\(\'bounded\'\),3926
8,8_0,RUNNING,GenerationStep_0,,,1205,3884,2521,0.544841551708057481029356949875,0.409524731827899834968320647022,0.308278673075139564296875960281,str\(\'ks-test\'\),str\(\'bounded\'\),3264
9,9_0,RUNNING,GenerationStep_0,,,3288,1917,2386,0.272821299010887752256593330458,0.596567813877016295265320877661,8.243341398094781169447742286138,str\(\'t-test\'\),str\(\'full\'\),667
10,10_0,RUNNING,GenerationStep_0,,,4120,3076,3876,0.904569179015234148266699776286,0.770777697684243312536978010030,5.361036243621260410918694105931,str\(\'ks-test\'\),str\(\'full\'\),1854
11,11_0,FAILED,GenerationStep_0,,,1389,1127,1202,0.164728514755144717085499905807,0.209488168030977250921864651900,3.667716962949373105118411331205,str\(\'t-test\'\),str\(\'bounded\'\),4294
12,12_0,FAILED,GenerationStep_0,,,1878,3356,1408,0.122510334884747856820652600618,0.122158962782472374497544365113,1.467954966221935997339187451871,str\(\'ks-test\'\),str\(\'full\'\),1938
13,13_0,COMPLETED,GenerationStep_0,0.709999999999999964472863211995,206.000000000000000000000000000000,4801,295,3499,0.816049759430810817129042789020,0.933149891531094954899572258000,9.427146162711084187435517378617,str\(\'t-test\'\),str\(\'bounded\'\),4493
14,14_0,FAILED,GenerationStep_0,,,2803,4697,302,0.450981637543067359619186618147,0.697536062844097637380968990328,6.695923132852652059909814852290,str\(\'ks-test\'\),str\(\'bounded\'\),3024
15,15_0,FAILED,GenerationStep_0,,,520,1655,4775,0.739091473652049857356871598313,0.260798690209165240361244286760,4.988856167796999585561934509315,str\(\'t-test\'\),str\(\'full\'\),625
16,16_0,FAILED,GenerationStep_0,,,385,4979,2277,0.233146569507196532722304027629,0.872442049864679547432899653359,9.886514420285820392564346548170,str\(\'t-test\'\),str\(\'bounded\'\),885
17,17_0,FAILED,GenerationStep_0,,,2623,1761,2805,0.958874812388792685524663284014,0.186277022672817121895505465545,1.632266825404949495137429948954,str\(\'ks-test\'\),str\(\'full\'\),3291
18,18_0,FAILED,GenerationStep_0,,,4941,3228,1015,0.343242585288360713136057711381,0.446255845934152628462499023954,4.531624970044941136393390479498,str\(\'t-test\'\),str\(\'full\'\),4155
19,19_0,FAILED,GenerationStep_0,,,2053,31,3926,0.601166120762005484756684836611,0.508666844846680787917136967735,6.529476299800911043291762325680,str\(\'ks-test\'\),str\(\'bounded\'\),1593
