trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,subset_bound,approximation_type
0,0_0,RUNNING,SOBOL,,,2792,2327,3531,0.932172277212142907920622292295,0.700247011184692347285363211995,9.049343770503996964293946803082,str\(\'ks-test\'\),40,str\(\'bounded\'\)
1,1_0,COMPLETED,SOBOL,0.550000000000000044408920985006,5.000000000000000000000000000000,995,4584,1811,0.138674969397485248201462582074,0.325834160510450610015453776214,1.114775146514177306400483757898,str\(\'t-test\'\),2,str\(\'bounded\'\)
2,2_0,RUNNING,SOBOL,,,2054,35,4590,0.716468802835792284433580334735,0.221049165206030018282490345882,2.748369663720950484275817871094,str\(\'ks-test\'\),13,str\(\'bounded\'\)
3,3_0,RUNNING,SOBOL,,,4163,3048,51,0.476819461757317208938644625960,0.844970116123557102305596799852,7.402017967863940839379210956395,str\(\'t-test\'\),26,str\(\'bounded\'\)
4,4_0,RUNNING,SOBOL,,,4837,904,2063,0.360186342375352963607326728379,0.923382984384894411888922149956,8.110384890967049287269219348673,str\(\'ks-test\'\),20,str\(\'bounded\'\)
5,5_0,RUNNING,SOBOL,,,1478,3507,2539,0.568860881064087164915576977364,0.050052213387563826429982327682,2.059532111991196678957294352585,str\(\'t-test\'\),32,str\(\'bounded\'\)
6,6_0,RUNNING,SOBOL,,,321,1731,1087,0.022437324061989786377901978653,0.405308010999113343952870991416,4.312266816178337514031682076165,str\(\'ks-test\'\),46,str\(\'bounded\'\)
7,7_0,COMPLETED,SOBOL,0.550000000000000044408920985006,13988.000000000000000000000000000000,3368,3852,4372,0.784412549538537895443823799724,0.530130693836137645291728404118,5.832323129895144120382610708475,str\(\'t-test\'\),9,str\(\'bounded\'\)
8,8_0,FAILED,SOBOL,,,3483,426,653,0.544295107344165418616910301353,0.303874029180034976871382923491,6.498478837844916533583727868972,str\(\'ks-test\'\),25,str\(\'bounded\'\)
9,9_0,FAILED,SOBOL,,,280,2666,3926,0.277173955213278533360465871738,0.678347821753472079997493437986,3.650688212685286870851086860057,str\(\'t-test\'\),37,str\(\'bounded\'\)
10,10_0,FAILED,SOBOL,,,1673,1942,2488,0.819699115611612794118912006525,0.775316968062892519775175514951,0.299735294802114360379619029118,str\(\'ks-test\'\),48,str\(\'bounded\'\)
11,11_0,FAILED,SOBOL,,,4563,4978,2954,0.123967319091781977280497528682,0.151335083611309539897149534227,9.865604454702697978518699528649,str\(\'t-test\'\),10,str\(\'bounded\'\)
12,12_0,FAILED,SOBOL,,,3968,1503,4927,0.225737600890919570817416683894,0.072986935503780839273879621487,5.564094054893590879373732605018,str\(\'ks-test\'\),42,str\(\'bounded\'\)
13,13_0,COMPLETED,SOBOL,0.550000000000000044408920985006,88.000000000000000000000000000000,2327,4089,398,0.952931445002555888024176056206,0.946256813863292300936791434651,4.581716472234577786082354577957,str\(\'t-test\'\),4,str\(\'bounded\'\)
14,14_0,FAILED,SOBOL,,,876,1139,3166,0.379036097396165116979460663060,0.598809251111000806488959824492,1.859057205261662515383136451419,str\(\'ks-test\'\),18,str\(\'bounded\'\)
15,15_0,FAILED,SOBOL,,,2829,3282,1453,0.677191953750327257921526324935,0.474047464629635206811997250043,8.309639216641896197756977926474,str\(\'t-test\'\),31,str\(\'bounded\'\)
16,16_0,FAILED,SOBOL,,,3041,953,3788,0.046941736696287990338039008975,0.811898352680727852792585963471,4.743228571474552346387554280227,str\(\'t-test\'\),17,str\(\'bounded\'\)
17,17_0,FAILED,SOBOL,,,775,3389,812,0.773925745934248010549083574006,0.188350031543523060983957861936,5.088854406942614261311064183246,str\(\'ks-test\'\),29,str\(\'bounded\'\)
18,18_0,FAILED,SOBOL,,,2430,1376,3122,0.322951072473078970581639168813,0.356461312355473625146373706229,8.460557053758762435791140887886,str\(\'t-test\'\),43,str\(\'bounded\'\)
19,19_0,COMPLETED,SOBOL,0.550000000000000044408920985006,373.000000000000000000000000000000,3758,4294,2339,0.621316823186352840124868635030,0.730517721652984564073562978592,1.396852981543168503719698492205,str\(\'ks-test\'\),5,str\(\'bounded\'\)
20,20_0,FAILED,SOBOL,,,4432,2069,561,0.722965308556333230427526359563,0.561496876001358002916674649896,3.179100846607238128882499950123,str\(\'t-test\'\),49,str\(\'bounded\'\)
21,21_0,FAILED,SOBOL,,,1854,4773,4783,0.456061664920300258163621265339,0.436788897814229137850361439632,6.658779966318049581275317905238,str\(\'ks-test\'\),12,str\(\'bounded\'\)
22,22_0,FAILED,SOBOL,,,101,612,1300,0.875909744031727277580046120420,0.020156033445149660471296115816,9.399748098107986393756618781481,str\(\'t-test\'\),23,str\(\'bounded\'\)
23,23_0,FAILED,SOBOL,,,3617,2559,3339,0.179960498502478000171223015968,0.893355923471972346305847167969,0.451864251682534856513484555762,str\(\'ks-test\'\),35,str\(\'bounded\'\)
24,24_0,FAILED,SOBOL,,,3264,1604,1647,0.431046092079952369857664962183,0.183934757625684147663847056720,2.211899985097348864115929245600,str\(\'t-test\'\),45,str\(\'bounded\'\)
25,25_0,COMPLETED,SOBOL,0.550000000000000044408920985006,3503.000000000000000000000000000000,530,4057,3675,0.639443220440298332185591334564,0.807544038321822865711396843835,7.644289469149895488442325586220,str\(\'ks-test\'\),7,str\(\'bounded\'\)
26,26_0,FAILED,SOBOL,,,1267,718,205,0.215696685239672669709420915751,0.647218153679743446460292943812,5.992386385119520930686576321023,str\(\'t-test\'\),21,str\(\'bounded\'\)
27,27_0,FAILED,SOBOL,,,4939,3614,4416,0.977949380530044432013880850718,0.273100781105458711994771192622,3.840917174352333152143046390847,str\(\'ks-test\'\),33,str\(\'bounded\'\)
28,28_0,FAILED,SOBOL,,,4343,220,2678,0.861438117062672925605681939487,0.442178732775151739353702851076,0.652351078148931340372485010448,str\(\'t-test\'\),15,str\(\'bounded\'\)
29,29_0,FAILED,SOBOL,,,1922,2941,1904,0.068210678867995741536667253513,0.566825848067179283162886349601,9.200481852696277940140134887770,str\(\'ks-test\'\),28,str\(\'bounded\'\)
30,30_0,FAILED,SOBOL,,,1125,2454,4203,0.523083778675645594269383309438,0.975680930402129886758189059037,6.926997121582739502798631292535,str\(\'t-test\'\),38,str\(\'bounded\'\)
31,31_0,FAILED,SOBOL,,,2609,4379,1236,0.283164641404524464185499255109,0.102541906988248235355065673957,2.909663110287860288138972464367,str\(\'ks-test\'\),1,str\(\'bounded\'\)
32,32_0,FAILED,SOBOL,,,2553,117,2346,0.157154617192223677868412323733,0.502957242209464361337722948520,3.915452872041612852882508377661,str\(\'t-test\'\),8,str\(\'bounded\'\)
33,33_0,FAILED,SOBOL,,,1225,2974,2822,0.895773717362433719024750189419,0.378379399565979823716332930417,6.214146812953987186745052895276,str\(\'ks-test\'\),46,str\(\'bounded\'\)
34,34_0,FAILED,SOBOL,,,1982,2253,745,0.442790581375360481342084995049,0.047500196188688281750955866301,7.725988928693347190801432589069,str\(\'t-test\'\),34,str\(\'bounded\'\)
35,35_0,FAILED,SOBOL,,,4248,4666,4030,0.737196721253916664728933483275,0.920586130710318695236082930933,2.458842049026861875660188161419,str\(\'ks-test\'\),22,str\(\'bounded\'\)
36,36_0,FAILED,SOBOL,,,4922,1813,3228,0.605122149458155011991777882940,0.870441931100562227285877270333,2.971818149790167673529595049331,str\(\'t-test\'\),29,str\(\'bounded\'\)
37,37_0,FAILED,SOBOL,,,1407,3778,1508,0.342055294103920437542853960622,0.246763437241315830572574441248,7.154424862806686213900775328511,str\(\'ks-test\'\),16,str\(\'bounded\'\)
38,38_0,FAILED,SOBOL,,,551,830,4912,0.763790024440735626498621968494,0.329113442925736299216055158467,9.294560331462882629693922353908,str\(\'t-test\'\),1,str\(\'bounded\'\)
39,39_0,FAILED,SOBOL,,,3130,3590,373,0.056084768960252405489708138475,0.703283844906836708155140058807,0.893627169659361286768728405150,str\(\'ks-test\'\),39,str\(\'bounded\'\)
40,40_0,FAILED,SOBOL,,,3712,2015,4644,0.303272025419399127166286689317,0.492925495680421599242748698089,1.477192846100777279261251351272,str\(\'t-test\'\),30,str\(\'bounded\'\)
41,41_0,FAILED,SOBOL,,,41,4894,115,0.500034479245543450609545743646,0.617442438250407565902833084692,8.706417550564744090024760225788,str\(\'ks-test\'\),17,str\(\'bounded\'\)
42,42_0,FAILED,SOBOL,,,1754,342,3508,0.082198204997926946346886722949,0.956129876486957019920964739867,5.164748209650628751887779799290,str\(\'t-test\'\),6,str\(\'bounded\'\)
43,43_0,FAILED,SOBOL,,,4488,2739,1795,0.848410927521064839318398753676,0.083104845756664866285312598393,4.966072056399658762870785722043,str\(\'ks-test\'\),44,str\(\'bounded\'\)
44,44_0,FAILED,SOBOL,,,3892,1212,956,0.996810191476717566416709814803,0.133191939348354937422413968307,0.547292789645493105155082957936,str\(\'t-test\'\),13,str\(\'bounded\'\)
45,45_0,FAILED,SOBOL,,,2408,3198,4229,0.199745429631322635177781421589,0.756931355588138066181613794470,9.642115292531437731327059736941,str\(\'ks-test\'\),50,str\(\'bounded\'\)
46,46_0,FAILED,SOBOL,,,636,1419,2165,0.648830139271914907439509079268,0.666765500908717556605154186400,6.719586436591112210692244843813,str\(\'t-test\'\),36,str\(\'bounded\'\)
47,47_0,FAILED,SOBOL,,,3058,4162,2632,0.420666476583108295272950272192,0.292534172829240546320761495735,3.405435994951054645696331135696,str\(\'ks-test\'\),23,str\(\'bounded\'\)
48,48_0,FAILED,SOBOL,,,2969,1293,258,0.800621737712994163693736027199,0.888351920340210154947158116556,9.803599454888143327480065636337,str\(\'ks-test\'\),38,str\(\'bounded\'\)
49,49_0,FAILED,SOBOL,,,859,4367,4480,0.003286227907985449052385984459,0.014907662285491823234151453903,0.072157513890415428403635189625,str\(\'t-test\'\),25,str\(\'bounded\'\)
50,50_0,FAILED,SOBOL,,,2193,1026,1622,0.578950203917920624974158272380,0.409143603995442417531336332104,3.556459396237507508686803703313,str\(\'ks-test\'\),11,str\(\'bounded\'\)
51,51_0,FAILED,SOBOL,,,3989,3305,3661,0.351057348674163216539767518043,0.534095953928306665936531771877,6.257353084015660371619560464751,str\(\'t-test\'\),48,str\(\'bounded\'\)
