trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,subset_bound,approximation_type
0,0_0,FAILED,SOBOL,,,2138,498,4016,0.959601308941841146804563322803,0.494769207715988146301100414348,6.849916904628277514177625562297,str\(\'t-test\'\),26,str\(\'bounded\'\)
1,1_0,FAILED,SOBOL,,,3469,2534,1565,0.279932694524526570756250976046,0.695922153269872056924327807792,3.841765747869387404023200360825,str\(\'ks-test\'\),18,str\(\'bounded\'\)
2,2_0,FAILED,SOBOL,,,3916,2279,3403,0.576786073584109493239679977705,0.881072311168536570491482962098,1.111296147815883150755666974874,str\(\'t-test\'\),7,str\(\'bounded\'\)
3,3_0,FAILED,SOBOL,,,401,4618,1010,0.132973515335470443554655162188,0.177056738346815123463784402702,8.179195287609472231338259007316,str\(\'ks-test\'\),38,str\(\'bounded\'\)
4,4_0,FAILED,SOBOL,,,876,1377,2122,0.114445475209504363145462946250,0.052185115726664663138301136769,6.206937756099739189608044398483,str\(\'t-test\'\),13,str\(\'bounded\'\)
5,5_0,FAILED,SOBOL,,,4691,4351,4710,0.684957237336784596770655753062,0.756445826169103385794301175338,3.279421198016963856503025454003,str\(\'ks-test\'\),44,str\(\'bounded\'\)
6,6_0,FAILED,SOBOL,,,2691,853,297,0.481713961496949172325088284197,0.571294151391834037490013997740,1.791579360702075129907484551950,str\(\'t-test\'\),32,str\(\'bounded\'\)
7,7_0,FAILED,SOBOL,,,1665,3504,2865,0.785183349728584278892640213598,0.369899161459878111912757958635,8.783573653406463677129067946225,str\(\'ks-test\'\),25,str\(\'bounded\'\)
8,8_0,FAILED,SOBOL,,,1500,1973,625,0.696407105494290634695175867819,0.670850994078442508516957332176,7.777939686338418034949881985085,str\(\'t-test\'\),9,str\(\'bounded\'\)
9,9_0,FAILED,SOBOL,,,2818,4927,2549,0.001145179782062769003811442126,0.403429548315703878635929413576,0.394159213130362340304913004729,str\(\'ks-test\'\),48,str\(\'bounded\'\)
10,10_0,FAILED,SOBOL,,,4567,179,2428,0.828307903602719330926618113153,0.206579200111329547295824227149,4.538002038578503594123958464479,str\(\'t-test\'\),36,str\(\'bounded\'\)
11,11_0,FAILED,SOBOL,,,1039,2850,4410,0.400088589727878585211584550052,0.969076153753325342243840623269,7.232405569319613647394362487830,str\(\'ks-test\'\),21,str\(\'bounded\'\)
12,12_0,FAILED,SOBOL,,,264,1171,3730,0.354248644694685921319177168698,0.844446783710271153822191081417,9.634863091817125635429874819238,str\(\'t-test\'\),30,str\(\'bounded\'\)
13,13_0,FAILED,SOBOL,,,4093,3188,693,0.909167162448167753829864068393,0.081706714952364561943554122081,2.331411997523158863288017528248,str\(\'ks-test\'\),15,str\(\'bounded\'\)
14,14_0,FAILED,SOBOL,,,3290,1683,4322,0.237989541847258817552912546489,0.278556438559666275089909959206,2.718382734706625392107071093051,str\(\'t-test\'\),3,str\(\'bounded\'\)
15,15_0,FAILED,SOBOL,,,2278,4042,1266,0.557052233938127749901525476162,0.546222189147025360966836160515,5.337186414625496588826081278967,str\(\'ks-test\'\),42,str\(\'bounded\'\)
16,16_0,FAILED,SOBOL,,,2381,1854,2713,0.458255467332899568688731051225,0.128957825535908343628221928157,2.003836126462556599392428324791,str\(\'ks-test\'\),2,str\(\'bounded\'\)
17,17_0,FAILED,SOBOL,,,3225,3870,457,0.777317296884953989888344949577,0.921938029248267398862992649811,9.933445115565321614781169046182,str\(\'t-test\'\),43,str\(\'bounded\'\)
18,18_0,FAILED,SOBOL,,,4316,1001,4558,0.075498750772327191671529078576,0.748436220098286919544250395120,5.018159378842451445734695880674,str\(\'ks-test\'\),31,str\(\'bounded\'\)
19,19_0,FAILED,SOBOL,,,1,3359,2282,0.630417595695704213731858089886,0.450584823215380292360521252704,3.027954755841754330702997322078,str\(\'t-test\'\),14,str\(\'bounded\'\)
20,20_0,FAILED,SOBOL,,,1101,38,858,0.615854616757482320466010605742,0.325957308374345278156880567622,0.117847541496157656726317952689,str\(\'ks-test\'\),37,str\(\'bounded\'\)
21,21_0,COMPLETED,SOBOL,0.190000000000000002220446049250,12498.000000000000000000000000000000,4466,2992,3563,0.187634975712746371323547123211,0.623565590141341052898837915563,8.122903957786038020572050299961,str\(\'t-test\'\),20,str\(\'bounded\'\)
22,22_0,COMPLETED,SOBOL,0.190000000000000002220446049250,5018.000000000000000000000000000000,3073,2114,1413,0.982937991805374666753891688131,0.797066834179684491346051800065,6.945113436087966718446295999456,str\(\'ks-test\'\),8,str\(\'bounded\'\)
23,23_0,FAILED,SOBOL,,,1284,4785,4177,0.287676928631961370541603173479,0.004330935291945933740542784562,4.874427010538057380983900657156,str\(\'t-test\'\),49,str\(\'bounded\'\)
24,24_0,FAILED,SOBOL,,,1725,692,1730,0.199088621195405712782644513936,0.958697451915591969395791238640,3.555728232128545940327057905961,str\(\'ks-test\'\),35,str\(\'bounded\'\)
25,25_0,FAILED,SOBOL,,,2592,3666,3849,0.502558158140629540611143966089,0.224191133858636010289799855855,5.861969145122916557966163964011,str\(\'t-test\'\),22,str\(\'bounded\'\)
26,26_0,FAILED,SOBOL,,,4949,1537,1157,0.330805259831249698354582733373,0.417187866838648890865925977778,9.070870684904978276108522550203,str\(\'ks-test\'\),10,str\(\'bounded\'\)
27,27_0,FAILED,SOBOL,,,658,4189,3257,0.901316456846892877230459362181,0.648763030406087626289490799536,1.455159585002809841114412847674,str\(\'t-test\'\),47,str\(\'bounded\'\)
28,28_0,FAILED,SOBOL,,,507,2430,4874,0.851629469729960009161118250631,0.523889515405520755919610564888,4.169337316649966318493625294650,str\(\'ks-test\'\),4,str\(\'bounded\'\)
29,29_0,FAILED,SOBOL,,,3849,4466,1954,0.407817476592957972592046189675,0.292559489458799337757710645747,6.551330355104990843528867117129,str\(\'t-test\'\),40,str\(\'bounded\'\)
30,30_0,FAILED,SOBOL,,,3690,347,3013,0.735429844882339200928811351332,0.099561180114746100633382752676,8.498227556901984058868038118817,str\(\'ks-test\'\),28,str\(\'bounded\'\)
31,31_0,FAILED,SOBOL,,,1878,2686,151,0.055761074315756560537682418044,0.833825453793630044785345489800,0.801729062196798625272720073554,str\(\'t-test\'\),16,str\(\'bounded\'\)
