trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,2868,1708,4163,0.457056066215038303557349763651,0.299999999999999988897769753748
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,303,3360,1732,0.920965925697237230984626421559,0.000000010000000000000000209226
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,1978,609,2563,0.235489904362708335483489463513,0.001000000000000000020816681712
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,4862,4459,285,0.637025538085028486534611147363,0.699999999999999955591079014994
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,3788,756,2382,0.609436704309657240052899851435,0.599999999999999977795539507497
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,1803,4334,4772,0.012971503376960753090019196065,0.000000999999999999999954748112
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,1065,2167,935,0.830632743135094608888380207645,0.000000000009999999999999999395
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,3357,2923,3172,0.296543440060690055570802314833,0.010000000000000000208166817117
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,2877.000000000000000000000000000000,3589,117,1219,0.101139348236843951145402797920,0.000000000100000000000000003643
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,822,4972,3513,0.526065802145749383811335064820,0.299999999999999988897769753748
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,1253,1519,2037,0.318514076147228486490803334164,0.900000000000000022204460492503
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,4327,3571,4491,0.805814397973939722241709660011,0.000100000000000000004792173602
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,4464,2269,2863,0.941596349345520167162248981185,0.000000099999999999999995474811
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,2367,2799,610,0.430897740051150335283125514252,0.599999999999999977795539507497
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,374,1180,3841,0.724584361761808404267526384501,0.200000000000000011102230246252
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,2788,3888,1428,0.151509746791794908116202122983,0.000000000000999999999999999980
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,2618,970,3701,0.850219211332500002242795744678,0.800000000000000044408920985006
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,476,3961,953,0.277145667100325232556912169457,0.001000000000000000020816681712
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,2236,2381,4597,0.566400594124570444520827550150,0.000000001000000000000000062282
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,4684,2550,2011,0.055700914092361927809626820363,0.200000000000000011102230246252
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,526.000000000000000000000000000000,4195,1260,344,0.192942875992506729376785301611,0.010000000000000000208166817117
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,1473,3655,3051,0.680244268557056774859859160642,0.000000000100000000000000003643
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,2395.000000000000000000000000000000,652,161,1402,0.476149627869948743885686326394,0.000000999999999999999954748112
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,3691,4753,3946,0.901075011041015394575026675739,0.500000000000000000000000000000
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,3137,1938,1681,0.704697023667395061607976458617,0.000010000000000000000818030539
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,1197,2976,4292,0.170606887796893730291358792783,0.900000000000000022204460492503
26,26_0,COMPLETED,Sobol,GenerationStep_0,0.569999999999999951150186916493,210.000000000000000000000000000000,1701,849,4,0.984811518127098661778973109904,0.400000000000000022204460492503
27,27_0,COMPLETED,Sobol,GenerationStep_0,0.550000000000000044408920985006,0.000000000000000000000000000000,3959,4065,2766,0.388347149990499018734624314675,0.000000001000000000000000062282
