trial_index,arm_name,trial_status,generation_node,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
0,0_0,FAILED,GenerationStep_0,305,3491,4859,0.608603511333465574395518160600,0.200000000000000011102230246252
1,1_0,FAILED,GenerationStep_0,3231,836,521,0.483604399342089874558325846010,0.000000000100000000000000003643
2,2_0,FAILED,GenerationStep_0,4503,4885,3133,0.811621253721416024973223102279,0.000100000000000000004792173602
3,3_0,FAILED,GenerationStep_0,1494,1923,1299,0.188121046077460052359242581588,0.800000000000000044408920985006
4,4_0,FAILED,GenerationStep_0,2065,4098,957,0.046434709798544644698825578644,0.500000000000000000000000000000
5,5_0,FAILED,GenerationStep_0,3815,1440,4119,0.919926743023097515106201171875,0.000000099999999999999995474811
6,6_0,FAILED,GenerationStep_0,2514,2996,2034,0.373597150702029479063526196114,0.000000010000000000000000209226
7,7_0,FAILED,GenerationStep_0,827,22,2700,0.747605857327580447524439932749,0.299999999999999988897769753748
8,8_0,FAILED,GenerationStep_0,973,4461,2239,0.939566709075123074335067485663,0.000000000000999999999999999980
9,9_0,FAILED,GenerationStep_0,3032,2426,2823,0.066569561213254926923532650562,0.010000000000000000208166817117
10,10_0,FAILED,GenerationStep_0,4236,3379,826,0.644086642380803819918355657137,0.900000000000000022204460492503
11,11_0,FAILED,GenerationStep_0,2230,1027,3914,0.269583102442324140657348152672,0.001000000000000000020816681712
12,12_0,FAILED,GenerationStep_0,1717,2640,3650,0.378128912903368474829335355025,0.000010000000000000000818030539
13,13_0,FAILED,GenerationStep_0,4944,612,1734,0.502648241396993378238278182835,0.699999999999999955591079014994
14,14_0,FAILED,GenerationStep_0,3731,4053,4415,0.205818898171186454026937440176,0.299999999999999988897769753748
15,15_0,FAILED,GenerationStep_0,391,1719,3,0.829798829827457673502522084164,0.000000001000000000000000062282
16,16_0,FAILED,GenerationStep_0,477,3855,3055,0.333490571808069957704390162689,0.699999999999999955591079014994
17,17_0,FAILED,GenerationStep_0,3489,1821,2467,0.707975288324058094069357593980,0.000100000000000000004792173602
18,18_0,FAILED,GenerationStep_0,4717,2774,3839,0.006803917724639177259937650177,0.000000000009999999999999999395
19,19_0,FAILED,GenerationStep_0,1788,421,755,0.879820416942238781032870065246,0.100000000000000005551115123126
20,20_0,FAILED,GenerationStep_0,2467,3245,1643,0.769812930360436409316093886446,0.400000000000000022204460492503
21,21_0,FAILED,GenerationStep_0,4155,1218,3555,0.145806509096175429540664936212,0.000000010000000000000000209226
22,22_0,RUNNING,GenerationStep_0,2956,4659,250,0.566288714103400758759221389482,0.000000099999999999999995474811
23,23_0,FAILED,GenerationStep_0,1204,2324,4666,0.441796299051493424059344761190,0.500000000000000000000000000000
24,24_0,FAILED,GenerationStep_0,746,2886,440,0.243972451247274874086556906150,0.001000000000000000020816681712
25,25_0,FAILED,GenerationStep_0,2751,231,4774,0.867483987148851110049463386531,0.900000000000000022204460492503
