trial_index,arm_name,trial_status,generation_method,generation_node,ACCURACY,RUNTIME,recent_samples_size,n_samples,n_windows,disjoint_training_windows
0,0_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,8.000000000000000000000000000000,3299,279,2822,False
1,1_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,4.000000000000000000000000000000,314,2595,2142,True
2,2_0,COMPLETED,Sobol,GenerationStep_0,0.599999999999999977795539507497,29.000000000000000000000000000000,1860,1481,4972,False
3,3_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,4.000000000000000000000000000000,4529,3777,65,True
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,4.000000000000000000000000000000,3791,2155,1499,True
5,5_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,33.000000000000000000000000000000,2403,4469,3466,False
6,6_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,4.000000000000000000000000000000,1050,857,670,True
7,7_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,29.000000000000000000000000000000,2758,3151,4368,False
8,8_0,COMPLETED,Sobol,GenerationStep_0,0.579999999999999960031971113494,17.000000000000000000000000000000,2830,1714,995,False
9,9_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,4.000000000000000000000000000000,783,4320,4048,True
10,10_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,9.000000000000000000000000000000,2016,356,1800,False
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,4.000000000000000000000000000000,4373,2982,3160,True
12,12_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,4.000000000000000000000000000000,4884,1088,4651,True
13,13_0,COMPLETED,Sobol,GenerationStep_0,0.540000000000000035527136788005,14.000000000000000000000000000000,1309,3696,391,False
14,14_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,4.000000000000000000000000000000,270,2230,2517,True
15,15_0,COMPLETED,Sobol,GenerationStep_0,0.569999999999999951150186916493,24.000000000000000000000000000000,3540,4858,2443,False
16,16_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,4.000000000000000000000000000000,3611,2467,3794,True
17,17_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,15.000000000000000000000000000000,4,4783,1249,False
18,18_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,4.000000000000000000000000000000,1545,1168,3375,True
19,19_0,COMPLETED,Sobol,GenerationStep_0,0.579999999999999960031971113494,16.000000000000000000000000000000,4842,3464,1585,False
20,20_0,COMPLETED,Sobol,GenerationStep_0,0.650000000000000022204460492503,50.000000000000000000000000000000,4106,594,606,False
21,21_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,4.000000000000000000000000000000,2086,2907,4437,True
22,22_0,COMPLETED,Sobol,GenerationStep_0,0.569999999999999951150186916493,16.000000000000000000000000000000,742,1794,2189,False
23,23_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,4.000000000000000000000000000000,3067,4088,2771,True
24,24_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,4.000000000000000000000000000000,2517,776,1888,True
25,25_0,COMPLETED,Sobol,GenerationStep_0,0.589999999999999968913755310496,18.000000000000000000000000000000,1097,3382,3076,False
26,26_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,5.000000000000000000000000000000,2327,1919,280,True
27,27_0,COMPLETED,Sobol,GenerationStep_0,0.540000000000000035527136788005,39.000000000000000000000000000000,4062,4545,4758,False
28,28_0,COMPLETED,Sobol,GenerationStep_0,0.579999999999999960031971113494,25.000000000000000000000000000000,4575,1400,3681,False
29,29_0,COMPLETED,Sobol,GenerationStep_0,0.520000000000000017763568394003,5.000000000000000000000000000000,1618,4008,1283,True
