trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,batch_size,divergence,statistic,significance,subsets,detect_batch
0,0_0,COMPLETED,SOBOL,0.410000000000000031086244689504,1443.000000000000000000000000000000,0.029999999999999998889776975375,2696,21,4469,str\(\'KL\'\),str\(\'tstat\'\),0.731814385175704962271936437901,35,2
1,1_0,COMPLETED,SOBOL,0.460000000000000019984014443253,1752.000000000000000000000000000000,0.170000000000000012212453270877,1695,42,573,str\(\'H\'\),str\(\'stdev\'\),0.391846105612814410434907586023,53,3
2,2_0,COMPLETED,SOBOL,0.450000000000000011102230246252,1993.000000000000000000000000000000,0.239999999999999991118215802999,459,2,2802,str\(\'KL\'\),str\(\'stdev\'\),0.101885390402749187455100354782,96,2
3,3_0,COMPLETED,SOBOL,0.160000000000000003330669073875,1479.000000000000000000000000000000,0.059999999999999997779553950750,3911,34,2323,str\(\'H\'\),str\(\'tstat\'\),0.776174940440803817764958694170,15,1
4,4_0,COMPLETED,SOBOL,0.479999999999999982236431605997,2139.000000000000000000000000000000,0.359999999999999986677323704498,4523,8,960,str\(\'H\'\),str\(\'stdev\'\),0.164200753465294835287124897150,66,1
5,5_0,COMPLETED,SOBOL,0.020000000000000000416333634234,1425.000000000000000000000000000000,0.010000000000000000208166817117,1110,28,3917,str\(\'KL\'\),str\(\'tstat\'\),0.963602274237200573381301182962,48,3
6,6_0,COMPLETED,SOBOL,0.230000000000000009992007221626,1565.000000000000000000000000000000,0.059999999999999997779553950750,2364,16,1771,str\(\'H\'\),str\(\'tstat\'\),0.544017974924296154881631082390,5,3
7,7_0,COMPLETED,SOBOL,0.220000000000000001110223024625,1496.000000000000000000000000000000,0.070000000000000006661338147751,3248,47,3189,str\(\'KL\'\),str\(\'stdev\'\),0.330387094879522946744287992260,86,3
8,8_0,COMPLETED,SOBOL,0.470000000000000028865798640254,1900.000000000000000000000000000000,0.270000000000000017763568394003,3452,3,1406,str\(\'KL\'\),str\(\'stdev\'\),0.197335290772840371564811334792,20,2
9,9_0,COMPLETED,SOBOL,0.080000000000000001665334536938,1643.000000000000000000000000000000,0.029999999999999998889776975375,2187,40,3720,str\(\'H\'\),str\(\'tstat\'\),0.926568823546171205229882161802,89,3
10,10_0,COMPLETED,SOBOL,0.470000000000000028865798640254,1200.000000000000000000000000000000,0.080000000000000001665334536938,903,25,866,str\(\'KL\'\),str\(\'tstat\'\),0.565461512425914358814793558849,57,1
11,11_0,COMPLETED,SOBOL,0.239999999999999991118215802999,1703.000000000000000000000000000000,0.190000000000000002220446049250,4716,45,4177,str\(\'H\'\),str\(\'stdev\'\),0.312842470761388546929282483688,26,2
12,12_0,COMPLETED,SOBOL,0.260000000000000008881784197001,1707.000000000000000000000000000000,0.130000000000000004440892098501,4351,17,2855,str\(\'H\'\),str\(\'tstat\'\),0.628504025451838921334513088368,81,2
13,13_0,COMPLETED,SOBOL,0.450000000000000011102230246252,1843.000000000000000000000000000000,0.179999999999999993338661852249,30,53,2105,str\(\'KL\'\),str\(\'stdev\'\),0.499055349906906475787593535642,12,3
14,14_0,COMPLETED,SOBOL,0.479999999999999982236431605997,1721.000000000000000000000000000000,0.250000000000000000000000000000,1256,12,4876,str\(\'H\'\),str\(\'stdev\'\),0.010273673433810474181493432866,43,1
15,15_0,FAILED,SOBOL,,,,3107,31,1,str\(\'KL\'\),str\(\'tstat\'\),0.863887744026258563856401906378,75,2
16,16_0,COMPLETED,SOBOL,0.260000000000000008881784197001,1831.000000000000000000000000000000,0.110000000000000000555111512313,2820,10,3472,str\(\'H\'\),str\(\'stdev\'\),0.895880750250071300477827662689,45,1
