trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,batch_size,divergence,statistic,significance,subsets,detect_batch
0,0_0,COMPLETED,SOBOL,0.170000000000000012212453270877,9.000000000000000000000000000000,0.300000000000000044408920985006,3902,101,692,str\(\'H\'\),str\(\'stdev\'\),0.784235746741294814654565925593,5,2
1,1_0,COMPLETED,SOBOL,0.170000000000000012212453270877,10.000000000000000000000000000000,0.220000000000000001110223024625,1548,47,2574,str\(\'KL\'\),str\(\'tstat\'\),0.017702949820086362475723973375,62,1
2,2_0,COMPLETED,SOBOL,0.170000000000000012212453270877,10.000000000000000000000000000000,0.000000000000000000000000000000,1090,74,1993,str\(\'H\'\),str\(\'tstat\'\),0.455943372555077053309702250772,83,2
3,3_0,COMPLETED,SOBOL,0.170000000000000012212453270877,10.000000000000000000000000000000,0.330000000000000015543122344752,3736,0,3885,str\(\'KL\'\),str\(\'stdev\'\),0.718605491794645834247035054432,28,3
4,4_0,COMPLETED,SOBOL,0.170000000000000012212453270877,9.000000000000000000000000000000,0.289999999999999980015985556747,3016,88,3415,str\(\'KL\'\),str\(\'tstat\'\),0.291643229719251384501887969236,68,3
5,5_0,COMPLETED,SOBOL,0.170000000000000012212453270877,9.000000000000000000000000000000,0.250000000000000000000000000000,363,18,275,str\(\'H\'\),str\(\'stdev\'\),0.524061763849109407686910344637,24,3
6,6_0,COMPLETED,SOBOL,0.170000000000000012212453270877,7.000000000000000000000000000000,0.000000000000000000000000000000,2079,119,4603,str\(\'KL\'\),str\(\'stdev\'\),0.963277318315580499685779614083,46,2
7,7_0,COMPLETED,SOBOL,0.170000000000000012212453270877,8.000000000000000000000000000000,0.330000000000000015543122344752,4426,61,1474,str\(\'H\'\),str\(\'tstat\'\),0.228936383711174140653810127333,89,3
8,8_0,COMPLETED,SOBOL,0.170000000000000012212453270877,7.000000000000000000000000000000,0.000000000000000000000000000000,4837,66,4871,str\(\'H\'\),str\(\'tstat\'\),0.354088245935738066272335800022,35,1
9,9_0,COMPLETED,SOBOL,0.289999999999999980015985556747,5.000000000000000000000000000000,0.000000000000000000000000000000,2489,8,1749,str\(\'KL\'\),str\(\'stdev\'\),0.586550561346113719096706518030,76,3
10,10_0,COMPLETED,SOBOL,0.170000000000000012212453270877,10.000000000000000000000000000000,0.309999999999999997779553950750,149,109,3677,str\(\'H\'\),str\(\'stdev\'\),0.900712383178994047128185229667,56,2
11,11_0,COMPLETED,SOBOL,0.170000000000000012212453270877,8.000000000000000000000000000000,0.000000000000000000000000000000,2801,39,565,str\(\'KL\'\),str\(\'tstat\'\),0.166323860226199021772330866042,10,3
12,12_0,COMPLETED,SOBOL,0.170000000000000012212453270877,24.000000000000000000000000000000,0.410000000000000031086244689504,3325,127,2285,str\(\'KL\'\),str\(\'stdev\'\),0.846817803459241957853009807877,95,1
