trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,batch_size,divergence,statistic,significance,subsets,detect_batch
0,0_0,COMPLETED,SOBOL,0.100000000000000005551115123126,181.000000000000000000000000000000,0.119999999999999995559107901499,1995,8,4620,str\(\'KL\'\),str\(\'tstat\'\),0.207906926184892648645785584449,40,1
1,1_0,COMPLETED,SOBOL,0.130000000000000004440892098501,241.000000000000000000000000000000,0.220000000000000001110223024625,3886,17,690,str\(\'H\'\),str\(\'stdev\'\),0.608396789221093081678759517672,78,2
2,2_0,COMPLETED,SOBOL,0.100000000000000005551115123126,177.000000000000000000000000000000,0.260000000000000008881784197001,3372,2,2940,str\(\'KL\'\),str\(\'stdev\'\),0.845878569329157503631222425611,63,2
3,3_0,COMPLETED,SOBOL,0.110000000000000000555111512313,164.000000000000000000000000000000,0.170000000000000012212453270877,243,25,1745,str\(\'H\'\),str\(\'tstat\'\),0.462565696477890031523827474302,25,3
4,4_0,COMPLETED,SOBOL,0.100000000000000005551115123126,378.000000000000000000000000000000,0.029999999999999998889776975375,725,5,54,str\(\'H\'\),str\(\'stdev\'\),0.881221380740404125475606633699,94,1
5,5_0,COMPLETED,SOBOL,0.110000000000000000555111512313,166.000000000000000000000000000000,0.200000000000000011102230246252,2615,21,4013,str\(\'KL\'\),str\(\'tstat\'\),0.309295210177078838675868155406,31,2
6,6_0,COMPLETED,SOBOL,0.110000000000000000555111512313,148.000000000000000000000000000000,0.119999999999999995559107901499,4680,12,2358,str\(\'H\'\),str\(\'tstat\'\),0.049275528786703944039704339275,10,2
7,7_0,COMPLETED,SOBOL,0.100000000000000005551115123126,177.000000000000000000000000000000,0.179999999999999993338661852249,1551,14,3584,str\(\'KL\'\),str\(\'stdev\'\),0.635455855932086755011312106944,72,1
8,8_0,COMPLETED,SOBOL,0.170000000000000012212453270877,74.000000000000000000000000000000,0.190000000000000002220446049250,1612,0,2111,str\(\'KL\'\),str\(\'stdev\'\),0.945445258714258662813278988324,16,1
9,9_0,COMPLETED,SOBOL,0.209999999999999992228438827624,92.000000000000000000000000000000,0.280000000000000026645352591004,4736,26,3201,str\(\'H\'\),str\(\'tstat\'\),0.362063598619773996389881176583,53,3
10,10_0,COMPLETED,SOBOL,0.100000000000000005551115123126,140.000000000000000000000000000000,0.000000000000000000000000000000,2970,7,432,str\(\'KL\'\),str\(\'tstat\'\),0.125397438189014776011021012891,87,2
11,11_0,COMPLETED,SOBOL,0.100000000000000005551115123126,145.000000000000000000000000000000,0.000000000000000000000000000000,1113,20,4255,str\(\'H\'\),str\(\'stdev\'\),0.691845725122839261267415622569,50,3
12,12_0,COMPLETED,SOBOL,0.140000000000000013322676295502,145.000000000000000000000000000000,0.220000000000000001110223024625,343,10,2542,str\(\'H\'\),str\(\'tstat\'\),0.151485754642635583877563476562,69,3
