trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,batch_size,divergence,statistic,significance,subsets,detect_batch
0,0_0,COMPLETED,SOBOL,0.040000000000000000832667268469,1258.000000000000000000000000000000,0.170000000000000012212453270877,4257,4,3719,str\(\'KL\'\),str\(\'tstat\'\),0.048774746000766755482658254550,11,3
1,1_0,COMPLETED,SOBOL,0.029999999999999998889776975375,3329.000000000000000000000000000000,0.260000000000000008881784197001,1846,2,343,str\(\'H\'\),str\(\'stdev\'\),0.899398366639390545174137514550,67,1
2,2_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1843.000000000000000000000000000000,0.300000000000000044408920985006,1057,2,4980,str\(\'KL\'\),str\(\'stdev\'\),0.574198147630318955769723743288,87,1
3,3_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1284.000000000000000000000000000000,0.080000000000000001665334536938,3468,0,1584,str\(\'H\'\),str\(\'tstat\'\),0.473597366223111770899834027659,43,2
4,4_0,COMPLETED,SOBOL,0.080000000000000001665334536938,484.000000000000000000000000000000,0.200000000000000011102230246252,2699,3,825,str\(\'H\'\),str\(\'stdev\'\),0.652056170139461710455464071856,56,3
5,5_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1373.000000000000000000000000000000,0.230000000000000009992007221626,268,1,2615,str\(\'KL\'\),str\(\'tstat\'\),0.301961028695106492580890744648,25,1
6,6_0,COMPLETED,SOBOL,0.040000000000000000832667268469,1271.000000000000000000000000000000,0.179999999999999993338661852249,1989,4,2084,str\(\'H\'\),str\(\'tstat\'\),0.220413164589554066985499503062,29,3
7,7_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1723.000000000000000000000000000000,0.149999999999999994448884876874,4420,1,3853,str\(\'KL\'\),str\(\'stdev\'\),0.821531122028827720527033307008,98,2
8,8_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1309.000000000000000000000000000000,0.179999999999999993338661852249,4709,2,2429,str\(\'KL\'\),str\(\'stdev\'\),0.688713277857750605370767971181,46,2
9,9_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1254.000000000000000000000000000000,0.119999999999999995559107901499,2316,0,4136,str\(\'H\'\),str\(\'tstat\'\),0.353231633357703689313211725676,77,3
10,10_0,COMPLETED,SOBOL,0.040000000000000000832667268469,1352.000000000000000000000000000000,0.200000000000000011102230246252,604,4,1188,str\(\'KL\'\),str\(\'tstat\'\),0.184730331640690553784978078511,70,3
11,11_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1892.000000000000000000000000000000,1.000000000000000000000000000000,2997,1,2874,str\(\'H\'\),str\(\'stdev\'\),0.769285588257014762980645627977,2,1
12,12_0,COMPLETED,SOBOL,0.040000000000000000832667268469,1697.000000000000000000000000000000,0.190000000000000002220446049250,3181,4,4532,str\(\'H\'\),str\(\'tstat\'\),0.106873506275936960840944323081,88,2
13,13_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1347.000000000000000000000000000000,0.130000000000000004440892098501,729,1,1405,str\(\'KL\'\),str\(\'stdev\'\),0.940923108058050239321801200276,32,1
14,14_0,COMPLETED,SOBOL,0.059999999999999997779553950750,481.000000000000000000000000000000,0.190000000000000002220446049250,1508,3,3294,str\(\'H\'\),str\(\'stdev\'\),0.517074153808876890714429919171,16,3
15,15_0,COMPLETED,SOBOL,0.029999999999999998889776975375,4704.000000000000000000000000000000,0.050000000000000002775557561563,3960,0,146,str\(\'KL\'\),str\(\'tstat\'\),0.431098156707361346295925841332,59,1
16,16_0,COMPLETED,SOBOL,0.089999999999999996669330926125,489.000000000000000000000000000000,0.330000000000000015543122344752,3857,3,4242,str\(\'H\'\),str\(\'stdev\'\),0.329167913924902688638240988439,20,1
17,17_0,COMPLETED,SOBOL,0.020000000000000000416333634234,1409.000000000000000000000000000000,0.160000000000000003330669073875,1307,0,2320,str\(\'KL\'\),str\(\'tstat\'\),0.742186209939420193926196134271,51,2
18,18_0,COMPLETED,SOBOL,0.080000000000000001665334536938,1954.000000000000000000000000000000,0.330000000000000015543122344752,831,3,3003,str\(\'H\'\),str\(\'tstat\'\),0.793916170429438405875544049195,97,1
19,19_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1345.000000000000000000000000000000,0.220000000000000001110223024625,3381,1,1062,str\(\'KL\'\),str\(\'stdev\'\),0.130971486531198028080424933250,28,3
20,20_0,COMPLETED,SOBOL,0.040000000000000000832667268469,1347.000000000000000000000000000000,0.270000000000000017763568394003,2945,4,1514,str\(\'KL\'\),str\(\'tstat\'\),0.996773554025217944918324519676,65,3
21,21_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1299.000000000000000000000000000000,0.250000000000000000000000000000,336,2,4426,str\(\'H\'\),str\(\'stdev\'\),0.084323096321895718574523925781,9,2
22,22_0,COMPLETED,SOBOL,0.040000000000000000832667268469,1854.000000000000000000000000000000,0.369999999999999995559107901499,2370,2,272,str\(\'KL\'\),str\(\'stdev\'\),0.375806966779753559571020105068,39,1
23,23_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1269.000000000000000000000000000000,0.130000000000000004440892098501,4978,0,3166,str\(\'H\'\),str\(\'tstat\'\),0.539331029163673481008345333976,83,3
24,24_0,COMPLETED,SOBOL,0.040000000000000000832667268469,1754.000000000000000000000000000000,0.400000000000000022204460492503,4640,4,530,str\(\'H\'\),str\(\'tstat\'\),0.905507470672950121048927485390,38,1
25,25_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1328.000000000000000000000000000000,0.230000000000000009992007221626,2073,1,3534,str\(\'KL\'\),str\(\'stdev\'\),0.009631149867549537724187302956,94,3
26,26_0,COMPLETED,SOBOL,0.080000000000000001665334536938,711.000000000000000000000000000000,0.179999999999999993338661852249,49,3,1788,str\(\'H\'\),str\(\'stdev\'\),0.466098106151446700540219580944,60,2
27,27_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1414.000000000000000000000000000000,0.309999999999999997779553950750,2616,1,4774,str\(\'KL\'\),str\(\'tstat\'\),0.614997265258803937904019676353,17,1
28,28_0,COMPLETED,SOBOL,0.080000000000000001665334536938,2013.000000000000000000000000000000,0.350000000000000033306690738755,3716,3,2799,str\(\'KL\'\),str\(\'stdev\'\),0.263241919700056337116933491416,79,1
29,29_0,COMPLETED,SOBOL,0.020000000000000000416333634234,1325.000000000000000000000000000000,0.200000000000000011102230246252,1130,0,638,str\(\'H\'\),str\(\'tstat\'\),0.661646837741136528698859819997,49,3
30,30_0,COMPLETED,SOBOL,0.040000000000000000832667268469,1577.000000000000000000000000000000,0.350000000000000033306690738755,1596,4,4060,str\(\'KL\'\),str\(\'tstat\'\),0.858867711428552893515586674766,6,2
31,31_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1222.000000000000000000000000000000,0.209999999999999992228438827624,4183,2,1880,str\(\'H\'\),str\(\'stdev\'\),0.212485609382390971955345548849,74,3
32,32_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1260.000000000000000000000000000000,0.160000000000000003330669073875,4077,2,1161,str\(\'H\'\),str\(\'stdev\'\),0.731194555303081861197256330342,7,3
33,33_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1344.000000000000000000000000000000,0.089999999999999996669330926125,1703,0,2901,str\(\'KL\'\),str\(\'tstat\'\),0.318718773895874607493539087955,63,1
34,34_0,COMPLETED,SOBOL,0.040000000000000000832667268469,2030.000000000000000000000000000000,0.179999999999999993338661852249,1236,4,2422,str\(\'H\'\),str\(\'tstat\'\),0.141415527543053032299980031894,84,2
35,35_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1225.000000000000000000000000000000,0.170000000000000012212453270877,3610,2,4143,str\(\'KL\'\),str\(\'stdev\'\),0.804914147252216882755249116599,41,3
36,36_0,COMPLETED,SOBOL,0.040000000000000000832667268469,1391.000000000000000000000000000000,0.209999999999999992228438827624,2568,4,3423,str\(\'KL\'\),str\(\'tstat\'\),0.063585115570575001520126079413,52,1
37,37_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1496.000000000000000000000000000000,0.140000000000000013322676295502,97,1,16,str\(\'H\'\),str\(\'stdev\'\),0.976578073009848557362033716345,22,3
38,38_0,COMPLETED,SOBOL,0.080000000000000001665334536938,532.000000000000000000000000000000,0.289999999999999980015985556747,2121,3,4681,str\(\'KL\'\),str\(\'stdev\'\),0.559520931560546164185154793813,27,1
39,39_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1335.000000000000000000000000000000,0.190000000000000002220446049250,4592,1,1256,str\(\'H\'\),str\(\'tstat\'\),0.396550790116190932099726751403,95,3
40,40_0,COMPLETED,SOBOL,0.040000000000000000832667268469,1380.000000000000000000000000000000,0.239999999999999991118215802999,4850,4,4871,str\(\'H\'\),str\(\'tstat\'\),0.029821401741355658271404038828,50,1
41,41_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1236.000000000000000000000000000000,0.149999999999999994448884876874,2498,2,1694,str\(\'KL\'\),str\(\'stdev\'\),0.926251658357679863442513124028,81,3
42,42_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1560.000000000000000000000000000000,0.209999999999999992228438827624,464,2,3628,str\(\'H\'\),str\(\'stdev\'\),0.594259633984416724139521193138,72,2
43,43_0,COMPLETED,SOBOL,0.029999999999999998889776975375,2061.000000000000000000000000000000,0.110000000000000000555111512313,2816,0,434,str\(\'KL\'\),str\(\'tstat\'\),0.445902989484369738359959001173,4,3
44,44_0,COMPLETED,SOBOL,0.080000000000000001665334536938,1635.000000000000000000000000000000,0.280000000000000026645352591004,3350,3,2130,str\(\'KL\'\),str\(\'stdev\'\),0.672090767217800033606067700021,92,1
45,45_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1290.000000000000000000000000000000,0.119999999999999995559107901499,861,0,3807,str\(\'H\'\),str\(\'tstat\'\),0.274239770116284475864887326679,36,3
