trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
0,0_0,COMPLETED,SOBOL,0.709999999999999964472863211995,4121.000000000000000000000000000000,1.000000000000000000000000000000,3366,0.046032868951559065273659854256,0.198350576102733600070138209048,1746,2596,3617
1,1_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2867.000000000000000000000000000000,1.000000000000000000000000000000,1210,0.533670585662126550907657929201,0.887518377887085097022179525084,4109,320,118
2,2_0,COMPLETED,SOBOL,0.719999999999999973354647408996,5601.000000000000000000000000000000,1.000000000000000000000000000000,1965,0.413431175695732233688062251531,0.355075700446963293810398454298,744,1911,2285
3,3_0,COMPLETED,SOBOL,0.719999999999999973354647408996,4359.000000000000000000000000000000,1.000000000000000000000000000000,4789,0.916729229845106630136797321029,0.543537970215082211211665708106,3381,4791,3982
4,4_0,COMPLETED,SOBOL,0.719999999999999973354647408996,4669.000000000000000000000000000000,1.000000000000000000000000000000,4222,0.311225437272340033079132126659,0.842535551987588449129873424681,2553,4162,2569
5,5_0,COMPLETED,SOBOL,0.709999999999999964472863211995,4765.000000000000000000000000000000,1.000000000000000000000000000000,1438,0.799168168341740980942233818496,0.024959153331816197329828810325,189,1280,1179
6,6_0,COMPLETED,SOBOL,0.709999999999999964472863211995,1492.000000000000000000000000000000,0.830000000000000071054273576010,332,0.179686442594975237518895028188,0.747812330344691855721350748354,4959,940,1537
7,7_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2049.000000000000000000000000000000,1.000000000000000000000000000000,2526,0.683163876933976954575200579711,0.431428773039951918288892329656,2323,3215,4717
8,8_0,COMPLETED,SOBOL,0.719999999999999973354647408996,1792.000000000000000000000000000000,0.930000000000000048849813083507,2942,0.461768375078216219975502099260,0.626110802764073048898296747211,564,253,4091
9,9_0,COMPLETED,SOBOL,0.709999999999999964472863211995,1063.000000000000000000000000000000,0.869999999999999995559107901499,140,0.956594059929251616658518742042,0.443981664756312954800421266555,2967,2977,2154
10,10_0,COMPLETED,SOBOL,0.709999999999999964472863211995,4267.000000000000000000000000000000,1.000000000000000000000000000000,1842,0.080782813193276528651587398144,0.781008568920195100915293551225,1946,4570,562
11,11_0,COMPLETED,SOBOL,0.719999999999999973354647408996,5842.000000000000000000000000000000,1.000000000000000000000000000000,4062,0.591021345399320163771506031480,0.102072272263467309083573297812,4543,2450,3196
12,12_0,COMPLETED,SOBOL,0.709999999999999964472863211995,6336.000000000000000000000000000000,1.000000000000000000000000000000,4433,0.196652064297348272425836057664,0.270407499939203266325904451151,3891,1821,4595
13,13_0,COMPLETED,SOBOL,0.709999999999999964472863211995,1426.000000000000000000000000000000,1.000000000000000000000000000000,2253,0.691050913264974919769656480639,0.581432534858584371129097689845,1488,3940,1642
14,14_0,COMPLETED,SOBOL,0.709999999999999964472863211995,3167.000000000000000000000000000000,1.000000000000000000000000000000,824,0.314481740649789565100746813187,0.177755293475463982399986662131,3602,3598,761
15,15_0,COMPLETED,SOBOL,0.719999999999999973354647408996,4218.000000000000000000000000000000,1.000000000000000000000000000000,3664,0.824662722555920435496545906062,0.986074791731312849663027009228,1005,872,3004
16,16_0,COMPLETED,SOBOL,0.719999999999999973354647408996,3787.000000000000000000000000000000,1.000000000000000000000000000000,3554,0.363123686706647297306460586697,0.487100342584773915444174008371,4767,4949,1852
17,17_0,COMPLETED,SOBOL,0.719999999999999973354647408996,1779.000000000000000000000000000000,0.739999999999999991118215802999,710,0.873481713999062825415364841319,0.676539036033675045267443692865,2482,2068,4412
