trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
0,0_0,FAILED,SOBOL,,,,2496,0.483681985080242182739596046304,0.877685105443000823655097519804,925,26,2851
1,1_0,FAILED,SOBOL,,,,4830,0.982494549261406113771499803988,0.182298959270119659281661483874,3665,4268,1995
2,2_0,FAILED,SOBOL,,,,3384,0.123974143186584118137005816607,0.503190641680732353435701043054,1567,2558,1220
3,3_0,FAILED,SOBOL,,,,739,0.623275923954322963460583650885,0.307780968450009850823079204929,3844,1755,3941
4,4_0,FAILED,SOBOL,,,,253,0.182146215543150913340753049852,0.110985372871160503649434758699,4705,2426,3397
5,5_0,FAILED,SOBOL,,,,2581,0.680838724173605469580650151329,0.820989718126133083409001756081,1956,3262,1763
6,6_0,FAILED,SOBOL,,,,4345,0.290161177977919571002729526299,0.484503579325973987579345703125,2807,4992,48
7,7_0,FAILED,SOBOL,,,,1692,0.789339087761938618115209465032,0.696484467232599824271233046602,534,716,4798
8,8_0,FAILED,SOBOL,,,,1384,0.032112069679424162793601738031,0.405968359747901574863249152259,2277,3818,4352
9,9_0,FAILED,SOBOL,,,,4026,0.530933981439098756638372833550,0.661812344811856800852467586083,4384,476,803
10,10_0,FAILED,SOBOL,,,,2898,0.389383379770442850098532971970,0.031474101396277542885826505881,232,1267,2215
11,11_0,FAILED,SOBOL,,,,560,0.888690692683681837671372250043,0.787294629111885968519857215142,3108,3047,2628
12,12_0,FAILED,SOBOL,,,,1046,0.322074305485934020421012746738,0.606092523284256445847972827323,3341,3712,4432
13,13_0,FAILED,SOBOL,,,,3701,0.820772703174501683243136085366,0.333679227078333473510696194353,1250,1977,412
14,14_0,FAILED,SOBOL,,,,4512,0.211622819613665330562568556161,0.979610975116491311531774499599,4149,1204,1510
15,15_0,FAILED,SOBOL,,,,2187,0.710810425523668576452962497569,0.209174162076786157582475311756,1262,4504,3645
16,16_0,FAILED,SOBOL,,,,2020,0.233569862289354196471791169643,0.629936061095446309110457150382,2586,1568,581
17,17_0,FAILED,SOBOL,,,,4680,0.732877383401617454872223333950,0.434525467699393652676320698447,325,2724,4579
18,18_0,FAILED,SOBOL,,,,3553,0.375054661912843589899324570069,0.754930334318429263618099867017,4907,4139,3480
19,19_0,FAILED,SOBOL,,,,1193,0.873876781871542385182749512751,0.059543198270723227127909638057,2184,172,1367
20,20_0,FAILED,SOBOL,,,,395,0.430059272389858970875309296389,0.365556217184290266342117092790,1795,884,657
21,21_0,FAILED,SOBOL,,,,3062,0.929246670100837945938110351562,0.577536121722310835657765437645,4046,4807,4189
22,22_0,FAILED,SOBOL,,,,3881,0.041267343860119584664225556025,0.241537750480696561394822197144,717,3411,2778
23,23_0,FAILED,SOBOL,,,,1529,0.539965533349663018292119431862,0.951541171852499201300190634356,3444,2300,2382
24,24_0,FAILED,SOBOL,,,,1837,0.279788106808438907791014571558,0.150422445047646763383042411988,4367,2860,1613
25,25_0,FAILED,SOBOL,,,,4199,0.779089738862589031853644883086,0.906241993112489541140064375213,1474,1431,3230
26,26_0,FAILED,SOBOL,,,,2746,0.140739830622449518804373269631,0.275416904162615550077930492989,3143,348,4943
27,27_0,FAILED,SOBOL,,,,88,0.639552254455164059798732978379,0.531259969061240511223331850488,1018,3963,211
28,28_0,COMPLETED,SOBOL,0.059999999999999997779553950750,1861.000000000000000000000000000000,0.000000000000000000000000000000,886,0.071725230827927588528325486550,0.852866477726027416572662787075,1,4670,2160
29,29_0,FAILED,SOBOL,,,,3237,0.570903289325535245879450485518,0.082428740803152322769165039062,2910,1020,2994
30,30_0,FAILED,SOBOL,,,,4997,0.462953682795166965302513517599,0.728848286142572798773642261949,2489,2124,3771
31,31_0,FAILED,SOBOL,,,,2328,0.961646340139210242803358141828,0.456434006568044448037824167841,4603,3586,1072
32,32_0,FAILED,SOBOL,,,,2214,0.097676836738362915468769642757,0.008213746711611747894354884636,3525,626,289
33,33_0,FAILED,SOBOL,,,,4877,0.596864375727251150749452790478,0.810798398198559922001038557937,636,4906,4866
34,34_0,FAILED,SOBOL,,,,3201,0.486714321145787831568441106356,0.382706339471042156219482421875,3968,3197,3152
35,35_0,FAILED,SOBOL,,,,844,0.985412651913240567047580498183,0.685318255374208096242227838957,1873,2354,1691
36,36_0,FAILED,SOBOL,,,,41,0.302817760244011857651003083447,0.987522897737100668891230270674,2109,1826,994
37,37_0,FAILED,SOBOL,,,,2715,0.802125140078365772566826308321,0.201505653858184807791786852249,4982,2625,3849
38,38_0,FAILED,SOBOL,,,,4074,0.161574709430336943549733064174,0.614002780312672302720500283613,403,4353,3072
39,39_0,FAILED,SOBOL,,,,1729,0.660396688111126395348549067421,0.326012860335409659917615954328,2508,117,2082
40,40_0,FAILED,SOBOL,,,,1411,0.394376304669305677297330703368,0.526696546666324150187676877977,4681,4417,1288
41,41_0,FAILED,SOBOL,,,,3766,0.893554266503080674155512497236,0.284518953749909986328248123755,2410,1115,3558
42,42_0,FAILED,SOBOL,,,,3022,0.003876906199380755237149376313,0.901188879176974322326998390054,2829,1905,4657
43,43_0,FAILED,SOBOL,,,,357,0.502569466879591364438795153546,0.159038610162213434051636795630,83,3647,503
44,44_0,FAILED,SOBOL,,,,1161,0.193012012939900168273510416839,0.476837218159809728135201112309,941,3113,2460
45,45_0,FAILED,SOBOL,,,,3508,0.692313741657882952829083933466,0.704394718684256071483673622424,3220,1337,2700
46,46_0,FAILED,SOBOL,,,,4569,0.332793149691075096363590546389,0.103316870229318735763257564031,1549,566,4111
47,47_0,FAILED,SOBOL,,,,1896,0.831605670187622325606469075865,0.828901635169982942130673109205,4292,3904,736
48,48_0,FAILED,SOBOL,,,,2061,0.346815780593082323424169999271,0.252154647802934062106317014695,615,2209,2551
49,49_0,FAILED,SOBOL,,,,4404,0.845508371016010618070879445440,0.554765639822930145541590718494,2726,3325,2293
50,50_0,FAILED,SOBOL,,,,3653,0.238559069348499186435930141670,0.127162330163642756097885921918,1878,4741,881
51,51_0,FAILED,SOBOL,,,,1015,0.737737060924991916444071193837,0.929745998281985563949092465919,4784,813,4273
52,52_0,FAILED,SOBOL,,,,524,0.051982291769236327327874391813,0.736758303370326772530063408340,3769,242,3723
53,53_0,FAILED,SOBOL,,,,2855,0.550794782523065795665218047361,0.448767403742298509605745948647,1642,4206,1432
54,54_0,FAILED,SOBOL,,,,3913,0.411444569420069461429534385388,0.860778636429458843259965306061,3743,2808,334
55,55_0,FAILED,SOBOL,,,,1263,0.910746268395334457323997412459,0.074760472385212786705643850382,848,1659,4510
56,56_0,FAILED,SOBOL,,,,1581,0.143775952378287913413501541982,0.778434337629005268510695714212,1341,3501,4018
57,57_0,FAILED,SOBOL,,,,4221,0.642474193917587421687187543284,0.036283085245639085103519505537,4070,2034,1141
58,58_0,FAILED,SOBOL,,,,2548,0.253494577685371036412931289306,0.653441729998216036534586237394,1168,950,1917
59,59_0,FAILED,SOBOL,,,,208,0.752682027446106127754887893389,0.411263213198632016087685769890,3423,4604,2929
60,60_0,FAILED,SOBOL,,,,699,0.442386013492941876368291787003,0.233869483921676862836491750386,3031,4030,4720
61,61_0,FAILED,SOBOL,,,,3346,0.941208081401884499861409949517,0.959453328697010832115665834863,310,418,126
62,62_0,FAILED,SOBOL,,,,4712,0.084385649904608728277821683150,0.357889616217464234804168654591,4459,1523,1841
63,63_0,FAILED,SOBOL,,,,2379,0.583693118967115842643522682920,0.585446137091144902520056803041,2201,2945,3319
64,64_0,FAILED,SOBOL,,,,2397,0.165067056592553856875227324963,0.336501111108809702887612047562,4123,4854,4386
65,65_0,FAILED,SOBOL,,,,4734,0.663757780659943841250481000316,0.595261341763660301040772537817,1406,690,457
66,66_0,FAILED,SOBOL,,,,3285,0.306277985271066421901764442737,0.212480763178318737827154905062,3368,2420,1545
67,67_0,FAILED,SOBOL,,,,642,0.805457917559891933834137489612,0.969268258249387115732531583490,1106,3144,3609
68,68_0,FAILED,SOBOL,,,,195,0.498824289886280913819405213872,0.667032713202759586224033228063,245,2599,4309
69,69_0,FAILED,SOBOL,,,,2521,0.997638646995648747939355871495,0.393652390155941223071067724959,2978,1840,845
70,70_0,FAILED,SOBOL,,,,4287,0.109818927614018319038891036143,0.792025045713409814318595181248,2264,130,2247
71,71_0,FAILED,SOBOL,,,,1632,0.609118685876950616275848915393,0.018672046568244695524674270359,4515,4327,2595
72,72_0,FAILED,SOBOL,,,,1324,0.337219473958015436565460731799,0.816014518957585144320887593494,2674,1139,3433
73,73_0,FAILED,SOBOL,,,,3969,0.835919656209647699007803112181,0.123544548666104675449517458219,550,4405,1728
74,74_0,FAILED,SOBOL,,,,2838,0.197470459342002857550113503748,0.691994401533156611172614702809,4839,3632,3
75,75_0,FAILED,SOBOL,,,,502,0.696656042747199499842736258870,0.497551755143329499375681734818,1940,1931,4843
76,76_0,FAILED,SOBOL,,,,949,0.015035766029730439352629645100,0.179722184976562865399429824720,1707,1390,2884
77,77_0,FAILED,SOBOL,,,,3602,0.513855893226340398882712179329,0.888759562876075492887650852936,3822,3048,1963
78,78_0,FAILED,SOBOL,,,,4416,0.405503042364493027083227616458,0.304714777735993258556135288018,786,3839,1177
79,79_0,FAILED,SOBOL,,,,2088,0.904812377782538534987111233932,0.513779420051723723084080575063,3688,619,3984
80,80_0,FAILED,SOBOL,,,,1923,0.415903224021196338267003511646,0.093502922186627979161954726806,2345,3309,2125
81,81_0,FAILED,SOBOL,,,,4581,0.915088837169110824731887987582,0.850289493374526528235435307579,4629,2232,3029
82,82_0,FAILED,SOBOL,,,,3457,0.056408348351716992852278309556,0.467023054482415322929966805532,145,836,3816
83,83_0,FAILED,SOBOL,,,,1095,0.555108560346066925994534813071,0.725782301768660542684585834650,2884,4725,1027
84,84_0,FAILED,SOBOL,,,,335,0.249685598844662320905385399783,0.918800958849489646240726870019,3273,4143,1580
85,85_0,FAILED,SOBOL,,,,3005,0.748994904519990067903734143329,0.145446980053558938550395396305,1005,298,3263
86,86_0,FAILED,SOBOL,,,,3821,0.357974908107891676145584369806,0.544308351218700359197555371793,4237,1713,4986
87,87_0,FAILED,SOBOL,,,,1472,0.856795005561783895586813741829,0.270927108006551842223075254878,1487,2747,168
88,88_0,FAILED,SOBOL,,,,1780,0.087845726218074557389847711875,0.565219469906762195243743462925,701,2096,703
89,89_0,FAILED,SOBOL,,,,4139,0.587025569278746828238979560410,0.370775840148329760559420265054,3578,3446,4144
90,90_0,FAILED,SOBOL,,,,2688,0.445878687825053909854489120335,0.938739802965894321040707382053,1811,4549,2743
91,91_0,FAILED,SOBOL,,,,28,0.944569322664290611513138173905,0.246268908791244023337441149124,3913,1012,2417
92,92_0,FAILED,SOBOL,,,,787,0.265636817274615188999575821072,0.423693540751934050181404245450,4930,435,624
93,93_0,FAILED,SOBOL,,,,3140,0.764936664765700657930835859588,0.632757262902334360887834918685,2044,4006,4536
94,94_0,FAILED,SOBOL,,,,4899,0.155885593948885792237035730068,0.049201223112642765433744074244,2563,2923,3447
95,95_0,FAILED,SOBOL,,,,2232,0.654700040286406825806864162587,0.758237621361389724228274644702,465,1538,1400
96,96_0,FAILED,SOBOL,,,,2272,0.285725514497607968600334515941,0.715256418092176327050424333720,1409,4242,2495
