trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
0,0_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,3924,1645,0.862595256567001311687192810496,7,0.1
1,1_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,235,3690,0.009749006316065789157221388450,29,0.25
2,2_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.910000000000000031086244689504,2057,202,0.318988348877057459329620314747,40,0.05
3,3_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3393,4425,0.557218245705589643179678205342,24,0.005
4,4_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.839999999999999968913755310496,2682,838,0.237082451229915031065687003320,47,0.001
5,5_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1517,3794,0.888668073346838394144242556649,19,0.01
6,6_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,799,2276,0.687570382326841311737553041894,1,0.005
7,7_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4610,3054,0.434230247989296935795522358603,36,0.025
8,8_0,COMPLETED,SOBOL,0.560000000000000053290705182008,2.000000000000000000000000000000,0.849999999999999977795539507497,4850,339,0.562898047998547590431428488955,35,0.001
9,9_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1186,4874,0.309440355569124248003021193654,7,0.01
10,10_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1758,1548,0.112859291424974805817527112595,14,0.1
11,11_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3069,3280,0.763352746075019239491155076394,49,0.05
12,12_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3633,2179,0.444174414297565822717928085694,20,0.025
13,13_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2444,2644,0.681554844236001322599349805387,42,0.1
14,14_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.239999999999999991118215802999,476,975,0.988245843753218666805082648352,28,0.001
15,15_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4311,4243,0.133575517237186441876772846626,12,0.25
16,16_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,4122,1106,0.923943653203546988450511889823,10,0.01
17,17_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,467,4069,0.201816394619643679764209309724,26,0.05
18,18_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2240,2012,0.375933812035247671978765993117,43,0.01
19,19_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3561,2777,0.745857309905812115857770550065,21,0.25
20,20_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2865,1373,0.052463122768327596912030230669,50,0.01
21,21_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1686,3411,0.819905895350500957263761847571,16,0.025
22,22_0,COMPLETED,SOBOL,0.560000000000000053290705182008,1.000000000000000000000000000000,0.940000000000000057731597280508,997,472,0.506345114357769521262753187330,5,0.25
23,23_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4842,4707,0.369836739860475050001298313873,33,0.005
24,24_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4448,2461,0.631081930898129916940320072172,37,0.01
25,25_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,769,2913,0.494698728628456596556617341776,3,0.1
26,26_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.650000000000000022204460492503,1292,696,0.176613710341975094220146047519,17,0.025
27,27_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2637,3970,0.945156264526769485101453938114,45,0.001
28,28_0,COMPLETED,SOBOL,0.560000000000000053290705182008,5.000000000000000000000000000000,0.979999999999999982236431605997,3167,63,0.250797000555321558667998260717,23,0.1
29,29_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2012,4609,0.621577579451724870907014519616,38,0.001
30,30_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,73,1823,0.798235722057521357442055887077,30,0.025
31,31_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3894,3547,0.077940153874456880034315986450,9,0.05
32,32_0,COMPLETED,SOBOL,0.570000000000000062172489379009,2.000000000000000000000000000000,0.880000000000000004440892098501,3783,292,0.839862765412777712015213182895,18,0.001
33,33_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,104,4497,0.032458629038184881598905207056,46,0.025
34,34_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1877,1573,0.358654592411592587630764228379,35,0.005
35,35_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3222,3601,0.517574699582531994046519230324,1,0.1
36,36_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2502,2192,0.213977610992267724965287811756,29,0.005
37,37_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1347,2987,0.911734400482848261759727392928,8,0.25
38,38_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.330000000000000015543122344752,658,906,0.726877720486372669306263105682,25,0.1
39,39_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4478,3878,0.394960657056421027277792745735,40,0.25
40,40_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4709,1476,0.601558482047170439699357302743,43,0.005
41,41_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1054,3190,0.270742122244089833404956380036,21,0.25
42,42_0,COMPLETED,SOBOL,0.560000000000000053290705182008,2.000000000000000000000000000000,0.859999999999999986677323704498,1577,429,0.089183807404711837318878053793,13,0.01
43,43_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2898,4946,0.787066691147163544073350749386,29,0.1
44,44_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,3453,1043,0.482477905990555899773397641184,6,0.001
45,45_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2273,4327,0.643228722052648693718879258086,34,0.005
46,46_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,334,2095,0.964196166601032023102391121938,48,0.25
47,47_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4179,2576,0.157648129742592568725001456187,14,0.001
48,48_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,4263,1920,0.899840409416705400147407090117,15,0.1
49,49_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,599,2708,0.225835440490394834256449030363,49,0.01
50,50_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,2421,1175,0.414290334993973385913079710008,32,0.25
51,51_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3732,4160,0.707584218988195012833841701649,4,0.001
52,52_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.839999999999999968913755310496,3046,558,0.028718903327360750105112785491,27,0.025
53,53_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1857,4772,0.843551105001941303740409239253,11,0.001
54,54_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1138,1308,0.545073867429047842492195741215,22,0.05
55,55_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4974,3324,0.331206825558096162875898471611,44,0.01
56,56_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.770000000000000017763568394003,4589,765,0.670321009520441268847434912459,39,0.05
