trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
0,0_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4333,4472,0.852272986888885530909476528905,35,0.01
1,1_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,951,760,0.115510556355118754190414165350,8,0.05
2,2_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2461,2640,0.329358847301453372402590957790,15,0.025
3,3_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2823,1352,0.574941975822672257656620331545,44,0.005
4,4_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3594,3567,0.132800120867788778999951659898,19,0.001
5,5_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1670,2277,0.900773387352004628603197033954,49,0.005
6,6_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,472,4167,0.685789757383987286232240876416,31,0.01
7,7_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4793,457,0.409043398920446610311785207159,3,0.25
8,8_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4496,2966,0.514247841831296681469609666237,5,0.001
9,9_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,221,1677,0.268603560423478493479620965445,26,0.25
10,10_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1369,4768,0.054622144790366290723060416212,47,0.01
11,11_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3349,1057,0.791445738434791601356721457705,24,0.1
12,12_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2577,3861,0.469630786297842883758590915022,39,0.25
13,13_0,COMPLETED,SOBOL,0.900000000000000022204460492503,1.000000000000000000000000000000,0.839999999999999968913755310496,2161,150,0.746438297647982862415005911316,17,0.025
14,14_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,699,3250,0.961281181357800940112667831272,13,0.001
15,15_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4038,1962,0.193246769422665248816528560383,33,0.005
16,16_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3762,3353,0.933686110906302935141809484776,33,0.25
17,17_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,897,2064,0.157855775738134973540383043655,10,0.005
18,18_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1889,3914,0.380513618020340782521770961466,19,0.05
19,19_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.760000000000000008881784197001,2770,204,0.649525206137448574139625634416,40,0.025
20,20_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3229,4880,0.081605199338868256164758463456,24,0.025
21,21_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1411,1169,0.826226619750261348507081038406,44,0.25
22,22_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,106,3010,0.604458798553794585117771021032,28,0.05
23,23_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4534,1721,0.366612343912944171897549949790,6,0.01
24,24_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4912,4231,0.713504690987989298456284359418,1,0.025
25,25_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,431,520,0.444554255757480865085540244763,29,0.25
26,26_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1784,3659,0.221793737895786768898886975876,49,0.1
27,27_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3558,2371,0.997562927613034888807419520163,22,0.05
28,28_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3099,2714,0.302495655905455351764032911888,42,0.05
29,29_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2263,1424,0.540280957659706517759445887350,14,0.1
30,30_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1222,4554,0.761938496576622159572877990286,8,0.25
31,31_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4141,844,0.017378221616148950556812735613,38,0.025
32,32_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4186,2561,0.831004040069878047169993351417,48,0.001
33,33_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1157,1271,0.078655208775773644003237450306,21,0.05
34,34_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2313,4392,0.354029415769502531219359298120,3,0.005
35,35_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3030,681,0.615214133355766579214218836569,31,0.25
36,36_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3508,4091,0.186084711836650956717775784455,7,0.025
37,37_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.000000000000000000000000000000,1854,379,0.907284589692950227401979645947,36,0.01
38,38_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,385,3490,0.629084467601031094297070467292,43,0.05
39,39_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4977,2201,0.399126748343929638185301200792,16,0.1
40,40_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4642,4692,0.550975528089329591452383283467,17,0.005
41,41_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,17,980,0.289730137217789895931474575264,39,0.01
42,42_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1514,2889,0.014489054910838603668077340103,35,0.1
43,43_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3145,1601,0.766898566925898195201227736106,12,0.025
44,44_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2666,3172,0.462984795536845905594702799135,27,0.001
45,45_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1974,1882,0.693003188079223009232521235390,4,0.25
46,46_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,788,3781,0.971344056429341407010724651627,25,0.005
47,47_0,COMPLETED,SOBOL,0.920000000000000039968028886506,9.000000000000000000000000000000,0.930000000000000048849813083507,3851,71,0.250083497852087000001830574547,46,0.05
48,48_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3965,3992,0.880279543193057123495748328423,45,0.005
49,49_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.000000000000000000000000000000,752,280,0.151223061382770529448293927999,23,0.1
50,50_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2093,3430,0.437340817626565681042194455586,6,0.025
51,51_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2625,2141,0.659563286935910597641452568496,28,0.001
52,52_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3415,3090,0.102752666674554349324210988925,11,0.01
53,53_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1322,1800,0.862960005456581691341000350803,32,0.05
54,54_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,293,4959,0.579909675179049344251325237565,41,0.005
55,55_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4445,1249,0.326462111074477423500184158911,18,0.005
56,56_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4706,3739,0.720029236655682303158698687184,14,0.01
57,57_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,579,2450,0.497867440631613145107792206545,42,0.001
58,58_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1578,4310,0.211852359967306252963581414406,37,0.25
59,59_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3706,599,0.940848161056637710686345599242,10,0.1
60,60_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2914,4632,0.265646059824153790707157440920,29,0.05
61,61_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2350,920,0.519032950643450008421098118561,2,0.025
62,62_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1037,2790,0.802193563200533366064348683722,21,0.01
63,63_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4228,1501,0.042046905139461160372249537431,50,0.25
64,64_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4282,3446,0.779470694744959446964571725402,24,0.05
65,65_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1061,2235,0.003730994932353496554983118827,47,0.01
66,66_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2404,4135,0.288856177199631913854460663060,26,0.1
67,67_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.000000000000000000000000000000,2938,345,0.557836102334782535372426082176,5,0.001
68,68_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3729,4416,0.235427476257085793731604894674,34,0.25
69,69_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1633,628,0.980017270864918854655911673035,12,0.1
70,70_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,601,2537,0.695966752475127625743311909901,16,0.005
71,71_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4761,1326,0.458210970368236325533928265941,39,0.05
72,72_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4392,3815,0.618100128743797494479395027156,44,0.1
73,73_0,COMPLETED,SOBOL,0.910000000000000031086244689504,14.000000000000000000000000000000,0.640000000000000013322676295502,267,27,0.349059050722047681247772743518,15,0.005
74,74_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1269,3137,0.064074852654710412469540870006,8,0.25
75,75_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3390,1926,0.839875697918236241434897237923,35,0.01
76,76_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2599,2835,0.398053393146023171134118001646,3,0.001
77,77_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2041,1625,0.635870328139513718568309741386,30,0.01
78,78_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,726,4745,0.920054209157824542941739309754,48,0.025
79,79_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3914,955,0.175403269099071612568963018930,20,0.001
80,80_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3876,4983,0.947647346332669227031431091746,22,0.01
81,81_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,841,1195,0.210792329506948594719517586782,49,0.005
82,82_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1999,3065,0.487168866088613872200596688344,30,0.005
83,83_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2719,1854,0.732781724315136662184499982686,1,0.025
84,84_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3197,3386,0.037089864829555153902251873888,37,0.05
85,85_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1541,2175,0.805092883326113173403371092718,9,0.001
86,86_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,69,4036,0.527887476686388246172043636761,14,0.001
87,87_0,COMPLETED,SOBOL,0.910000000000000031086244689504,2.000000000000000000000000000000,0.920000000000000039968028886506,4668,246,0.251048571897670602659502492315,41,0.005
88,88_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4953,2737,0.668249826109036826338183345797,40,0.025
89,89_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,331,1526,0.422698120769113283579088147235,19,0.1
90,90_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1831,4685,0.146432104408740992873561026499,10,0.001
91,91_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3453,896,0.883225975783541783492580634629,33,0.005
92,92_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2974,4344,0.315717375833541147311933627861,5,0.01
93,93_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2290,556,0.592495127735659488088515445270,28,0.05
94,94_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1102,3705,0.869803447896614678747084781207,45,0.1
95,95_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4163,2494,0.101861574850976466244389939675,23,0.025
96,96_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4076,4211,0.784660829663276659928783374198,12,0.25
97,97_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1209,422,0.055694548221305012480897289606,34,0.001
98,98_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2198,3523,0.279285954928025603738461768444,38,0.005
99,99_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3086,2311,0.501477270599454683086548811843,18,0.025
100,100_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3544,2615,0.198218086237087837142567536830,46,0.1
101,101_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1720,1405,0.958394234202802230981887987582,25,0.25
102,102_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,417,4496,0.737567591566592462015705677914,4,0.1
103,103_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4848,706,0.484210190651938321426683842219,27,0.001
104,104_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4595,3216,0.566267809620127127168132119550,32,0.025
105,105_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,122,2006,0.344015820663422344782844675137,2,0.05
106,106_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1473,3895,0.120283429756760595896736276700,20,0.01
107,107_0,COMPLETED,SOBOL,0.910000000000000031086244689504,66.000000000000000000000000000000,0.719999999999999973354647408996,3245,106,0.849310391919687379669312576880,48,0.001
108,108_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2785,4822,0.419800507131963984708278303515,16,0.025
109,109_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1952,1033,0.673218581331893828334500540223,43,0.001
110,110_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,913,2913,0.893911861339584001839853044658,36,0.25
111,111_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3824,1701,0.133675032652914527186993609575,7,0.025
112,112_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.000000000000000000000000000000,4022,2985,0.984978426823392538835832965560,9,0.005
113,113_0,COMPLETED,SOBOL,0.910000000000000031086244689504,1.000000000000000000000000000000,0.000000000000000000000000000000,637,1775,0.232537521369755278977109469452,37,0.025
114,114_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2144,4905,0.445446299348026486519813715859,43,0.1
115,115_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2515,1116,0.706660296780988628206898738426,13,0.01
116,116_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3286,3959,0.032021870240569114129947081437,50,0.05
117,117_0,COMPLETED,SOBOL,0.910000000000000031086244689504,3.000000000000000000000000000000,0.959999999999999964472863211995,1354,170,0.753251005636528137010543559882,21,0.025
118,118_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,158,3310,0.537335476836189651628217234247,2,0.005
119,119_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4481,2098,0.307285661112517094473162160284,29,0.25
