trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
0,0_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2439,2046,0.504192414522171006296957784798,0.433682751476764660747420521147
1,1_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4807,4958,0.223168297596275794214548682248,0.592480685787275418441311103379
2,2_0,COMPLETED,SOBOL,0.560000000000000053290705182008,1.000000000000000000000000000000,0.839999999999999968913755310496,3337,445,0.781975118018686798926353276329,0.201981536412611600850297577381
3,3_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,627,2572,0.444370218973606845302981582790,0.791530112018808740259601108846
4,4_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,298,664,0.081291790097951885374349956237,0.954349443012848519529711666110
5,5_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2617,3528,0.677240987408906258693264135218,0.054816719790920613586404641637
6,6_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4243,1866,0.366955334145575740034672662659,0.663660022852942343973836614168
7,7_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1641,3964,0.890592939317226384154935203696,0.315782918559387337786859006883
8,8_0,COMPLETED,SOBOL,0.570000000000000062172489379009,2.000000000000000000000000000000,0.920000000000000039968028886506,1353,291,0.291289362946525243192041898510,0.103973217653110627800572274282
9,9_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4054,3041,0.950649904360994724150657475548,0.886616342602297713426651171176
10,10_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2877,2201,0.013445580920204518865501697178,0.278170640191063300861173956946
11,11_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,499,4488,0.729508706459775613240026359563,0.743117702597752227688943094108
12,12_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1068,1399,0.874208424327895028405066568666,0.500473021676763885068339732243
13,13_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3680,4120,0.398933303566649577476255217334,0.474095132911577843426442768759
14,14_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4389,1131,0.588606109382584730127518923837,0.864259974138811282173833205889
15,15_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2078,3370,0.185520717410370711286660139194,0.141984397916123272764821194869
