trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,max_window_size,min_window_size,min_p_value
0,0_0,COMPLETED,SOBOL,0.600000000000000088817841970013,180.000000000000000000000000000000,0.989999999999999991118215802999,3779,4293,3673,0.710461354887485518894152392022
1,1_0,COMPLETED,SOBOL,0.619999999999999995559107901499,122.000000000000000000000000000000,0.989999999999999991118215802999,748,1064,690,0.188893304981663817665449300875
2,2_0,COMPLETED,SOBOL,0.359999999999999986677323704498,14.000000000000000000000000000000,0.020000000000000000416333634234,1952,2563,4259,0.955657923193555358665207677404
3,3_0,COMPLETED,SOBOL,0.560000000000000053290705182008,63.000000000000000000000000000000,0.989999999999999991118215802999,2595,2160,1354,0.447049383802991362468759461990
4,4_0,COMPLETED,SOBOL,0.530000000000000026645352591004,40.000000000000000000000000000000,0.979999999999999982236431605997,3721,3598,7,0.265496077423635845615734751846
5,5_0,COMPLETED,SOBOL,0.390000000000000013322676295502,12.000000000000000000000000000000,0.020000000000000000416333634234,1744,1672,3108,0.758721623879019202441043034923
6,6_0,COMPLETED,SOBOL,0.450000000000000011102230246252,31.000000000000000000000000000000,0.230000000000000009992007221626,565,4392,1999,0.027135704378597438196640823094
7,7_0,COMPLETED,SOBOL,0.289999999999999980015985556747,10.000000000000000000000000000000,0.000000000000000000000000000000,4920,263,4865,0.501533564905636053410376007378
8,8_0,COMPLETED,SOBOL,0.600000000000000088817841970013,273.000000000000000000000000000000,0.989999999999999991118215802999,4507,2894,2407,0.833723950508236888445878776110
9,9_0,COMPLETED,SOBOL,0.320000000000000006661338147751,7.000000000000000000000000000000,0.000000000000000000000000000000,31,2376,4463,0.327062577179074276401138376968
10,10_0,COMPLETED,SOBOL,0.479999999999999982236431605997,37.000000000000000000000000000000,0.380000000000000004440892098501,1332,4002,571,0.590475182726886149708889206522
11,11_0,COMPLETED,SOBOL,0.309999999999999997779553950750,9.000000000000000000000000000000,0.010000000000000000208166817117,3186,653,2549,0.066959963038470599050455689394
12,12_0,COMPLETED,SOBOL,0.579999999999999960031971113494,85.000000000000000000000000000000,0.969999999999999973354647408996,3002,4840,3895,0.154915778363216655177936331711
