trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,batch_size,theta,lambida
0,0_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,748,2632,0.813366259080171571937967200938,0.407019208073616023391139151499
1,1_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.119999999999999995559107901499,3180,1006,0.114564440697617828113230586951,0.781934870544821025717396878463
2,2_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,4185,4358,0.677733225155994323252173217043,0.146041145678609624036781156065
3,3_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,1618,2088,0.376934006226807838402237393893,0.520522753151133610316492195125
4,4_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,2481,4685,0.178897707530669858311256348316,0.635988016355782725952394685009
5,5_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,4892,1760,0.877730015503801364040725729865,0.011083256268873811767328163569
6,6_0,COMPLETED,SOBOL,0.729999999999999982236431605997,2.000000000000000000000000000000,0.000000000000000000000000000000,2793,3561,0.312564532190933830335666243627,0.936438307749107523569875866087
7,7_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,205,69,0.613394197916984573737408936722,0.310992763709276920369717345238
8,8_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,572,4013,0.310076733610499644111513362077,0.082300348926335573085388830350
9,9_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,3004,2358,0.508453493509534726335630239191,0.705354994857683825770777730213
10,10_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,4634,2909,0.197997380068805073349835765839,0.351014387177303432974184715931
11,11_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.089999999999999996669330926125,2067,649,0.997270664173644072469926413760,0.974624803673475925691604970780
12,12_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,1368,3206,0.697810261456389024914415131207,0.866895480075851043721968380851
