trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
0,0_0,COMPLETED,SOBOL,0.579999999999999960031971113494,121.000000000000000000000000000000,0.000000000000000000000000000000,3314,200,4.033193090081215181896823196439,0.005579824153333903455354025880,False,False
1,1_0,FAILED,SOBOL,,,,1580,3690,6.589965258083307020342545001768,0.048814226780552416595782005970,True,True
2,2_0,FAILED,SOBOL,,,,182,1744,2.103915773686021672972401574953,0.022330714591313156197616152099,True,True
3,3_0,COMPLETED,SOBOL,0.579999999999999960031971113494,33.000000000000000000000000000000,0.000000000000000000000000000000,4688,4679,9.779501071441918824689309985843,0.029018681496381763113001639454,False,False
4,4_0,COMPLETED,SOBOL,0.579999999999999960031971113494,37.000000000000000000000000000000,0.000000000000000000000000000000,4281,1930,5.838483817955479437955546018202,0.032564461838919672720393805321,False,False
5,5_0,FAILED,SOBOL,,,,673,4142,3.554356419412419310077666523284,0.014095119681209326498172451636,True,True
6,6_0,FAILED,SOBOL,,,,2419,971,7.797970450268127962090147775598,0.040615690745413303430755291856,True,True
7,7_0,COMPLETED,SOBOL,0.660000000000000031086244689504,187.000000000000000000000000000000,0.359999999999999986677323704498,2550,2646,0.316302583628334132992421245945,0.009186735928524286665108888883,False,False
8,8_0,FAILED,SOBOL,,,,2992,1358,8.252233261049724433178198523819,0.017400941005442292081051292030,True,False
9,9_0,FAILED,SOBOL,,,,1883,4761,1.125989300140179727449663005245,0.035488438246771697448522786544,False,True
10,10_0,FAILED,SOBOL,,,,1129,433,5.065759013479576466920661914628,0.012448748992756010142701761367,False,True
11,11_0,FAILED,SOBOL,,,,3761,3142,3.053443334473297188225160425645,0.043486795725766573539328163633,True,False
12,12_0,COMPLETED,SOBOL,0.650000000000000022204460492503,783.000000000000000000000000000000,0.140000000000000013322676295502,4604,891,1.291293225985020276525006011070,0.045547729155048732874178085694,True,False
13,13_0,FAILED,SOBOL,,,,370,3035,9.317265148673206098806076624896,0.002701119510922581241907369787,False,True
14,14_0,FAILED,SOBOL,,,,1471,2481,4.527506077035330811497715330916,0.025705354923848063725122514711,False,True
15,15_0,FAILED,SOBOL,,,,3478,3911,7.360822239792906174216113868169,0.019402159208431839915176553291,True,False
16,16_0,FAILED,SOBOL,,,,3641,2200,0.755840570972301062369069768465,0.037937407839111987606361964254,False,True
17,17_0,FAILED,SOBOL,,,,1312,3873,8.627865367167629528921679593623,0.007079468717332927651941787417,True,False
18,18_0,FAILED,SOBOL,,,,519,703,2.567941053828224351462949925917,0.033611367957200856404487154805,True,False
19,19_0,FAILED,SOBOL,,,,4450,2914,5.555504422454164092926021112362,0.014546843132935464992794294403,False,True
20,20_0,FAILED,SOBOL,,,,3924,479,8.793333487387746671970489842352,0.024873040211852642106249433596,False,True
21,21_0,FAILED,SOBOL,,,,970,3412,1.820726739812642325233582596411,0.030971866930834951459061699097,True,False
22,22_0,FAILED,SOBOL,,,,2032,1467,7.029140736429952518449226772645,0.004499682917259634207240992509,True,False
23,23_0,FAILED,SOBOL,,,,2838,4957,4.863488519451581559849273617147,0.048299058759119363470890817780,False,True
24,24_0,FAILED,SOBOL,,,,2714,1248,6.531089282318019328954505908769,0.027703858777415008712852184658,True,True
25,25_0,COMPLETED,SOBOL,0.579999999999999960031971113494,38.000000000000000000000000000000,0.000000000000000000000000000000,2260,2679,4.087825201845728173566385521553,0.021995846097357572845876205747,False,False
26,26_0,COMPLETED,SOBOL,0.579999999999999960031971113494,38.000000000000000000000000000000,0.000000000000000000000000000000,821,2125,9.600387432020157874035248823930,0.044987242714501919638170335247,False,False
