trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,0_0,COMPLETED,SOBOL,0.739999999999999991118215802999,136.000000000000000000000000000000,0.930000000000000048849813083507,1497,4507,667,217,14
1,1_0,ABANDONED,SOBOL,,,,3158,1478,417,39,145
2,2_0,ABANDONED,SOBOL,,,,4307,3631,770,166,235
3,3_0,COMPLETED,SOBOL,0.739999999999999991118215802999,77.000000000000000000000000000000,0.930000000000000048849813083507,340,2798,357,122,68
4,4_0,ABANDONED,SOBOL,,,,4930,668,610,133,212
5,5_0,ABANDONED,SOBOL,,,,2534,4071,206,10,161
6,6_0,COMPLETED,SOBOL,0.680000000000000048849813083507,63.000000000000000000000000000000,0.989999999999999991118215802999,2124,2452,955,238,56
7,7_0,COMPLETED,SOBOL,0.689999999999999946709294817992,81.000000000000000000000000000000,0.959999999999999964472863211995,2339,3200,135,146,128
8,8_0,COMPLETED,SOBOL,0.729999999999999982236431605997,64.000000000000000000000000000000,1.000000000000000000000000000000,3022,290,887,110,31
9,9_0,COMPLETED,SOBOL,0.729999999999999982236431605997,144.000000000000000000000000000000,0.989999999999999991118215802999,4520,4934,305,219,98
10,10_0,ABANDONED,SOBOL,,,,204,1593,553,29,249
11,11_0,ABANDONED,SOBOL,,,,830,3951,828,54,197
12,12_0,COMPLETED,SOBOL,0.739999999999999991118215802999,182.000000000000000000000000000000,1.000000000000000000000000000000,3646,2912,736,65,40
13,13_0,COMPLETED,SOBOL,0.709999999999999964472863211995,32.000000000000000000000000000000,0.000000000000000000000000000000,1713,1095,489,183,178
14,14_0,ABANDONED,SOBOL,,,,1847,3056,907,6,124
15,15_0,ABANDONED,SOBOL,,,,4031,3812,530,111,156
16,16_0,COMPLETED,SOBOL,0.729999999999999982236431605997,112.000000000000000000000000000000,0.959999999999999964472863211995,691,2153,280,137,3
17,17_0,COMPLETED,SOBOL,0.680000000000000048849813083507,115.000000000000000000000000000000,0.059999999999999997779553950750,65,4805,101,162,53
18,18_0,ABANDONED,SOBOL,,,,4654,1737,850,93,165
19,19_0,ABANDONED,SOBOL,,,,2883,3334,462,206,208
20,20_0,ABANDONED,SOBOL,,,,2473,152,715,43,73
21,21_0,ABANDONED,SOBOL,,,,1984,4240,379,77,237
22,22_0,COMPLETED,SOBOL,0.719999999999999973354647408996,72.000000000000000000000000000000,0.979999999999999982236431605997,2668,2268,627,179,109
23,23_0,COMPLETED,SOBOL,0.739999999999999991118215802999,308.000000000000000000000000000000,1.000000000000000000000000000000,4792,2625,61,57,20
24,24_0,COMPLETED,SOBOL,0.709999999999999964472863211995,25.000000000000000000000000000000,0.000000000000000000000000000000,475,846,812,191,140
25,25_0,COMPLETED,SOBOL,0.709999999999999964472863211995,83.000000000000000000000000000000,0.000000000000000000000000000000,1101,3448,568,232,182
26,26_0,ABANDONED,SOBOL,,,,4168,578,321,24,36
27,27_0,COMPLETED,SOBOL,0.719999999999999973354647408996,118.000000000000000000000000000000,0.939999999999999946709294817992,3292,4684,995,150,87
28,28_0,ABANDONED,SOBOL,,,,1358,1305,244,99,194
29,29_0,ABANDONED,SOBOL,,,,1326,3719,287,48,59
30,30_0,COMPLETED,SOBOL,0.709999999999999964472863211995,14.000000000000000000000000000000,0.000000000000000000000000000000,3415,381,540,208,158
31,31_0,COMPLETED,SOBOL,0.719999999999999973354647408996,47.000000000000000000000000000000,0.939999999999999946709294817992,1212,1488,901,158,63
32,32_0,COMPLETED,SOBOL,0.739999999999999991118215802999,113.000000000000000000000000000000,0.729999999999999982236431605997,588,4217,722,141,117
33,33_0,ABANDONED,SOBOL,,,,4748,2402,471,115,230
34,34_0,COMPLETED,SOBOL,0.719999999999999973354647408996,71.000000000000000000000000000000,0.070000000000000006661338147751,2789,2671,841,245,148
35,35_0,ABANDONED,SOBOL,,,,1950,735,95,3,12
36,36_0,ABANDONED,SOBOL,,,,2359,4904,757,101,172
37,37_0,ABANDONED,SOBOL,,,,4534,3209,681,20,81
38,38_0,COMPLETED,SOBOL,0.709999999999999964472863211995,9.000000000000000000000000000000,0.000000000000000000000000000000,100,183,434,229,200
39,39_0,ABANDONED,SOBOL,,,,3908,1242,941,61,101
40,40_0,COMPLETED,SOBOL,0.729999999999999982236431605997,113.000000000000000000000000000000,0.979999999999999982236431605997,3553,4020,375,176,27
41,41_0,ABANDONED,SOBOL,,,,1736,1892,623,72,133
42,42_0,ABANDONED,SOBOL,,,,3692,2066,795,14,205
43,43_0,ABANDONED,SOBOL,,,,3774,3047,392,128,170
44,44_0,COMPLETED,SOBOL,0.739999999999999991118215802999,53.000000000000000000000000000000,0.989999999999999991118215802999,863,1073,645,120,48
45,45_0,COMPLETED,SOBOL,0.739999999999999991118215802999,105.000000000000000000000000000000,0.930000000000000048849813083507,239,3382,977,87,8
46,46_0,COMPLETED,SOBOL,0.689999999999999946709294817992,4.000000000000000000000000000000,0.000000000000000000000000000000,4400,4,231,169,151
47,47_0,ABANDONED,SOBOL,,,,3065,4736,585,36,225
48,48_0,COMPLETED,SOBOL,0.689999999999999946709294817992,52.000000000000000000000000000000,1.000000000000000000000000000000,2225,1863,335,212,121
49,49_0,ABANDONED,SOBOL,,,,2089,2536,513,187,189
50,50_0,ABANDONED,SOBOL,,,,2654,875,266,68,91
51,51_0,COMPLETED,SOBOL,0.729999999999999982236431605997,122.000000000000000000000000000000,1.000000000000000000000000000000,4887,4346,925,200,33
52,52_0,ABANDONED,SOBOL,,,,1078,4539,449,31,137
53,53_0,COMPLETED,SOBOL,0.729999999999999982236431605997,71.000000000000000000000000000000,0.989999999999999991118215802999,4261,1354,697,225,22
54,54_0,COMPLETED,SOBOL,0.719999999999999973354647408996,118.000000000000000000000000000000,0.969999999999999973354647408996,3281,3576,115,105,104
55,55_0,ABANDONED,SOBOL,,,,1465,510,867,143,243
56,56_0,COMPLETED,SOBOL,0.739999999999999991118215802999,41.000000000000000000000000000000,1.000000000000000000000000000000,3213,770,816,185,62
57,57_0,ABANDONED,SOBOL,,,,4252,4163,500,51,66
58,58_0,ABANDONED,SOBOL,,,,1029,2348,747,197,218
59,59_0,ABANDONED,SOBOL,,,,405,4453,883,226,229
60,60_0,ABANDONED,SOBOL,,,,4878,1542,131,30,114
61,61_0,COMPLETED,SOBOL,0.739999999999999991118215802999,125.000000000000000000000000000000,0.969999999999999973354647408996,2587,3686,557,144,8
62,62_0,ABANDONED,SOBOL,,,,2059,347,308,104,147
63,63_0,ABANDONED,SOBOL,,,,2235,4044,598,15,46
64,64_0,COMPLETED,SOBOL,0.709999999999999964472863211995,50.000000000000000000000000000000,0.000000000000000000000000000000,3113,1917,345,241,176
65,65_0,ABANDONED,SOBOL,,,,4428,2820,967,121,203
66,66_0,COMPLETED,SOBOL,0.729999999999999982236431605997,39.000000000000000000000000000000,0.849999999999999977795539507497,308,1198,218,127,81
67,67_0,COMPLETED,SOBOL,0.719999999999999973354647408996,87.000000000000000000000000000000,0.890000000000000013322676295502,932,3253,413,172,100
68,68_0,ABANDONED,SOBOL,,,,3802,226,663,84,243
69,69_0,COMPLETED,SOBOL,0.739999999999999991118215802999,189.000000000000000000000000000000,1.000000000000000000000000000000,1611,1656,774,33,26
70,70_0,ABANDONED,SOBOL,,,,1785,4702,325,156,206
71,71_0,COMPLETED,SOBOL,0.729999999999999982236431605997,87.000000000000000000000000000000,1.000000000000000000000000000000,3562,1829,572,100,79
72,72_0,COMPLETED,SOBOL,0.739999999999999991118215802999,115.000000000000000000000000000000,1.000000000000000000000000000000,3975,3436,241,229,51
73,73_0,ABANDONED,SOBOL,,,,753,58,991,19,171
74,74_0,ABANDONED,SOBOL,,,,130,2993,639,64,150
75,75_0,COMPLETED,SOBOL,0.729999999999999982236431605997,71.000000000000000000000000000000,0.989999999999999991118215802999,4601,1019,391,192,5
76,76_0,ABANDONED,SOBOL,,,,2935,3876,801,75,118
77,77_0,COMPLETED,SOBOL,0.729999999999999982236431605997,116.000000000000000000000000000000,0.959999999999999964472863211995,1881,3551,854,211,93
78,78_0,ABANDONED,SOBOL,,,,4700,4583,711,161,188
79,79_0,COMPLETED,SOBOL,0.729999999999999982236431605997,65.000000000000000000000000000000,0.979999999999999982236431605997,578,1398,458,87,34
80,80_0,COMPLETED,SOBOL,0.739999999999999991118215802999,165.000000000000000000000000000000,0.930000000000000048849813083507,1202,4303,173,117,21
81,81_0,COMPLETED,SOBOL,0.719999999999999973354647408996,67.000000000000000000000000000000,0.979999999999999982236431605997,4074,2214,919,139,134
82,82_0,ABANDONED,SOBOL,,,,3387,2561,268,4,239
83,83_0,COMPLETED,SOBOL,0.729999999999999982236431605997,27.000000000000000000000000000000,0.050000000000000002775557561563,1257,899,519,244,103
