trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,0_0,COMPLETED,SOBOL,0.770000000000000017763568394003,1479.000000000000000000000000000000,0.900000000000000022204460492503,1493,955,808,142,52
1,1_0,ABANDONED,SOBOL,,,,3646,3860,217,16,158
2,2_0,COMPLETED,SOBOL,0.640000000000000013322676295502,1287.000000000000000000000000000000,0.250000000000000000000000000000,3790,2425,512,212,203
3,3_0,ABANDONED,SOBOL,,,,1031,2684,482,71,89
4,4_0,ABANDONED,SOBOL,,,,4864,3487,983,232,247
5,5_0,ABANDONED,SOBOL,,,,2532,230,309,60,146
6,6_0,COMPLETED,SOBOL,0.800000000000000044408920985006,3296.000000000000000000000000000000,1.000000000000000000000000000000,2333,4972,717,162,1
7,7_0,COMPLETED,SOBOL,0.650000000000000022204460492503,1298.000000000000000000000000000000,0.220000000000000001110223024625,1902,2043,352,245,185
8,8_0,COMPLETED,SOBOL,0.790000000000000035527136788005,2326.000000000000000000000000000000,0.969999999999999973354647408996,2962,3083,627,100,41
9,9_0,COMPLETED,SOBOL,0.760000000000000008881784197001,1352.000000000000000000000000000000,0.950000000000000066613381477509,4673,712,86,175,69
10,10_0,ABANDONED,SOBOL,,,,508,4086,924,45,207
11,11_0,ABANDONED,SOBOL,,,,684,615,585,27,227
12,12_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2815.000000000000000000000000000000,0.790000000000000035527136788005,4146,4575,423,133,112
13,13_0,COMPLETED,SOBOL,0.800000000000000044408920985006,2429.000000000000000000000000000000,0.969999999999999973354647408996,3372,1632,851,81,29
14,14_0,ABANDONED,SOBOL,,,,1627,1775,679,51,81
15,15_0,ABANDONED,SOBOL,,,,3233,3431,330,169,196
16,16_0,ABANDONED,SOBOL,,,,4320,433,882,122,166
17,17_0,COMPLETED,SOBOL,0.739999999999999991118215802999,2521.000000000000000000000000000000,0.670000000000000039968028886506,858,4442,95,224,60
18,18_0,COMPLETED,SOBOL,0.780000000000000026645352591004,1135.000000000000000000000000000000,0.810000000000000053290705182008,331,884,383,205,9
19,19_0,ABANDONED,SOBOL,,,,4495,4228,596,79,154
20,20_0,ABANDONED,SOBOL,,,,2037,2901,830,9,100
21,21_0,ABANDONED,SOBOL,,,,2471,51,231,88,215
22,22_0,COMPLETED,SOBOL,0.739999999999999991118215802999,3079.000000000000000000000000000000,0.839999999999999968913755310496,2671,4841,764,194,77
23,23_0,ABANDONED,SOBOL,,,,4690,1532,466,18,32
24,24_0,ABANDONED,SOBOL,,,,134,3656,561,140,178
25,25_0,COMPLETED,SOBOL,0.709999999999999964472863211995,1445.000000000000000000000000000000,0.520000000000000017763568394003,1209,2294,964,183,127
26,26_0,COMPLETED,SOBOL,0.800000000000000044408920985006,4147.000000000000000000000000000000,0.989999999999999991118215802999,3968,2504,61,38,21
27,27_0,COMPLETED,SOBOL,0.690000000000000057731597280508,890.000000000000000000000000000000,0.520000000000000017763568394003,3511,1124,730,238,120
28,28_0,ABANDONED,SOBOL,,,,1357,4000,264,108,235
29,29_0,ABANDONED,SOBOL,,,,1302,2387,75,4,8
30,30_0,COMPLETED,SOBOL,0.680000000000000048849813083507,1923.000000000000000000000000000000,0.550000000000000044408920985006,3524,2802,920,155,144
31,31_0,ABANDONED,SOBOL,,,,4000,1071,371,74,247
32,32_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2396.000000000000000000000000000000,0.520000000000000017763568394003,1134,3820,654,209,104
33,33_0,COMPLETED,SOBOL,0.609999999999999986677323704498,171.000000000000000000000000000000,0.029999999999999998889776975375,20,270,870,221,92
34,34_0,COMPLETED,SOBOL,0.670000000000000039968028886506,660.000000000000000000000000000000,0.410000000000000031086244689504,2801,1273,573,166,163
35,35_0,COMPLETED,SOBOL,0.739999999999999991118215802999,2107.000000000000000000000000000000,0.920000000000000039968028886506,2376,3524,420,54,50
36,36_0,ABANDONED,SOBOL,,,,2181,674,523,103,140
37,37_0,COMPLETED,SOBOL,0.760000000000000008881784197001,2619.000000000000000000000000000000,0.950000000000000066613381477509,2996,4204,486,242,27
38,38_0,ABANDONED,SOBOL,,,,4414,2159,789,33,116
39,39_0,ABANDONED,SOBOL,,,,865,1672,290,137,208
40,40_0,ABANDONED,SOBOL,,,,4278,3142,690,21,65
41,41_0,ABANDONED,SOBOL,,,,1653,4612,986,91,183
42,42_0,COMPLETED,SOBOL,0.750000000000000000000000000000,1366.000000000000000000000000000000,0.820000000000000062172489379009,1827,317,446,159,96
43,43_0,ABANDONED,SOBOL,,,,3346,4482,534,63,239
44,44_0,COMPLETED,SOBOL,0.680000000000000048849813083507,1111.000000000000000000000000000000,0.520000000000000017763568394003,4139,1813,243,229,152
45,45_0,COMPLETED,SOBOL,0.800000000000000044408920985006,2370.000000000000000000000000000000,0.979999999999999982236431605997,726,3312,768,117,15
46,46_0,COMPLETED,SOBOL,0.760000000000000008881784197001,1525.000000000000000000000000000000,0.729999999999999982236431605997,589,2028,742,66,59
47,47_0,COMPLETED,SOBOL,0.650000000000000022204460492503,1872.000000000000000000000000000000,0.380000000000000004440892098501,4549,2863,268,216,171
48,48_0,ABANDONED,SOBOL,,,,2818,844,945,11,188
49,49_0,ABANDONED,SOBOL,,,,2203,1416,901,199,227
50,50_0,COMPLETED,SOBOL,0.790000000000000035527136788005,2201.000000000000000000000000000000,0.969999999999999973354647408996,4978,89,667,129,19
51,51_0,ABANDONED,SOBOL,,,,159,4722,325,29,132
52,52_0,COMPLETED,SOBOL,0.760000000000000008881784197001,2962.000000000000000000000000000000,0.959999999999999964472863211995,3865,3963,826,180,39
53,53_0,COMPLETED,SOBOL,0.760000000000000008881784197001,1861.000000000000000000000000000000,0.930000000000000048849813083507,3701,2254,403,95,73
54,54_0,COMPLETED,SOBOL,0.660000000000000031086244689504,1655.000000000000000000000000000000,0.160000000000000003330669073875,1480,2620,623,250,215
55,55_0,ABANDONED,SOBOL,,,,1437,1295,434,87,142
56,56_0,COMPLETED,SOBOL,0.780000000000000026645352591004,3216.000000000000000000000000000000,1.000000000000000000000000000000,3737,3575,592,197,6
57,57_0,ABANDONED,SOBOL,,,,3905,288,138,32,106
58,58_0,ABANDONED,SOBOL,,,,961,4922,858,127,249
59,59_0,ABANDONED,SOBOL,,,,199,1048,637,177,198
60,60_0,ABANDONED,SOBOL,,,,4940,3768,357,44,94
61,61_0,COMPLETED,SOBOL,0.750000000000000000000000000000,1666.000000000000000000000000000000,0.859999999999999986677323704498,2584,2371,933,247,48
62,62_0,COMPLETED,SOBOL,0.800000000000000044408920985006,3230.000000000000000000000000000000,0.979999999999999982236431605997,1967,509,976,62,25
63,63_0,ABANDONED,SOBOL,,,,4587,1699,710,116,221
64,64_0,COMPLETED,SOBOL,0.700000000000000066613381477509,1692.000000000000000000000000000000,0.320000000000000006661338147751,549,3198,298,230,117
65,65_0,COMPLETED,SOBOL,0.750000000000000000000000000000,1357.000000000000000000000000000000,0.680000000000000048849813083507,764,2148,211,218,66
66,66_0,ABANDONED,SOBOL,,,,4099,2983,799,65,210
67,67_0,ABANDONED,SOBOL,,,,3310,647,477,148,181
68,68_0,ABANDONED,SOBOL,,,,1869,4148,502,10,45
69,69_0,COMPLETED,SOBOL,0.729999999999999982236431605997,3060.000000000000000000000000000000,0.810000000000000053290705182008,3134,4317,955,106,98
70,70_0,COMPLETED,SOBOL,0.780000000000000026645352591004,2906.000000000000000000000000000000,1.000000000000000000000000000000,4235,1968,258,185,13
71,71_0,ABANDONED,SOBOL,,,,900,2852,721,36,150
72,72_0,ABANDONED,SOBOL,,,,412,1868,757,24,169
73,73_0,COMPLETED,SOBOL,0.760000000000000008881784197001,2325.000000000000000000000000000000,0.950000000000000066613381477509,4450,3338,220,134,57
74,74_0,COMPLETED,SOBOL,0.770000000000000017763568394003,976.000000000000000000000000000000,0.920000000000000039968028886506,3036,378,554,94,86
75,75_0,ABANDONED,SOBOL,,,,2143,4495,455,189,190
76,76_0,COMPLETED,SOBOL,0.690000000000000057731597280508,1181.000000000000000000000000000000,0.619999999999999995559107901499,2414,2189,605,156,125
77,77_0,ABANDONED,SOBOL,,,,2761,2604,389,3,229
78,78_0,COMPLETED,SOBOL,0.719999999999999973354647408996,1234.000000000000000000000000000000,0.729999999999999982236431605997,4804,1191,839,211,130
