trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,0_0,ABANDONED,SOBOL,,,,3712,3073,754,126,165
1,1_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,1023,1736,269,211,50
2,2_0,ABANDONED,SOBOL,,,,1840,4038,580,26,76
3,3_0,ABANDONED,SOBOL,,,,4639,4974,388,144,221
4,4_0,ABANDONED,SOBOL,,,,2015,1156,904,59,119
5,5_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,261,3385,218,240,8
6,6_0,ABANDONED,SOBOL,,,,2638,2047,703,93,154
7,7_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2916,4347,166,35,32
8,8_0,ABANDONED,SOBOL,,,,607,528,682,137,183
9,9_0,ABANDONED,SOBOL,,,,2293,2762,496,69,193
10,10_0,COMPLETED,SOBOL,0.550000000000000044408920985006,2.000000000000000000000000000000,0.000000000000000000000000000000,4985,1425,981,233,94
11,11_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3872,3701,540,203,104
12,12_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,745,4660,866,166,141
13,13_0,ABANDONED,SOBOL,,,,3365,843,350,2,21
14,14_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3276,4429,640,249,216
15,15_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,898,766,157,87,69
16,16_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1398,3464,966,150,57
17,17_0,ABANDONED,SOBOL,,,,4021,2283,452,50,160
18,18_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,2472,1343,518,182,13
19,19_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,411,4115,333,116,114
20,20_0,ABANDONED,SOBOL,,,,3099,453,816,216,228
21,21_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2752,3153,287,160,83
22,22_0,ABANDONED,SOBOL,,,,132,1972,802,12,202
23,23_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,4504,1075,601,107,43
24,24_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4368,3801,917,78,30
25,25_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,1676,140,434,227,130
26,26_0,ABANDONED,SOBOL,,,,1245,2842,743,41,246
27,27_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,3554,1660,229,127,95
28,28_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3510,3976,472,215,149
29,29_0,COMPLETED,SOBOL,0.579999999999999960031971113494,3.000000000000000000000000000000,0.979999999999999982236431605997,1133,275,989,113,3
30,30_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1632,2977,174,186,123
31,31_0,ABANDONED,SOBOL,,,,4256,1835,659,21,226
32,32_0,ABANDONED,SOBOL,,,,4392,3291,858,54,206
33,33_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2082,2148,373,157,72
34,34_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,20,4914,563,80,55
35,35_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2987,2663,573,132,17
36,36_0,ABANDONED,SOBOL,,,,2360,4292,777,220,241
37,37_0,ABANDONED,SOBOL,,,,4738,590,261,73,109
38,38_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3977,4603,195,107,89
39,39_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,1285,902,711,191,189
40,40_0,ABANDONED,SOBOL,,,,854,3600,396,15,188
41,41_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3163,2457,881,161,37
42,42_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,633,2225,624,238,117
43,43_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,1449,4523,311,60,10
44,44_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,3759,665,794,147,145
45,45_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4873,4211,720,180,163
46,46_0,ABANDONED,SOBOL,,,,2249,354,237,31,60
47,47_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,495,2588,924,206,67
48,48_0,ABANDONED,SOBOL,,,,2873,1289,410,119,213
49,49_0,ABANDONED,SOBOL,,,,2526,4839,943,8,98
50,50_0,ABANDONED,SOBOL,,,,217,981,460,171,249
51,51_0,ABANDONED,SOBOL,,,,1902,3210,648,96,127
52,52_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,4595,1912,134,197,27
53,53_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4106,2897,325,230,46
54,54_0,ABANDONED,SOBOL,,,,1727,1598,839,67,177
55,55_0,ABANDONED,SOBOL,,,,3599,43,509,38,80
56,56_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,3656,4881,62,170,2
57,57_0,ABANDONED,SOBOL,,,,966,1179,547,5,153
58,58_0,ABANDONED,SOBOL,,,,1778,3325,357,200,224
59,59_0,ABANDONED,SOBOL,,,,4090,2183,873,97,124
