trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,0_0,COMPLETED,SOBOL,0.409999999999999975575093458247,143.000000000000000000000000000000,0.020000000000000000416333634234,1906,2343,168,125,20
1,1_0,COMPLETED,SOBOL,0.309999999999999997779553950750,170.000000000000000000000000000000,0.040000000000000000832667268469,2945,3285,657,210,202
2,2_0,ABANDONED,SOBOL,,,,3927,6,420,48,183
3,3_0,COMPLETED,SOBOL,0.299999999999999988897769753748,253.000000000000000000000000000000,0.020000000000000000416333634234,1218,4366,913,133,101
4,4_0,COMPLETED,SOBOL,0.320000000000000006661338147751,54.000000000000000000000000000000,0.000000000000000000000000000000,62,875,605,162,65
5,5_0,COMPLETED,SOBOL,0.320000000000000006661338147751,105.000000000000000000000000000000,0.000000000000000000000000000000,3355,1786,857,240,228
6,6_0,COMPLETED,SOBOL,0.369999999999999995559107901499,170.000000000000000000000000000000,0.020000000000000000416333634234,1816,2591,351,92,52
7,7_0,ABANDONED,SOBOL,,,,1277,468,779,27,208
8,8_0,COMPLETED,SOBOL,0.380000000000000004440892098501,267.000000000000000000000000000000,0.140000000000000013322676295502,3556,3910,273,174,10
9,9_0,ABANDONED,SOBOL,,,,4566,1882,526,72,122
10,10_0,COMPLETED,SOBOL,0.320000000000000006661338147751,91.000000000000000000000000000000,0.000000000000000000000000000000,702,1500,466,192,132
11,11_0,COMPLETED,SOBOL,0.349999999999999977795539507497,207.000000000000000000000000000000,0.040000000000000000832667268469,4155,2872,960,106,90
12,12_0,COMPLETED,SOBOL,0.320000000000000006661338147751,68.000000000000000000000000000000,0.000000000000000000000000000000,2724,1161,214,144,46
13,13_0,ABANDONED,SOBOL,,,,2425,4466,704,58,238
14,14_0,COMPLETED,SOBOL,0.320000000000000006661338147751,61.000000000000000000000000000000,0.050000000000000002775557561563,2200,989,312,243,107
15,15_0,ABANDONED,SOBOL,,,,2653,4638,802,80,173
16,16_0,ABANDONED,SOBOL,,,,925,3024,550,3,26
17,17_0,ABANDONED,SOBOL,,,,355,2061,999,35,62
18,18_0,ABANDONED,SOBOL,,,,4483,3561,490,136,222
19,19_0,ABANDONED,SOBOL,,,,3647,589,743,114,147
20,20_0,COMPLETED,SOBOL,0.289999999999999980015985556747,186.000000000000000000000000000000,0.040000000000000000832667268469,1522,3788,238,215,75
21,21_0,ABANDONED,SOBOL,,,,1569,1615,634,156,168
22,22_0,ABANDONED,SOBOL,,,,3262,2762,129,56,116
