trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,threshold,window_size
0,0_0,COMPLETED,SOBOL,0.100000000000000005551115123126,198.000000000000000000000000000000,0.000000000000000000000000000000,3594,6,0.428133176743984211753968338598,3988
1,1_0,COMPLETED,SOBOL,0.100000000000000005551115123126,190.000000000000000000000000000000,0.000000000000000000000000000000,124,23,0.838311013471335186864052957390,1849
2,2_0,COMPLETED,SOBOL,0.200000000000000011102230246252,12885.000000000000000000000000000000,0.680000000000000048849813083507,2357,9,0.216999067729338995791366073718,2993
3,3_0,FAILED,SOBOL,,,,3885,13,0.547746123282238817076006398565,229
4,4_0,COMPLETED,SOBOL,0.110000000000000000555111512313,155.000000000000000000000000000000,0.000000000000000000000000000000,4418,10,0.921449864810332641695822530892,867
5,5_0,COMPLETED,SOBOL,0.100000000000000005551115123126,189.000000000000000000000000000000,0.000000000000000000000000000000,1805,19,0.341324523894116271804932694067,3728
6,6_0,COMPLETED,SOBOL,0.110000000000000000555111512313,95.000000000000000000000000000000,0.000000000000000000000000000000,675,0,0.713985445771366356026987887162,2369
7,7_0,FAILED,SOBOL,,,,3062,23,0.054429552327841523862161920988,4605
8,8_0,COMPLETED,SOBOL,0.100000000000000005551115123126,185.000000000000000000000000000000,0.000000000000000000000000000000,2649,7,0.671021457958966505152886838914,3306
9,9_0,COMPLETED,SOBOL,0.100000000000000005551115123126,173.000000000000000000000000000000,0.000000000000000000000000000000,1130,15,0.065473462130874390818568997474,1167
10,10_0,COMPLETED,SOBOL,0.100000000000000005551115123126,234.000000000000000000000000000000,0.000000000000000000000000000000,1392,4,0.941104142686352118651882392442,4925
11,11_0,FAILED,SOBOL,,,,4872,25,0.291211546702310419831860599515,2161
12,12_0,COMPLETED,SOBOL,0.100000000000000005551115123126,174.000000000000000000000000000000,0.000000000000000000000000000000,4330,2,0.166033188363537198561914465245,1432
13,13_0,COMPLETED,SOBOL,0.100000000000000005551115123126,197.000000000000000000000000000000,0.000000000000000000000000000000,1953,21,0.566304084582254341206919434626,4293
14,14_0,FAILED,SOBOL,,,,569,12,0.440273646641522631295373457760,554
15,15_0,COMPLETED,SOBOL,0.100000000000000005551115123126,180.000000000000000000000000000000,0.000000000000000000000000000000,3191,17,0.796199689891189388291081741045,2790
16,16_0,FAILED,SOBOL,,,,3375,13,0.094818112634122375670386873026,2207
17,17_0,COMPLETED,SOBOL,0.100000000000000005551115123126,198.000000000000000000000000000000,0.000000000000000000000000000000,362,17,0.637534133911132783190112149896,4424
18,18_0,COMPLETED,SOBOL,0.160000000000000003330669073875,9051.000000000000000000000000000000,0.979999999999999982236431605997,2117,3,0.261836424784734844717348778431,740
19,19_0,COMPLETED,SOBOL,0.100000000000000005551115123126,190.000000000000000000000000000000,0.000000000000000000000000000000,4106,20,0.974621908405795656094028345251,3583
20,20_0,COMPLETED,SOBOL,0.140000000000000013322676295502,209.000000000000000000000000000000,0.000000000000000000000000000000,4823,3,0.599821723895147429495011692779,2824
21,21_0,FAILED,SOBOL,,,,1419,26,0.136658192852511989334729491929,41
22,22_0,COMPLETED,SOBOL,0.100000000000000005551115123126,181.000000000000000000000000000000,0.000000000000000000000000000000,1061,6,0.762712492249906115482360746682,3860
23,23_0,COMPLETED,SOBOL,0.100000000000000005551115123126,221.000000000000000000000000000000,0.000000000000000000000000000000,2657,16,0.469618170738220208626501062099,1701
24,24_0,COMPLETED,SOBOL,0.110000000000000000555111512313,176.000000000000000000000000000000,0.000000000000000000000000000000,2879,1,0.867899717845022622420003699517,428
25,25_0,COMPLETED,SOBOL,0.110000000000000000555111512313,6926.000000000000000000000000000000,0.130000000000000004440892098501,881,22,0.394890150085091595766328964601,2646
26,26_0,COMPLETED,SOBOL,0.100000000000000005551115123126,175.000000000000000000000000000000,0.000000000000000000000000000000,1640,11,0.518126977236941455018381930131,1269
27,27_0,COMPLETED,SOBOL,0.100000000000000005551115123126,214.000000000000000000000000000000,0.000000000000000000000000000000,4644,19,0.250272571379318797823998465901,4111
28,28_0,COMPLETED,SOBOL,0.110000000000000000555111512313,203.000000000000000000000000000000,0.000000000000000000000000000000,3936,9,0.374598139079287628661063536128,4798
29,29_0,COMPLETED,SOBOL,0.100000000000000005551115123126,180.000000000000000000000000000000,0.000000000000000000000000000000,2329,14,0.891830607229843752570275228209,2014
30,30_0,FAILED,SOBOL,,,,192,5,0.021186408556997778085406736182,3135
31,31_0,COMPLETED,SOBOL,0.100000000000000005551115123126,184.000000000000000000000000000000,0.000000000000000000000000000000,3587,24,0.743574261680245429673163926054,977
32,32_0,COMPLETED,SOBOL,0.110000000000000000555111512313,171.000000000000000000000000000000,0.000000000000000000000000000000,3496,9,0.955943621082231409502583119320,1603
33,33_0,COMPLETED,SOBOL,0.100000000000000005551115123126,193.000000000000000000000000000000,0.000000000000000000000000000000,249,14,0.311471330543980018390470831946,3761
34,34_0,COMPLETED,SOBOL,0.100000000000000005551115123126,189.000000000000000000000000000000,0.000000000000000000000000000000,2234,6,0.679514546778053007969333521032,139
35,35_0,COMPLETED,SOBOL,0.100000000000000005551115123126,183.000000000000000000000000000000,0.000000000000000000000000000000,3986,24,0.084259918142110104555264626924,2922
36,36_0,COMPLETED,SOBOL,0.110000000000000000555111512313,109.000000000000000000000000000000,0.000000000000000000000000000000,4548,0,0.459056288149207847304467122740,3487
37,37_0,COMPLETED,SOBOL,0.100000000000000005551115123126,183.000000000000000000000000000000,0.000000000000000000000000000000,1692,23,0.804688979078084232199330472213,645
38,38_0,FAILED,SOBOL,,,,791,10,0.186296786708757294848126662146,4520
39,39_0,COMPLETED,SOBOL,0.100000000000000005551115123126,185.000000000000000000000000000000,0.000000000000000000000000000000,2934,19,0.581147362610325179943515649938,2303
40,40_0,COMPLETED,SOBOL,0.100000000000000005551115123126,1140.000000000000000000000000000000,0.040000000000000000832667268469,2762,5,0.198764643995091305761491184967,1077
41,41_0,COMPLETED,SOBOL,0.100000000000000005551115123126,179.000000000000000000000000000000,0.000000000000000000000000000000,1000,25,0.538708616321906474944114506798,3235
42,42_0,COMPLETED,SOBOL,0.100000000000000005551115123126,225.000000000000000000000000000000,0.000000000000000000000000000000,1520,8,0.407443192373961204921783973987,1915
43,43_0,COMPLETED,SOBOL,0.100000000000000005551115123126,239.000000000000000000000000000000,0.000000000000000000000000000000,4757,15,0.823894127044826785066788943368,4698
44,44_0,COMPLETED,SOBOL,0.100000000000000005551115123126,184.000000000000000000000000000000,0.000000000000000000000000000000,4205,12,0.699572358977049613137921824091,4208
45,45_0,COMPLETED,SOBOL,0.100000000000000005551115123126,6033.000000000000000000000000000000,1.000000000000000000000000000000,2052,18,0.033743376884609460608643871637,1366
46,46_0,COMPLETED,SOBOL,0.110000000000000000555111512313,160.000000000000000000000000000000,0.000000000000000000000000000000,468,1,0.912408558217808640655732688174,2549
47,47_0,FAILED,SOBOL,,,,3314,21,0.323086285656318084047455840846,332
48,48_0,COMPLETED,SOBOL,0.100000000000000005551115123126,186.000000000000000000000000000000,0.000000000000000000000000000000,3247,2,0.505678344899788467792234314402,4666
49,49_0,COMPLETED,SOBOL,0.100000000000000005551115123126,179.000000000000000000000000000000,0.000000000000000000000000000000,478,20,0.227652398021891716473064093407,2429
50,50_0,COMPLETED,SOBOL,0.100000000000000005551115123126,211.000000000000000000000000000000,0.000000000000000000000000000000,2004,12,0.856893956795334865716995409457,3668
51,51_0,FAILED,SOBOL,,,,4236,17,0.378585909761488426106268434523,806
52,52_0,FAILED,SOBOL,,,,4925,7,0.004885967865586281211331964869,287
53,53_0,COMPLETED,SOBOL,0.100000000000000005551115123126,202.000000000000000000000000000000,0.000000000000000000000000000000,1296,16,0.732572315134108031919879522320,3051
54,54_0,COMPLETED,SOBOL,0.130000000000000004440892098501,625.000000000000000000000000000000,0.020000000000000000416333634234,1186,3,0.351974166089668860646355597055,1791
55,55_0,COMPLETED,SOBOL,0.190000000000000002220446049250,149.000000000000000000000000000000,0.000000000000000000000000000000,2559,26,0.879378160389140295372101263638,3930
56,56_0,COMPLETED,SOBOL,0.100000000000000005551115123126,198.000000000000000000000000000000,0.000000000000000000000000000000,3002,11,0.278685083249583853692854518158,2731
57,57_0,COMPLETED,SOBOL,0.100000000000000005551115123126,179.000000000000000000000000000000,0.000000000000000000000000000000,779,18,0.985075637178495555623669588385,494
58,58_0,FAILED,SOBOL,,,,1739,1,0.117015694022178651234611379550,4353
59,59_0,FAILED,SOBOL,,,,4518,22,0.650412972353398788349920778273,1492
60,60_0,COMPLETED,SOBOL,0.100000000000000005551115123126,198.000000000000000000000000000000,0.000000000000000000000000000000,3820,5,0.775587516188621539647840563703,2105
61,61_0,COMPLETED,SOBOL,0.100000000000000005551115123126,185.000000000000000000000000000000,0.000000000000000000000000000000,2457,25,0.491811952494084825282527617674,4869
62,62_0,COMPLETED,SOBOL,0.100000000000000005551115123126,171.000000000000000000000000000000,0.000000000000000000000000000000,62,8,0.610279267171397798996679284755,1224
63,63_0,FAILED,SOBOL,,,,3700,14,0.153510650949552657218433182607,3362
64,64_0,FAILED,SOBOL,,,,3739,10,0.573975068882107697376682153845,527
65,65_0,COMPLETED,SOBOL,0.100000000000000005551115123126,212.000000000000000000000000000000,0.000000000000000000000000000000,23,19,0.163500405408442017751724506525,2666
66,66_0,COMPLETED,SOBOL,0.140000000000000013322676295502,544.000000000000000000000000000000,0.200000000000000011102230246252,2496,0,0.780704229349270417692707724200,1562
67,67_0,COMPLETED,SOBOL,0.100000000000000005551115123126,204.000000000000000000000000000000,0.000000000000000000000000000000,3781,22,0.450634712906554324440833170229,4325
68,68_0,COMPLETED,SOBOL,0.100000000000000005551115123126,200.000000000000000000000000000000,0.000000000000000000000000000000,4479,5,0.076813071245327588232321147643,4894
69,69_0,COMPLETED,SOBOL,0.100000000000000005551115123126,213.000000000000000000000000000000,0.000000000000000000000000000000,1778,24,0.656504287453368307048151564231,2032
70,70_0,COMPLETED,SOBOL,0.170000000000000012212453270877,3220.000000000000000000000000000000,0.080000000000000001665334536938,740,9,0.287700220897793790264529434353,3430
71,71_0,COMPLETED,SOBOL,0.100000000000000005551115123126,179.000000000000000000000000000000,0.000000000000000000000000000000,3041,14,0.947796836949884924372611294530,1194
72,72_0,COMPLETED,SOBOL,0.110000000000000000555111512313,219.000000000000000000000000000000,0.000000000000000000000000000000,2519,1,0.331263702929019909770858021147,2498
73,73_0,COMPLETED,SOBOL,0.100000000000000005551115123126,181.000000000000000000000000000000,0.000000000000000000000000000000,1225,21,0.936149149976670758022123663977,4637
74,74_0,COMPLETED,SOBOL,0.100000000000000005551115123126,9074.000000000000000000000000000000,0.380000000000000004440892098501,1257,11,0.056783916154876351578550952581,840
75,75_0,COMPLETED,SOBOL,0.100000000000000005551115123126,208.000000000000000000000000000000,0.000000000000000000000000000000,4964,18,0.706988810675218681822684629878,3604
76,76_0,COMPLETED,SOBOL,0.100000000000000005551115123126,195.000000000000000000000000000000,0.000000000000000000000000000000,4275,8,0.832285069147124856314690077852,3117
77,77_0,COMPLETED,SOBOL,0.100000000000000005551115123126,170.000000000000000000000000000000,0.000000000000000000000000000000,1965,15,0.431458459990099074676805912532,256
78,78_0,COMPLETED,SOBOL,0.100000000000000005551115123126,182.000000000000000000000000000000,0.000000000000000000000000000000,517,4,0.561474717676639589747367153905,3957
