trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0_0,FAILED,SOBOL,,,,609,2042,46,684,0.763750568866729762085299171304
1,1_0,FAILED,SOBOL,,,,4590,4293,94,312,0.487144699200987796317008360347
2,2_0,FAILED,SOBOL,,,,2920,497,15,965,0.074156501887366180203464693932
3,3_0,FAILED,SOBOL,,,,1888,3324,75,93,0.678717189129442011186199579242
4,4_0,FAILED,SOBOL,,,,1755,1040,76,218,0.540189196728169895855842241872
5,5_0,FAILED,SOBOL,,,,3361,2627,36,841,0.209003059657290574113730485806
6,6_0,FAILED,SOBOL,,,,4132,1346,57,437,0.356415251109749087188305338714
7,7_0,FAILED,SOBOL,,,,749,4837,5,559,0.890806202968582483414650141640
8,8_0,COMPLETED,SOBOL,0.739999999999999991118215802999,4718.000000000000000000000000000000,1.000000000000000000000000000000,977,74,54,791,0.428039729772135613128369868718
9,9_0,FAILED,SOBOL,,,,3831,3448,7,168,0.822086517091840551785253410344
10,10_0,FAILED,SOBOL,,,,3665,2230,86,573,0.737541857609525286498808327451
11,11_0,FAILED,SOBOL,,,,1533,3778,26,449,0.016512024447321891479356636978
12,12_0,FAILED,SOBOL,,,,2326,1846,25,324,0.142841688070446254377188211038
13,13_0,FAILED,SOBOL,,,,2556,4634,65,697,0.607058682939037641546065060538
14,14_0,FAILED,SOBOL,,,,4948,931,44,43,0.956215193472802593710468954669
15,15_0,FAILED,SOBOL,,,,168,3064,96,916,0.289765156479552365986762652028
16,16_0,FAILED,SOBOL,,,,14,762,11,384,0.635857853857800359165253212268
17,17_0,FAILED,SOBOL,,,,4794,2925,51,510,0.117183377888053649740207617924
18,18_0,FAILED,SOBOL,,,,2714,1701,29,228,0.452204068819060944761645259860
19,19_0,FAILED,SOBOL,,,,2485,4460,83,854,0.798858746483921966508034984145
20,20_0,FAILED,SOBOL,,,,1373,2409,68,979,0.917890320483595090195194643456
21,21_0,FAILED,SOBOL,,,,3508,3908,22,103,0.329041826179251095663147452797
22,22_0,FAILED,SOBOL,,,,3987,209,100,636,0.228412124626338475241738024124
23,23_0,FAILED,SOBOL,,,,1129,3632,40,259,0.520490824343636582227645703824
24,24_0,FAILED,SOBOL,,,,907,1518,91,29,0.051499795177951453173381679562
25,25_0,FAILED,SOBOL,,,,4292,4980,49,907,0.702234322920441633719690344151
26,26_0,FAILED,SOBOL,,,,3208,1179,72,373,0.864749332932755354619303034269
27,27_0,FAILED,SOBOL,,,,1601,2795,18,750,0.385057149972766632473053505237
28,28_0,FAILED,SOBOL,,,,2044,314,33,625,0.270433677248656745284449698374
29,29_0,FAILED,SOBOL,,,,3072,3190,79,498,0.975744669975712852760807436425
30,30_0,FAILED,SOBOL,,,,4429,1913,2,781,0.579808506254106736932385501859
31,31_0,FAILED,SOBOL,,,,452,4115,60,154,0.170289862027391797338893297820
32,32_0,FAILED,SOBOL,,,,333,619,87,277,0.887238524008542306376057240414
33,33_0,FAILED,SOBOL,,,,4471,3378,28,651,0.360645389622077372493436087098
34,34_0,FAILED,SOBOL,,,,3035,2155,56,121,0.196665796138346199439794759201
35,35_0,FAILED,SOBOL,,,,2159,4318,9,995,0.551239701049402341936911398079
36,36_0,FAILED,SOBOL,,,,1718,1290,42,869,0.666600737405940835245132802811
37,37_0,FAILED,SOBOL,,,,3168,4713,95,246,0.085427814286202191640384739912
38,38_0,FAILED,SOBOL,,,,4330,1015,23,525,0.483797832036390873522435640552
39,39_0,FAILED,SOBOL,,,,791,2514,64,402,0.768201521962881050953342310095
40,40_0,FAILED,SOBOL,,,,1248,2285,14,140,0.303032327927649003385113246622
41,41_0,FAILED,SOBOL,,,,3946,3901,73,762,0.946092689828947230878952723288
42,42_0,COMPLETED,SOBOL,0.739999999999999991118215802999,5160.000000000000000000000000000000,1.000000000000000000000000000000,3546,100,46,483,0.609607058513909616515036304918
43,43_0,FAILED,SOBOL,,,,1258,3562,91,606,0.137590324049815526663564924092
44,44_0,FAILED,SOBOL,,,,2367,807,60,731,0.018809135401621462913013260732
45,45_0,FAILED,SOBOL,,,,2753,3009,5,359,0.732039225250482594731238350505
46,46_0,FAILED,SOBOL,,,,4755,1732,78,887,0.835102423919364844628887567524
47,47_0,FAILED,SOBOL,,,,131,4608,37,15,0.417665957789868091953877637934
48,48_0,FAILED,SOBOL,,,,285,1598,70,547,0.508440964706242115589418517629
49,49_0,FAILED,SOBOL,,,,4908,4425,17,420,0.239753839896991838287476639380
50,50_0,FAILED,SOBOL,,,,2594,628,88,828,0.325765358168631780078072779361
51,51_0,FAILED,SOBOL,,,,2209,2879,49,201,0.922407862877473228024882700993
52,52_0,COMPLETED,SOBOL,0.739999999999999991118215802999,2329.000000000000000000000000000000,1.000000000000000000000000000000,1415,244,2,76,0.795346242124214786173297397909
53,53_0,FAILED,SOBOL,,,,3706,3736,63,953,0.456485571146011348542259611349
54,54_0,FAILED,SOBOL,,,,3794,2454,34,295,0.104897481901571151818863825156
55,55_0,FAILED,SOBOL,,,,1092,4040,81,672,0.646963529061526099184220583993
56,56_0,FAILED,SOBOL,,,,631,1144,32,932,0.172638336796313518473056092262
57,57_0,FAILED,SOBOL,,,,4172,2691,84,56,0.574361048495396930846368377388
58,58_0,FAILED,SOBOL,,,,3322,1473,12,713,0.988815747685730439542339809122
59,59_0,FAILED,SOBOL,,,,1872,4847,53,337,0.260111272798851156373700632685
60,60_0,FAILED,SOBOL,,,,2007,2017,98,462,0.398394724292680635358010476921
61,61_0,FAILED,SOBOL,,,,2879,4151,39,589,0.854693421375006479046021468093
62,62_0,FAILED,SOBOL,,,,4627,447,67,181,0.704849294299259798712853353209
63,63_0,FAILED,SOBOL,,,,494,3235,20,808,0.046318830311298374302619862419
64,64_0,FAILED,SOBOL,,,,535,968,66,53,0.368914704456925368614150784197
65,65_0,FAILED,SOBOL,,,,4659,2555,24,929,0.879304231146350478987017140753
66,66_0,FAILED,SOBOL,,,,2833,1258,97,334,0.559386951770633467084792300739
67,67_0,FAILED,SOBOL,,,,1970,4749,43,711,0.188853567389771354045890916495
68,68_0,FAILED,SOBOL,,,,1830,2115,8,586,0.093453240694478148520296656443
69,69_0,FAILED,SOBOL,,,,3291,4366,54,459,0.658423028282821176659922457475
70,70_0,FAILED,SOBOL,,,,4218,584,27,805,0.776105360141024047671010066551
71,71_0,FAILED,SOBOL,,,,668,3411,85,178,0.475741711143404244488408494362
72,72_0,FAILED,SOBOL,,,,1046,1774,36,407,0.938372081663459534084381630237
73,73_0,FAILED,SOBOL,,,,3757,4562,76,535,0.310539740292355426198867007770
74,74_0,FAILED,SOBOL,,,,3747,843,4,188,0.129991779997944839619705703626
75,75_0,FAILED,SOBOL,,,,1446,2977,58,816,0.616992406764999001822502577852
76,76_0,COMPLETED,SOBOL,0.739999999999999991118215802999,11521.000000000000000000000000000000,1.000000000000000000000000000000,2256,147,93,941,0.724562509229406681576790560939
77,77_0,FAILED,SOBOL,,,,2631,3521,47,63,0.026559960309416055790343591525
78,78_0,FAILED,SOBOL,,,,4867,2317,75,659,0.410310829998925319372915510030
79,79_0,FAILED,SOBOL,,,,254,3865,16,282,0.842731660597026310810520044470
80,80_0,FAILED,SOBOL,,,,94,2499,80,752,0.247109458442777402131795838613
81,81_0,FAILED,SOBOL,,,,4709,3998,33,129,0.500811237273737774877702122467
82,82_0,FAILED,SOBOL,,,,2785,276,61,595,0.929885069653391793664809483744
83,83_0,FAILED,SOBOL,,,,2409,3699,1,473,0.318014042505994465326324416310
84,84_0,FAILED,SOBOL,,,,1294,670,50,348,0.464084605952724826849475903146
85,85_0,FAILED,SOBOL,,,,3592,2833,90,721,0.787960403118282526335747206758
86,86_0,FAILED,SOBOL,,,,3914,1635,19,4,0.654684627981856448464270670229
87,87_0,FAILED,SOBOL,,,,1206,4394,72,877,0.097389578782021993252904223937
88,88_0,FAILED,SOBOL,,,,823,405,21,646,0.566457701072096808658784539148
89,89_0,FAILED,SOBOL,,,,4372,3281,69,272,0.180693966934457411754877398380
90,90_0,FAILED,SOBOL,,,,3131,1980,40,990,0.252086337145417949123782364040
91,91_0,FAILED,SOBOL,,,,1672,4182,100,116,0.996992966054007445642071161274
92,92_0,FAILED,SOBOL,,,,2127,1427,51,241,0.846546661408618117405922021135
93,93_0,FAILED,SOBOL,,,,2993,4889,11,864,0.406206462286412717244132863925
94,94_0,FAILED,SOBOL,,,,4507,1113,82,397,0.038050006231293086178535389763
95,95_0,FAILED,SOBOL,,,,379,2729,30,521,0.712783096406608862594111997169
96,96_0,FAILED,SOBOL,,,,420,1382,6,894,0.494835564648732517678553222140
97,97_0,FAILED,SOBOL,,,,4388,4804,59,16,0.756211992640048236147265470208
98,98_0,FAILED,SOBOL,,,,3109,1081,37,738,0.686286466347053591974258779373
99,99_0,FAILED,SOBOL,,,,2090,2580,78,360,0.066739507384598259487340499163
100,100_0,FAILED,SOBOL,,,,1632,529,73,485,0.216450508844107381012378255036
101,101_0,FAILED,SOBOL,,,,3249,3288,14,612,0.532406725568696836958793028316
102,102_0,FAILED,SOBOL,,,,4255,2089,92,141,0.898131588041782391584888500802
103,103_0,FAILED,SOBOL,,,,861,4252,44,769,0.348754844063892954775241150855
104,104_0,FAILED,SOBOL,,,,1166,898,95,508,0.813848848508670896784167325677
105,105_0,FAILED,SOBOL,,,,4033,3100,42,381,0.436003289468586463506483141828
106,106_0,FAILED,SOBOL,,,,3477,1799,63,851,0.008395944094285370112862310066
107,107_0,FAILED,SOBOL,,,,1332,4675,24,225,0.745383829075843107325738401414
108,108_0,FAILED,SOBOL,,,,2448,2194,27,100,0.599064426898956337019797047105
109,109_0,FAILED,SOBOL,,,,2667,3810,88,976,0.151049139911308888395424787632
110,110_0,COMPLETED,SOBOL,0.750000000000000000000000000000,2084.000000000000000000000000000000,1.000000000000000000000000000000,4825,33,9,256,0.281892964553087932433328433035
111,111_0,FAILED,SOBOL,,,,56,3495,56,633,0.964300581200048356755871736823
112,112_0,COMPLETED,SOBOL,0.739999999999999991118215802999,2807.000000000000000000000000000000,1.000000000000000000000000000000,214,171,39,163,0.125056982593610865883704263979
113,113_0,FAILED,SOBOL,,,,4985,3663,98,786,0.627771053351461882918727042124
114,114_0,FAILED,SOBOL,,,,2514,2367,21,444,0.806854415303096206280031310598
115,115_0,FAILED,SOBOL,,,,2294,3954,66,568,0.443995204199105486519982832760
116,116_0,FAILED,SOBOL,,,,1487,1670,85,693,0.337159319311380378803022495049
117,117_0,FAILED,SOBOL,,,,3629,4497,30,319,0.910046936238184556167141181504
118,118_0,FAILED,SOBOL,,,,3873,716,53,911,0.528729905705898950429855176480
119,119_0,FAILED,SOBOL,,,,1009,2967,12,38,0.220447152150794856151350131768
120,120_0,FAILED,SOBOL,,,,708,1944,62,301,0.694910350626334549772877835494
121,121_0,FAILED,SOBOL,,,,4100,4078,3,673,0.059158789444714782179701728637
122,122_0,COMPLETED,SOBOL,0.729999999999999982236431605997,6870.000000000000000000000000000000,0.880000000000000004440892098501,3407,360,81,82,0.377611113565042622042255970882
123,123_0,FAILED,SOBOL,,,,1792,3148,34,955,0.872530391313135589292926397320
124,124_0,FAILED,SOBOL,,,,1930,1216,17,830,0.968176805537193985173871624283
125,125_0,FAILED,SOBOL,,,,2952,2764,70,207,0.277849258972331869532723658267
126,126_0,FAILED,SOBOL,,,,4544,1560,48,549,0.162600409358739844689623055274
127,127_0,FAILED,SOBOL,,,,572,4934,89,426,0.587345676207915001754145123414
128,128_0,COMPLETED,SOBOL,0.729999999999999982236431605997,4508.000000000000000000000000000000,1.000000000000000000000000000000,567,97,19,577,0.194704237878322611310366596626
129,129_0,FAILED,SOBOL,,,,4554,3588,71,451,0.557076824659481606438760081801
130,130_0,FAILED,SOBOL,,,,2943,2287,50,796,0.877481756340712348851695878693
131,131_0,FAILED,SOBOL,,,,1944,3874,90,169,0.374277722639963006390217969965
132,132_0,FAILED,SOBOL,,,,1759,1745,61,44,0.470165469275787450964543268128
133,133_0,FAILED,SOBOL,,,,3434,4572,1,920,0.777958259887993386350046876032
134,134_0,FAILED,SOBOL,,,,4069,795,80,325,0.660763584053143837593324860791
135,135_0,FAILED,SOBOL,,,,734,3046,32,702,0.087389342803508046619853644188
136,136_0,FAILED,SOBOL,,,,980,2182,82,965,0.623246745418757241985474593093
137,137_0,FAILED,SOBOL,,,,3907,4316,29,87,0.127841430766507974103873834792
138,138_0,FAILED,SOBOL,,,,3604,593,51,684,0.308877281308174156393420162203
139,139_0,FAILED,SOBOL,,,,1517,3381,11,306,0.944138530069962178536968622211
140,140_0,FAILED,SOBOL,,,,2282,978,40,432,0.837056553935632163820912410301
141,141_0,FAILED,SOBOL,,,,2521,2526,100,559,0.411820974666625261306762695312
142,142_0,FAILED,SOBOL,,,,4972,1327,21,213,0.028557998942211271914404235872
143,143_0,FAILED,SOBOL,,,,222,4701,69,840,0.718399508602917236110840804031
144,144_0,FAILED,SOBOL,,,,67,1456,26,371,0.316022182922810312977190960737
145,145_0,FAILED,SOBOL,,,,4819,4879,85,743,0.936057119501754630874756912817
146,146_0,FAILED,SOBOL,,,,2680,1160,8,27,0.506496330052614185390780221496
147,147_0,FAILED,SOBOL,,,,2440,2659,54,899,0.245604555929079648723956097456
148,148_0,FAILED,SOBOL,,,,1360,455,97,774,0.099046795612201088410131433193
149,149_0,FAILED,SOBOL,,,,3443,3213,43,151,0.648908193457871651510515675909
150,150_0,FAILED,SOBOL,,,,4059,2009,65,618,0.781697015242651116473382444383
151,151_0,FAILED,SOBOL,,,,1136,4173,25,495,0.466228776134550548793100688272
152,152_0,FAILED,SOBOL,,,,893,660,74,234,0.994673817604780241552475672506
153,153_0,FAILED,SOBOL,,,,4227,2862,16,857,0.258174512529745714406459455859
154,154_0,FAILED,SOBOL,,,,3280,1566,93,390,0.186295423191040754318237304688
155,155_0,FAILED,SOBOL,,,,1606,4442,47,514,0.564625271750614055044081851520
156,156_0,FAILED,SOBOL,,,,2096,2432,4,639,0.714585100786760407665099137375
157,157_0,FAILED,SOBOL,,,,3098,4048,58,265,0.032661773659288885485185716107
158,158_0,FAILED,SOBOL,,,,4397,266,35,983,0.400331514304503810475210912045
159,159_0,FAILED,SOBOL,,,,406,3728,77,109,0.848835381198674410185844863008
160,160_0,FAILED,SOBOL,,,,369,2261,53,478,0.068296431770548227113692973944
161,161_0,FAILED,SOBOL,,,,4512,3760,12,606,0.680656009081751056655207321455
162,162_0,FAILED,SOBOL,,,,2979,42,84,134,0.750095771731808746984881963726
163,163_0,FAILED,SOBOL,,,,2136,3465,31,762,0.496878252677619480781601168928
164,164_0,FAILED,SOBOL,,,,1645,908,20,887,0.346681727375835191384823019689
165,165_0,FAILED,SOBOL,,,,3164,3071,67,10,0.904461036352440683749875915964
166,166_0,FAILED,SOBOL,,,,4345,1868,39,731,0.538250406518578583536793757958
167,167_0,FAILED,SOBOL,,,,854,4627,98,353,0.214863159516826274231249271907
168,168_0,FAILED,SOBOL,,,,1173,479,48,122,0.747283270599320537108667394932
169,169_0,FAILED,SOBOL,,,,3943,3355,89,999,0.002864589564502239074639255989
170,170_0,FAILED,SOBOL,,,,3562,2059,16,279,0.429985933354124438832144505795
171,171_0,FAILED,SOBOL,,,,1319,4261,71,655,0.816234291616827256632404896664
172,172_0,FAILED,SOBOL,,,,2402,1353,80,530,0.962067448690533622013276726648
173,173_0,FAILED,SOBOL,,,,2797,4814,35,403,0.287818982640281328944098504508
174,174_0,FAILED,SOBOL,,,,4701,1033,62,874,0.156489152695983652074929182163
175,175_0,FAILED,SOBOL,,,,107,2649,3,247,0.597317299691960235108467713872
176,176_0,FAILED,SOBOL,,,,261,1206,92,717,0.438562322231009604767137943782
177,177_0,FAILED,SOBOL,,,,4856,2793,45,343,0.808609639964997795047452200379
178,178_0,FAILED,SOBOL,,,,2639,1491,74,936,0.630015123745426564028093707748
179,179_0,FAILED,SOBOL,,,,2243,4982,13,62,0.119135254893451933422277022601
180,180_0,FAILED,SOBOL,,,,1480,1876,38,187,0.226460217878222458409709361149
181,181_0,FAILED,SOBOL,,,,3719,4127,77,811,0.526333524713292755237148412562
182,182_0,FAILED,SOBOL,,,,3787,350,6,469,0.908139397259801639528120631439
183,183_0,FAILED,SOBOL,,,,1021,3177,59,592,0.342683543024584646996544279318
184,184_0,FAILED,SOBOL,,,,696,1699,9,821,0.866709069451317204446638697846
185,185_0,FAILED,SOBOL,,,,4186,4487,57,199,0.379221788618713639973378803916
186,186_0,FAILED,SOBOL,,,,3317,764,28,540,0.061258072288706902353006000794
187,187_0,FAILED,SOBOL,,,,1799,2897,87,417,0.688600420974195048806620889081
188,188_0,COMPLETED,SOBOL,0.729999999999999982236431605997,7774.000000000000000000000000000000,1.000000000000000000000000000000,1981,221,64,292,0.593442378457635588695495698630
189,189_0,FAILED,SOBOL,,,,2827,3595,23,665,0.160531555173918594192628006567
190,190_0,FAILED,SOBOL,,,,4673,2396,95,73,0.276269008859992004634165141397
191,191_0,FAILED,SOBOL,,,,526,3944,42,946,0.973784903714433269783512514550
192,192_0,FAILED,SOBOL,,,,480,1836,99,196,0.672631313228979732521395362710
193,193_0,FAILED,SOBOL,,,,4636,4663,41,818,0.076473410338163377852893631825
194,194_0,FAILED,SOBOL,,,,2869,861,68,414,0.488975620938464972109471773365
195,195_0,FAILED,SOBOL,,,,2013,3112,22,537,0.758150686185806943484521980281
196,196_0,FAILED,SOBOL,,,,1845,6,29,662,0.896192924238741417397591249028
197,197_0,FAILED,SOBOL,,,,3353,3498,83,289,0.354614817516878233494281857929
198,198_0,FAILED,SOBOL,,,,4144,2221,10,943,0.206716635633260009674572188487
199,199_0,FAILED,SOBOL,,,,664,3807,52,71,0.546061908429488540583918165794
200,200_0,FAILED,SOBOL,,,,1062,1069,1,331,0.010342512024566530987046419909
201,201_0,FAILED,SOBOL,,,,3819,2617,61,704,0.739531239252537497819162126689
202,202_0,FAILED,SOBOL,,,,3673,1394,33,49,0.823590149963274620326103558909
203,203_0,FAILED,SOBOL,,,,1443,4768,79,923,0.422355966120958326026624263250
204,204_0,FAILED,SOBOL,,,,2201,2092,72,798,0.295540317643433803063146569912
205,205_0,FAILED,SOBOL,,,,2607,4225,18,175,0.954559309488162366363894761889
206,206_0,FAILED,SOBOL,,,,4902,526,90,579,0.604917046464979679676332580129
207,207_0,FAILED,SOBOL,,,,297,3314,50,456,0.149102601723745453732306032180
208,208_0,FAILED,SOBOL,,,,139,382,57,988,0.801011335713788907852972442925
209,209_0,FAILED,SOBOL,,,,4742,3140,5,112,0.445947430681437273491951600590
210,210_0,FAILED,SOBOL,,,,2760,1922,76,644,0.111415362412109975043250642557
211,211_0,FAILED,SOBOL,,,,2356,4085,36,268,0.637521820425987262304090563703
212,212_0,FAILED,SOBOL,,,,1288,1528,15,393,0.518979108888655948916834859119
213,213_0,FAILED,SOBOL,,,,3521,4951,75,519,0.234088742589578041597420110520
214,214_0,FAILED,SOBOL,,,,3980,1248,47,236,0.335207063086330914192245700178
215,215_0,FAILED,SOBOL,,,,1219,2747,94,863,0.915889986084774121444240790879
216,216_0,FAILED,SOBOL,,,,817,2359,44,601,0.387369755024090434147865380510
217,217_0,FAILED,SOBOL,,,,4299,3975,96,473,0.858896125018596690026129181206
218,218_0,COMPLETED,SOBOL,0.729999999999999982236431605997,12313.000000000000000000000000000000,1.000000000000000000000000000000,3195,179,25,757,0.696869975609704872532290664822
219,219_0,FAILED,SOBOL,,,,1686,3641,65,130,0.053323539625853302870162053750
220,220_0,COMPLETED,SOBOL,0.750000000000000000000000000000,8589.000000000000000000000000000000,1.000000000000000000000000000000,2173,733,86,5,0.168435629434883604726991279676
221,221_0,FAILED,SOBOL,,,,3026,2935,26,882,0.585386021481826945844773035788
222,222_0,FAILED,SOBOL,,,,4481,1653,55,349,0.981811042089015262313012044615
223,223_0,FAILED,SOBOL,,,,328,4529,7,726,0.268090587770566324277154990341
224,224_0,FAILED,SOBOL,,,,443,836,34,845,0.549630548451095823914158700063
225,225_0,FAILED,SOBOL,,,,4443,2999,81,221,0.202485536059364673588945038318
226,226_0,FAILED,SOBOL,,,,3066,1780,3,501,0.366953034661710253416799787374
227,227_0,FAILED,SOBOL,,,,2054,4539,62,378,0.885141466291621381579091121239
228,228_0,FAILED,SOBOL,,,,1570,2334,89,253,0.770268095253035411928976827767
229,229_0,FAILED,SOBOL,,,,3234,3833,48,626,0.477703351195901626535800232887
