trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0_0,FAILED,SOBOL,,,,3288,4116,19,301,0.269269677400588991478258549250
1,1_0,COMPLETED,SOBOL,0.770000000000000017763568394003,11156.000000000000000000000000000000,1.000000000000000000000000000000,593,318,66,928,0.610827370621264020833507402131
2,2_0,FAILED,SOBOL,,,,2456,2639,41,220,0.771688579568639343442271183449
3,3_0,FAILED,SOBOL,,,,3979,1366,88,597,0.114239428814500568187817464150
4,4_0,FAILED,SOBOL,,,,4770,3595,62,703,0.246320392506197083370977907180
5,5_0,FAILED,SOBOL,,,,1292,2403,9,77,0.898869859922677316710348804918
6,6_0,FAILED,SOBOL,,,,660,4642,86,777,0.747734714863821814390121289762
7,7_0,FAILED,SOBOL,,,,2966,925,33,400,0.403287456199526772593344503548
8,8_0,FAILED,SOBOL,,,,2554,3045,78,28,0.540217054501175852898597895546
9,9_0,FAILED,SOBOL,,,,1031,1742,32,655,0.324292594520375121458499734217
10,10_0,FAILED,SOBOL,,,,1703,4033,51,447,0.044635613698512315028477104306
11,11_0,COMPLETED,SOBOL,0.750000000000000000000000000000,6486.000000000000000000000000000000,1.000000000000000000000000000000,4398,245,4,824,0.825707864927127999088440901687
12,12_0,FAILED,SOBOL,,,,4351,4715,46,977,0.938299568917602244688680457330
13,13_0,FAILED,SOBOL,,,,2046,1008,100,350,0.160116869190707805659101836682
14,14_0,FAILED,SOBOL,,,,222,3219,20,550,0.441712582595646385819065926626
15,15_0,FAILED,SOBOL,,,,3699,1997,73,174,0.662536725914105728563185948587
16,16_0,FAILED,SOBOL,,,,3462,3374,28,782,0.064823969474062326234786723944
17,17_0,FAILED,SOBOL,,,,141,2155,81,409,0.784130476109683560714813665982
18,18_0,FAILED,SOBOL,,,,1970,4866,1,740,0.567228728050366060031706183509
19,19_0,FAILED,SOBOL,,,,4119,1171,54,117,0.287589051913470006294204495134
20,20_0,FAILED,SOBOL,,,,4635,3868,96,215,0.415728822948411125270951060884
21,21_0,COMPLETED,SOBOL,0.790000000000000035527136788005,3438.000000000000000000000000000000,1.000000000000000000000000000000,1784,97,49,588,0.698318959955126050687113092863
22,22_0,FAILED,SOBOL,,,,1108,2884,71,265,0.917189900858327744614939547318
23,23_0,FAILED,SOBOL,,,,2787,1589,24,888,0.202722160756587971297548733673
24,24_0,FAILED,SOBOL,,,,3041,4489,69,508,0.869854368358850438269769256294
25,25_0,FAILED,SOBOL,,,,892,765,15,135,0.025889238787814974895873376681
26,26_0,FAILED,SOBOL,,,,1529,3447,92,966,0.374256628546863812090350620565
27,27_0,FAILED,SOBOL,,,,4850,2237,39,343,0.527349361212924083730513302726
28,28_0,FAILED,SOBOL,,,,3904,2801,12,489,0.643790888231247637740750633384
29,29_0,FAILED,SOBOL,,,,2224,1516,58,862,0.485859389031305932693527438460
30,30_0,FAILED,SOBOL,,,,357,4274,36,39,0.147248515985906130998372987051
31,31_0,FAILED,SOBOL,,,,3208,474,83,662,0.988263184687122708815820715245
32,32_0,FAILED,SOBOL,,,,3199,2536,53,892,0.378158853596076371950118755194
33,33_0,FAILED,SOBOL,,,,426,1312,6,269,0.718346135295927501474011478422
34,34_0,FAILED,SOBOL,,,,2309,4150,76,567,0.881538221547380040910013576649
35,35_0,COMPLETED,SOBOL,0.750000000000000000000000000000,8630.000000000000000000000000000000,1.000000000000000000000000000000,3753,440,29,194,0.224728539224714030098084549536
36,36_0,FAILED,SOBOL,,,,4995,4599,21,105,0.104339097695425153666803907981
