trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0_0,FAILED,SOBOL,,,,142,4274,56,907,0.696987685203552254087355777301
1,1_0,COMPLETED,SOBOL,0.719999999999999973354647408996,1567.000000000000000000000000000000,1.000000000000000000000000000000,4347,172,4,274,0.203825520779937513493607070814
2,2_0,FAILED,SOBOL,,,,2654,2781,93,574,0.465048489360138761483653979667
3,3_0,FAILED,SOBOL,,,,1845,1804,43,239,0.942601698748767424795858005382
4,4_0,FAILED,SOBOL,,,,2261,3475,22,82,0.771793693121522683675550524640
5,5_0,FAILED,SOBOL,,,,3322,1952,75,731,0.263038409801200023796496907380
6,6_0,FAILED,SOBOL,,,,4754,4482,37,431,0.001861114881932735476074980419
7,7_0,FAILED,SOBOL,,,,839,1083,86,751,0.526194921789690850388865328568
8,8_0,FAILED,SOBOL,,,,1080,3039,27,677,0.163778330657631171485277832289
9,9_0,COMPLETED,SOBOL,0.750000000000000000000000000000,10698.000000000000000000000000000000,0.989999999999999991118215802999,4668,1438,77,12,0.684225121269002589663443814061
10,10_0,FAILED,SOBOL,,,,3587,4044,14,844,0.922223077878356001235715666553
11,11_0,FAILED,SOBOL,,,,2150,567,66,476,0.417385267397388792787182865140
12,12_0,FAILED,SOBOL,,,,1324,4702,95,321,0.371129316547885557131536415909
13,13_0,FAILED,SOBOL,,,,3017,679,46,1000,0.844795509640127395556419287459
14,14_0,FAILED,SOBOL,,,,3812,3207,60,169,0.607178263535723128363486011949
15,15_0,FAILED,SOBOL,,,,520,2308,7,520,0.117933546856045720629957429537
16,16_0,RUNNING,SOBOL,,,,363,3294,80,380,0.993583531364798600016285945458
17,17_0,RUNNING,SOBOL,,,,3970,2396,31,809,0.469253771325573332262592884945
18,18_0,RUNNING,SOBOL,,,,2860,4927,69,109,0.231299713108688603790952242889
19,19_0,RUNNING,SOBOL,,,,1482,903,16,711,0.740050953278318046635320115456
20,20_0,FAILED,SOBOL,,,,1994,3819,49,618,0.537706115713343035800164670945
21,21_0,COMPLETED,SOBOL,0.739999999999999991118215802999,5780.000000000000000000000000000000,1.000000000000000000000000000000,3746,343,99,203,0.060156473591923713406526275094
22,22_0,FAILED,SOBOL,,,,4511,2952,10,904,0.297821190932765600400955463556
23,23_0,RUNNING,SOBOL,,,,1238,1350,62,286,0.790979809466749395063800420758
24,24_0,FAILED,SOBOL,,,,683,4570,1,141,0.398073421148583295181566654719
25,25_0,FAILED,SOBOL,,,,4908,1172,54,540,0.887322180978953878316417558381
26,26_0,FAILED,SOBOL,,,,3166,3700,40,371,0.626055551948025867936564736738
27,27_0,FAILED,SOBOL,,,,2415,2176,89,942,0.152385311987251054199887789764
28,28_0,FAILED,SOBOL,,,,1689,2556,72,847,0.074744752429425714845834249900
29,29_0,FAILED,SOBOL,,,,2809,1580,20,465,0.579586133895441890651056837669
30,30_0,FAILED,SOBOL,,,,4191,4186,83,634,0.840715719636529690284021398838
31,31_0,COMPLETED,SOBOL,0.719999999999999973354647408996,221.000000000000000000000000000000,1.000000000000000000000000000000,296,84,33,48,0.320265361757949007515122730183
32,32_0,FAILED,SOBOL,,,,211,2688,16,307,0.503730875393375798765305262350
33,33_0,FAILED,SOBOL,,,,4131,1789,64,877,0.026162197932600977229311567385
34,34_0,FAILED,SOBOL,,,,2699,4317,27,206,0.271873153218999519253884500358
35,35_0,COMPLETED,SOBOL,0.709999999999999964472863211995,11436.000000000000000000000000000000,1.000000000000000000000000000000,1634,295,77,605,0.765020350549370009574090545357
36,36_0,FAILED,SOBOL,,,,2467,4429,57,698,0.966908373430371281820328022150
37,37_0,FAILED,SOBOL,,,,3281,952,10,112,0.442559578051790580843771749642
38,38_0,FAILED,SOBOL,,,,4975,3558,96,783,0.197077043119817968408469255337
39,39_0,FAILED,SOBOL,,,,764,1957,45,400,0.705816862085834162421349446959
40,40_0,FAILED,SOBOL,,,,1147,3922,93,45,0.108975066296756267769652026800
41,41_0,FAILED,SOBOL,,,,4434,523,43,646,0.613827868966385747917513526772
42,42_0,FAILED,SOBOL,,,,3640,3054,54,445,0.867383293177932501727411818138
43,43_0,FAILED,SOBOL,,,,1951,1531,6,874,0.346951970638707307692527592735
44,44_0,FAILED,SOBOL,,,,1528,3202,36,968,0.424013814983889458787302828568
45,45_0,FAILED,SOBOL,,,,2960,2225,87,350,0.913273996017873290753641413176
46,46_0,FAILED,SOBOL,,,,4040,4834,25,553,0.660038376661017500701689186826
47,47_0,FAILED,SOBOL,,,,457,733,72,138,0.186387172039598231210177914363
48,48_0,FAILED,SOBOL,,,,615,4922,39,780,0.799921277191489976665650374343
49,49_0,FAILED,SOBOL,,,,3883,820,90,412,0.291185029210522750009459969078
50,50_0,FAILED,SOBOL,,,,3118,3426,4,742,0.037555246345698831134107820162
51,51_0,FAILED,SOBOL,,,,1371,2450,51,77,0.561900474457070253642143597972
52,52_0,FAILED,SOBOL,,,,2109,2830,83,233,0.733408961983397555961516900425
53,53_0,FAILED,SOBOL,,,,3483,1306,33,585,0.240265807803720227164845368861
54,54_0,FAILED,SOBOL,,,,4593,3834,70,256,0.493423503099009397310226177069
55,55_0,FAILED,SOBOL,,,,990,436,22,935,0.970988133691251253942766652472
56,56_0,FAILED,SOBOL,,,,919,3646,66,510,0.342746658930555003763629429159
57,57_0,FAILED,SOBOL,,,,4819,2044,19,174,0.816401430819183593357024619763
58,58_0,FAILED,SOBOL,,,,3436,4653,81,972,0.570764596244320299156527198647
59,59_0,FAILED,SOBOL,,,,2312,1177,30,339,0.081500844225287444322347596426
60,60_0,FAILED,SOBOL,,,,1788,4093,12,495,0.128091843072324990115973264437
61,61_0,COMPLETED,SOBOL,0.699999999999999955591079014994,1554.000000000000000000000000000000,1.000000000000000000000000000000,2543,69,60,816,0.648527212480083159462651565264
62,62_0,FAILED,SOBOL,,,,4286,2599,49,17,0.894087909415364312515350775357
