trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
0,0_0,COMPLETED,SOBOL,0.560000000000000053290705182008,16.000000000000000000000000000000,0.400000000000000022204460492503,4753,4314,0.196191671192646022170436026499,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1,1_0,COMPLETED,SOBOL,0.630000000000000004440892098501,19.000000000000000000000000000000,0.489999999999999991118215802999,978,1559,0.881061324022710312675599197973,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
2,2_0,COMPLETED,SOBOL,0.570000000000000062172489379009,19.000000000000000000000000000000,0.270000000000000017763568394003,1583,3580,0.486684926975518461489400579012,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
3,3_0,COMPLETED,SOBOL,0.609999999999999986677323704498,28.000000000000000000000000000000,0.950000000000000066613381477509,2820,709,0.684130620289593927019211605511,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
4,4_0,COMPLETED,SOBOL,0.600000000000000088817841970013,21.000000000000000000000000000000,0.729999999999999982236431605997,3216,2730,0.823029352879151687716330343392,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
5,5_0,COMPLETED,SOBOL,0.680000000000000048849813083507,64.000000000000000000000000000000,0.969999999999999973354647408996,1993,483,0.006642402684316039106204865305,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
6,6_0,COMPLETED,SOBOL,0.510000000000000008881784197001,13.000000000000000000000000000000,0.010000000000000000208166817117,136,4378,0.610502995612099752520407491829,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
7,7_0,COMPLETED,SOBOL,0.579999999999999960031971113494,23.000000000000000000000000000000,0.890000000000000013322676295502,3900,2250,0.312731308283284326066109315434,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
8,8_0,COMPLETED,SOBOL,0.589999999999999968913755310496,16.000000000000000000000000000000,0.630000000000000004440892098501,4116,3366,0.531722710911184504034565634356,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
9,9_0,COMPLETED,SOBOL,0.560000000000000053290705182008,15.000000000000000000000000000000,0.260000000000000008881784197001,390,1236,0.357918016795068960611558850360,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
10,10_0,COMPLETED,SOBOL,0.510000000000000008881784197001,14.000000000000000000000000000000,0.369999999999999995559107901499,2205,3904,0.775436642535030862255496231228,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
11,11_0,COMPLETED,SOBOL,0.600000000000000088817841970013,25.000000000000000000000000000000,0.969999999999999973354647408996,3472,1658,0.083016566582024095555247811262,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
12,12_0,COMPLETED,SOBOL,0.530000000000000026645352591004,12.000000000000000000000000000000,0.220000000000000001110223024625,2604,4906,0.410075676636770358740591291280,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
13,13_0,COMPLETED,SOBOL,0.579999999999999960031971113494,21.000000000000000000000000000000,0.450000000000000011102230246252,1331,2035,0.730983807699754795095259396476,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
14,14_0,COMPLETED,SOBOL,0.560000000000000053290705182008,12.000000000000000000000000000000,0.190000000000000002220446049250,764,2827,0.150769879957661029346027703468,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
15,15_0,COMPLETED,SOBOL,0.750000000000000000000000000000,260.000000000000000000000000000000,0.989999999999999991118215802999,4499,74,0.959102085789665603776654734247,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
16,16_0,COMPLETED,SOBOL,0.589999999999999968913755310496,16.000000000000000000000000000000,0.640000000000000013322676295502,4649,2987,0.322543646501377234692142792483,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
17,17_0,COMPLETED,SOBOL,0.709999999999999964472863211995,67.000000000000000000000000000000,1.000000000000000000000000000000,925,233,0.507128112779930195763711253676,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
18,18_0,COMPLETED,SOBOL,0.540000000000000035527136788005,14.000000000000000000000000000000,0.130000000000000004440892098501,1491,4755,0.114039452722296125175560632670,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
19,19_0,COMPLETED,SOBOL,0.540000000000000035527136788005,16.000000000000000000000000000000,0.859999999999999986677323704498,2755,1885,0.809194847455248278400574690750,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
20,20_0,COMPLETED,SOBOL,0.560000000000000053290705182008,14.000000000000000000000000000000,0.300000000000000044408920985006,3632,4054,0.697711003933101925333915005467,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
21,21_0,COMPLETED,SOBOL,0.540000000000000035527136788005,12.000000000000000000000000000000,0.800000000000000044408920985006,2357,1807,0.379541998717933870555185649209,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
22,22_0,COMPLETED,SOBOL,0.570000000000000062172489379009,13.000000000000000000000000000000,0.089999999999999996669330926125,541,3205,0.984185892142355411849052870821,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
23,23_0,COMPLETED,SOBOL,0.560000000000000053290705182008,112.000000000000000000000000000000,0.989999999999999991118215802999,4278,1077,0.186629651404917246138026598601,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
24,24_0,COMPLETED,SOBOL,0.530000000000000026645352591004,16.000000000000000000000000000000,0.340000000000000024424906541753,4061,4541,0.906541119342669898806263972801,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
25,25_0,COMPLETED,SOBOL,0.510000000000000008881784197001,9.000000000000000000000000000000,0.070000000000000006661338147751,288,2412,0.234518361276015635530356462368,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
26,26_0,COMPLETED,SOBOL,0.540000000000000035527136788005,333.000000000000000000000000000000,0.540000000000000035527136788005,2143,2577,0.651253686519339680671691894531,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
27,27_0,COMPLETED,SOBOL,0.680000000000000048849813083507,66.000000000000000000000000000000,0.969999999999999973354647408996,3378,331,0.458618282945826627461372027028,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
28,28_0,COMPLETED,SOBOL,0.510000000000000008881784197001,12.000000000000000000000000000000,0.500000000000000000000000000000,2971,3733,0.034223645560443403945694029744,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
29,29_0,COMPLETED,SOBOL,0.570000000000000062172489379009,42.000000000000000000000000000000,0.940000000000000057731597280508,1745,861,0.855417078427970434262306298479,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
30,30_0,COMPLETED,SOBOL,0.550000000000000044408920985006,13.000000000000000000000000000000,0.100000000000000005551115123126,1139,4151,0.273915413696318887915026607516,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
31,31_0,COMPLETED,SOBOL,0.609999999999999986677323704498,31.000000000000000000000000000000,0.940000000000000057731597280508,4905,1398,0.584537799138575842050613573520,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
32,32_0,COMPLETED,SOBOL,0.560000000000000053290705182008,18.000000000000000000000000000000,0.709999999999999964472863211995,4978,3482,0.757613357964903144647905719467,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
33,33_0,COMPLETED,SOBOL,0.640000000000000013322676295502,36.000000000000000000000000000000,0.979999999999999982236431605997,1241,649,0.070109217885881661147529086975,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
34,34_0,COMPLETED,SOBOL,0.560000000000000053290705182008,14.000000000000000000000000000000,0.149999999999999994448884876874,1808,4252,0.548987308271229212941477726417,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
35,35_0,COMPLETED,SOBOL,0.630000000000000004440892098501,23.000000000000000000000000000000,0.979999999999999982236431605997,3083,1459,0.372297748990356947018653954729,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
36,36_0,COMPLETED,SOBOL,0.540000000000000035527136788005,12.000000000000000000000000000000,0.280000000000000026645352591004,3305,4480,0.136851754741743214527360805732,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
37,37_0,COMPLETED,SOBOL,0.530000000000000026645352591004,12.000000000000000000000000000000,0.690000000000000057731597280508,2040,2312,0.942350490825250797222167875589,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
38,38_0,COMPLETED,SOBOL,0.570000000000000062172489379009,12.000000000000000000000000000000,0.059999999999999997779553950750,225,2789,0.423448439380154029176850372096,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
39,39_0,COMPLETED,SOBOL,0.670000000000000039968028886506,78.000000000000000000000000000000,0.979999999999999982236431605997,3948,583,0.749316287597641350615162991744,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
40,40_0,COMPLETED,SOBOL,0.540000000000000035527136788005,23.000000000000000000000000000000,0.690000000000000057731597280508,4361,3803,0.469396561466157435926760399525,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
41,41_0,COMPLETED,SOBOL,0.589999999999999968913755310496,21.000000000000000000000000000000,0.300000000000000044408920985006,594,1595,0.669713676236569854793856393371,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
42,42_0,COMPLETED,SOBOL,0.530000000000000026645352591004,10.000000000000000000000000000000,0.410000000000000031086244689504,2450,3305,0.213987332213670028435714698389,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
43,43_0,COMPLETED,SOBOL,0.600000000000000088817841970013,34.000000000000000000000000000000,0.959999999999999964472863211995,3676,1138,0.893935453820973613403566560009,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
44,44_0,COMPLETED,SOBOL,0.540000000000000035527136788005,17.000000000000000000000000000000,0.670000000000000039968028886506,2672,2926,0.597150127029046462467931633000,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
45,45_0,COMPLETED,SOBOL,0.719999999999999973354647408996,126.000000000000000000000000000000,1.000000000000000000000000000000,1438,132,0.294439780389890048972745262290,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
46,46_0,COMPLETED,SOBOL,0.530000000000000026645352591004,14.000000000000000000000000000000,0.070000000000000006661338147751,832,4968,0.836963751079514595154762446327,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
47,47_0,COMPLETED,SOBOL,0.619999999999999995559107901499,20.000000000000000000000000000000,0.900000000000000022204460492503,4605,2136,0.023438704671338201485086827347,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
48,48_0,COMPLETED,SOBOL,0.530000000000000026645352591004,15.000000000000000000000000000000,0.369999999999999995559107901499,4445,4806,0.634489774351939539442923887691,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
49,49_0,COMPLETED,SOBOL,0.570000000000000062172489379009,22.000000000000000000000000000000,0.289999999999999980015985556747,681,1974,0.444712467497214658518345231641,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
50,50_0,COMPLETED,SOBOL,0.579999999999999960031971113494,19.000000000000000000000000000000,0.220000000000000001110223024625,1287,3078,0.924861170502379481561661123123,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
51,51_0,COMPLETED,SOBOL,0.650000000000000022204460492503,43.000000000000000000000000000000,0.979999999999999982236431605997,2511,286,0.247903560193255545485158108932,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
52,52_0,COMPLETED,SOBOL,0.579999999999999960031971113494,15.000000000000000000000000000000,0.560000000000000053290705182008,3525,3154,0.261012760631740114991572454528,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
53,53_0,COMPLETED,SOBOL,0.619999999999999995559107901499,19.000000000000000000000000000000,0.989999999999999991118215802999,2288,985,0.566709811501204918648966213368,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
54,54_0,COMPLETED,SOBOL,0.530000000000000026645352591004,11.000000000000000000000000000000,0.070000000000000006661338147751,433,3965,0.048608199793845417724380553182,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
55,55_0,COMPLETED,SOBOL,0.600000000000000088817841970013,27.000000000000000000000000000000,0.890000000000000013322676295502,4208,1758,0.872676861185580521329541170417,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
56,56_0,COMPLETED,SOBOL,0.579999999999999960031971113494,18.000000000000000000000000000000,0.760000000000000008881784197001,3798,2629,0.095735496090725069606719443982,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
57,57_0,COMPLETED,SOBOL,0.560000000000000053290705182008,12.000000000000000000000000000000,0.140000000000000013322676295502,63,422,0.795854415046051144599914550781,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
58,58_0,COMPLETED,SOBOL,0.540000000000000035527136788005,19.000000000000000000000000000000,0.160000000000000003330669073875,1880,4629,0.339327631285414099693298339844,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
59,59_0,COMPLETED,SOBOL,0.570000000000000062172489379009,14.000000000000000000000000000000,0.680000000000000048849813083507,3153,2462,0.521074820747599032344510305848,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
60,60_0,COMPLETED,SOBOL,0.570000000000000062172489379009,14.000000000000000000000000000000,0.250000000000000000000000000000,2922,4102,0.969773770127445478017591540265,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
61,61_0,COMPLETED,SOBOL,0.579999999999999960031971113494,32.000000000000000000000000000000,0.910000000000000031086244689504,1656,1308,0.169336471293121570980133583362,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
62,62_0,COMPLETED,SOBOL,0.530000000000000026645352591004,18.000000000000000000000000000000,0.179999999999999993338661852249,1090,3641,0.710589829362928915301722554432,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
63,63_0,COMPLETED,SOBOL,0.609999999999999986677323704498,45.000000000000000000000000000000,0.950000000000000066613381477509,4816,809,0.397332952953875051527177220123,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
64,64_0,COMPLETED,SOBOL,0.600000000000000088817841970013,24.000000000000000000000000000000,0.859999999999999986677323704498,4785,2742,0.723541028119623619296874039719,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
65,65_0,COMPLETED,SOBOL,0.600000000000000088817841970013,41.000000000000000000000000000000,0.959999999999999964472863211995,1048,613,0.418036234177649013155075863324,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
66,66_0,COMPLETED,SOBOL,0.530000000000000026645352591004,15.000000000000000000000000000000,0.140000000000000013322676295502,1694,4528,0.967131159398704753904496556061,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
67,67_0,COMPLETED,SOBOL,0.609999999999999986677323704498,15.000000000000000000000000000000,0.820000000000000062172489379009,2968,2281,0.143258562002331030216240037589,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
68,68_0,COMPLETED,SOBOL,0.550000000000000044408920985006,13.000000000000000000000000000000,0.270000000000000017763568394003,3185,4282,0.350315275302156781123130713240,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
