trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
0,0_0,COMPLETED,SOBOL,0.149999999999999994448884876874,1472.000000000000000000000000000000,0.369999999999999995559107901499,1402,3730,0.865040464878082282496052357601,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
1,1_0,COMPLETED,SOBOL,0.130000000000000004440892098501,1063.000000000000000000000000000000,1.000000000000000000000000000000,2576,2105,0.459050213199108825268268674336,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
2,2_0,COMPLETED,SOBOL,0.170000000000000012212453270877,1317.000000000000000000000000000000,1.000000000000000000000000000000,4079,3917,0.690302901573479177343983792525,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
3,3_0,COMPLETED,SOBOL,0.260000000000000008881784197001,1078.000000000000000000000000000000,0.690000000000000057731597280508,402,582,0.094767795391380790781532539313,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
4,4_0,COMPLETED,SOBOL,0.100000000000000005551115123126,1054.000000000000000000000000000000,0.170000000000000012212453270877,811,4713,0.267043738910928363239349891955,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
5,5_0,COMPLETED,SOBOL,0.369999999999999995559107901499,1724.000000000000000000000000000000,1.000000000000000000000000000000,4646,704,0.924498900482431107406000592164,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
6,6_0,COMPLETED,SOBOL,0.200000000000000011102230246252,1101.000000000000000000000000000000,1.000000000000000000000000000000,3730,2642,0.162023200800642364072245982243,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
7,7_0,COMPLETED,SOBOL,0.119999999999999995559107901499,1065.000000000000000000000000000000,1.000000000000000000000000000000,2397,1611,0.506093384077772490137192562543,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
8,8_0,COMPLETED,SOBOL,0.029999999999999998889776975375,1306.000000000000000000000000000000,0.479999999999999982236431605997,2099,4343,0.247167362866923201458746461867,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
9,9_0,COMPLETED,SOBOL,0.470000000000000028865798640254,3456.000000000000000000000000000000,1.000000000000000000000000000000,3422,217,0.593455163178965405812448352663,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
10,10_0,COMPLETED,SOBOL,0.190000000000000002220446049250,1348.000000000000000000000000000000,1.000000000000000000000000000000,4925,3284,0.321992179336026307368001653231,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
11,11_0,COMPLETED,SOBOL,0.170000000000000012212453270877,1399.000000000000000000000000000000,0.450000000000000011102230246252,1099,2450,0.977732256831601254098984554730,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
12,12_0,COMPLETED,SOBOL,0.040000000000000000832667268469,1567.000000000000000000000000000000,0.040000000000000000832667268469,104,2850,0.650950136989355110372912349703,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
13,13_0,COMPLETED,SOBOL,0.289999999999999980015985556747,971.000000000000000000000000000000,1.000000000000000000000000000000,3771,1341,0.057126307815313338844820378881,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
14,14_0,COMPLETED,SOBOL,0.100000000000000005551115123126,1521.000000000000000000000000000000,0.630000000000000004440892098501,2855,4524,0.795488113958388587398928848415,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
15,15_0,COMPLETED,SOBOL,0.320000000000000006661338147751,1292.000000000000000000000000000000,1.000000000000000000000000000000,1690,993,0.387284065324813131514503083963,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
16,16_0,COMPLETED,SOBOL,0.149999999999999994448884876874,1469.000000000000000000000000000000,0.369999999999999995559107901499,1756,4670,0.622239561261609175346620759228,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
17,17_0,COMPLETED,SOBOL,0.270000000000000017763568394003,924.000000000000000000000000000000,1.000000000000000000000000000000,3077,1140,0.217469011964276426329689684280,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
18,18_0,COMPLETED,SOBOL,0.200000000000000011102230246252,1441.000000000000000000000000000000,1.000000000000000000000000000000,4037,2997,0.945041569171473416766104946873,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
19,19_0,COMPLETED,SOBOL,0.080000000000000001665334536938,1075.000000000000000000000000000000,0.140000000000000013322676295502,214,1489,0.355596343932673308874115036815,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
20,20_0,COMPLETED,SOBOL,0.149999999999999994448884876874,874.000000000000000000000000000000,0.350000000000000033306690738755,1092,3139,0.027413241703063251364369534713,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
21,21_0,COMPLETED,SOBOL,0.230000000000000009992007221626,1326.000000000000000000000000000000,1.000000000000000000000000000000,4761,2303,0.679749324638396545950058680319,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
22,22_0,COMPLETED,SOBOL,0.119999999999999995559107901499,1202.000000000000000000000000000000,0.750000000000000000000000000000,3136,4197,0.420902945131063466188692245851,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
23,23_0,FAILED,SOBOL,,,,1969,70,0.762782636731862973000772853993,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
24,24_0,COMPLETED,SOBOL,0.059999999999999997779553950750,1321.000000000000000000000000000000,0.810000000000000053290705182008,2287,2807,0.491673537321388742782346525928,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
25,25_0,COMPLETED,SOBOL,0.239999999999999991118215802999,1271.000000000000000000000000000000,1.000000000000000000000000000000,3464,1777,0.831381296701729333165076241130,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
26,26_0,COMPLETED,SOBOL,0.140000000000000013322676295502,879.000000000000000000000000000000,0.900000000000000022204460492503,4424,4879,0.066035056691616772495123655062,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
27,27_0,COMPLETED,SOBOL,0.270000000000000017763568394003,1135.000000000000000000000000000000,0.849999999999999977795539507497,745,871,0.720070995431393412467002690391,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
