trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
0,0_0,COMPLETED,SOBOL,0.579999999999999960031971113494,2244.000000000000000000000000000000,0.000000000000000000000000000000,2852,423,0.984554616332054099991921702895,0.076728305429220197697581795637,str\(\'intersection\'\),0.082181597352027901948190447001,True
1,1_0,COMPLETED,SOBOL,0.579999999999999960031971113494,1763.000000000000000000000000000000,0.000000000000000000000000000000,516,3790,0.110873198211193083051462338062,0.618326436435803761249019316892,str\(\'kl\'\),0.028093312224373223617845951594,False
2,2_0,FAILED,SOBOL,,,,1564,2409,0.625515801554545780582827774197,0.478116687603294843178503015224,str\(\'kl\'\),0.044217277523130184280208965220,True
3,3_0,COMPLETED,SOBOL,0.579999999999999960031971113494,498.000000000000000000000000000000,0.000000000000000000000000000000,4288,3422,0.251812833337113239906557282666,0.965196443011984261950431118748,str\(\'intersection\'\),0.066055583013221633170708457783,False
4,4_0,COMPLETED,SOBOL,0.579999999999999960031971113494,596.000000000000000000000000000000,0.000000000000000000000000000000,4423,1346,0.205102453727275146899700075664,0.758498621145263340892483938660,str\(\'intersection\'\),0.088928777528926736262171459657,True
5,5_0,COMPLETED,SOBOL,0.579999999999999960031971113494,3825.000000000000000000000000000000,0.000000000000000000000000000000,2069,2828,0.828422489281743779088174051140,0.310806128155440120064412212741,str\(\'kl\'\),0.020772107299417259806961766344,False
6,6_0,COMPLETED,SOBOL,0.579999999999999960031971113494,2495.000000000000000000000000000000,0.000000000000000000000000000000,696,823,0.406985504927113661555182488883,0.668621771806851006303418216703,str\(\'kl\'\),0.036904688021168113865044801969,True
7,7_0,COMPLETED,SOBOL,0.579999999999999960031971113494,729.000000000000000000000000000000,0.010000000000000000208166817117,3282,4969,0.532276350224390570886612294998,0.150941362526267774946120425739,str\(\'intersection\'\),0.072799619305878873753989921624,False
8,8_0,COMPLETED,SOBOL,0.579999999999999960031971113494,5183.000000000000000000000000000000,0.000000000000000000000000000000,3449,2094,0.489304890483617804797233930003,0.366467160413041725952609795058,str\(\'kl\'\),0.060463742073625335871067676408,True
9,9_0,COMPLETED,SOBOL,0.579999999999999960031971113494,690.000000000000000000000000000000,0.000000000000000000000000000000,1154,3736,0.613630644075572440065968748968,0.813969826083630332291818376689,str\(\'intersection\'\),0.049963796092197303166937416563,False
10,10_0,COMPLETED,SOBOL,0.640000000000000013322676295502,629.000000000000000000000000000000,0.369999999999999995559107901499,2215,118,0.130509731767699116433689709993,0.206419536555185911819165767156,str\(\'intersection\'\),0.022502229679375887472225770125,True
11,11_0,COMPLETED,SOBOL,0.579999999999999960031971113494,3676.000000000000000000000000000000,0.000000000000000000000000000000,4903,4095,0.754813894366845539174448731501,0.724275597032159601518230829242,str\(\'kl\'\),0.087928709527477624807723088907,False
12,12_0,COMPLETED,SOBOL,0.579999999999999960031971113494,4560.000000000000000000000000000000,0.000000000000000000000000000000,3810,1142,0.707837109234184080897023250145,0.549176553748548013089703090372,str\(\'kl\'\),0.067076318105682736225858775470,True
13,13_0,COMPLETED,SOBOL,0.609999999999999986677323704498,542.000000000000000000000000000000,0.010000000000000000208166817117,1419,4649,0.333165242243558146206794390309,0.007510429030284285385754561304,str\(\'intersection\'\),0.042518973518162972435874280563,False
14,14_0,COMPLETED,SOBOL,0.579999999999999960031971113494,1314.000000000000000000000000000000,0.000000000000000000000000000000,58,1656,0.909963790470734279480780060112,0.895985528267919995037971148122,str\(\'intersection\'\),0.015049585951492191332468095766,True
15,15_0,COMPLETED,SOBOL,0.579999999999999960031971113494,1087.000000000000000000000000000000,0.000000000000000000000000000000,2685,2518,0.037262718351557852503042056469,0.408959601601585731600607687142,str\(\'kl\'\),0.094543677922338253960532483688,False
16,16_0,COMPLETED,SOBOL,0.579999999999999960031971113494,463.000000000000000000000000000000,0.000000000000000000000000000000,2637,1737,0.591661491407081463478334626416,0.640417217301204821922055998584,str\(\'intersection\'\),0.039867999916896219858575278749,False
17,17_0,COMPLETED,SOBOL,0.579999999999999960031971113494,7537.000000000000000000000000000000,0.000000000000000000000000000000,262,2746,0.468436932196840627451450700391,0.161599126342684029644658494362,str\(\'kl\'\),0.070055531058460462912051980311,True
18,18_0,COMPLETED,SOBOL,0.579999999999999960031971113494,559.000000000000000000000000000000,0.000000000000000000000000000000,1389,1060,0.796190542146563484671162314044,0.800343892397359035761894574534,str\(\'kl\'\),0.097517762659117587786816727657,False
19,19_0,COMPLETED,SOBOL,0.579999999999999960031971113494,1010.000000000000000000000000000000,0.000000000000000000000000000000,3995,4421,0.171045969314873230748830224002,0.251414095956832173150985454413,str\(\'intersection\'\),0.012403697650879622754738207391,True
20,20_0,COMPLETED,SOBOL,0.579999999999999960031971113494,477.000000000000000000000000000000,0.029999999999999998889776975375,4794,190,0.373584399441257097862489899853,0.457708770155906663479328244648,str\(\'intersection\'\),0.052591339927166705359162790501,False
21,21_0,FAILED,SOBOL,,,,2479,4333,0.749361267881467951745833033783,0.968057569770142456455630508572,str\(\'kl\'\),0.057461269674822693098725778782,True
22,22_0,COMPLETED,SOBOL,0.579999999999999960031971113494,846.000000000000000000000000000000,0.000000000000000000000000000000,1028,2022,0.016285290133208035756595677412,0.110776943340897562895186467813,str\(\'kl\'\),0.084931365344673395711971863875,False
23,23_0,COMPLETED,SOBOL,0.579999999999999960031971113494,1354.000000000000000000000000000000,0.000000000000000000000000000000,3731,3498,0.888134530816227174554455814359,0.566731041295453930040082468622,str\(\'intersection\'\),0.025124688213691119542669838438,True
24,24_0,COMPLETED,SOBOL,0.570000000000000062172489379009,1054.000000000000000000000000000000,0.010000000000000000208166817117,3273,751,0.088865974863991142873587136819,0.916515249580144852892260587396,str\(\'kl\'\),0.017798474011942747030623479532,False
25,25_0,COMPLETED,SOBOL,0.579999999999999960031971113494,1973.000000000000000000000000000000,0.000000000000000000000000000000,862,4731,0.963633333070203712544810059626,0.405976641235873125790334370322,str\(\'intersection\'\),0.091574174147099257625725954313,True
26,26_0,COMPLETED,SOBOL,0.579999999999999960031971113494,476.000000000000000000000000000000,0.000000000000000000000000000000,2000,1418,0.293151410438120374468695672476,0.515006100818514833683536835451,str\(\'intersection\'\),0.075450916951522228881543696843,False
27,27_0,FAILED,SOBOL,,,,4649,3066,0.665998740151524493136037108343,0.059227672649547459526875314850,str\(\'kl\'\),0.033925196621567010879516601562,True
28,28_0,COMPLETED,SOBOL,0.579999999999999960031971113494,2247.000000000000000000000000000000,0.000000000000000000000000000000,4141,2327,0.868773119257763015710338549979,0.234745894925668829866793885230,str\(\'kl\'\),0.031090377960354090292049988875,False
29,29_0,COMPLETED,SOBOL,0.579999999999999960031971113494,660.000000000000000000000000000000,0.000000000000000000000000000000,1868,3194,0.246542856881394989443379017757,0.713495999608188880003467602364,str\(\'intersection\'\),0.079559463029727342520125432657,True
30,30_0,COMPLETED,SOBOL,0.579999999999999960031971113494,482.000000000000000000000000000000,0.000000000000000000000000000000,429,504,0.511230394784361164006725175568,0.324500070424750430841953630079,str\(\'intersection\'\),0.063427547495812183764307690126,False
31,31_0,COMPLETED,SOBOL,0.579999999999999960031971113494,9060.000000000000000000000000000000,0.000000000000000000000000000000,3095,4018,0.385072489779442528323727401585,0.873483706761151501574147459905,str\(\'kl\'\),0.047220201371237641163602916095,True
32,32_0,COMPLETED,SOBOL,0.579999999999999960031971113494,526.000000000000000000000000000000,0.000000000000000000000000000000,2976,2465,0.149294089058414097825888688931,0.593523941354826112259956971684,str\(\'intersection\'\),0.032764635290950541723908884251,False
33,33_0,FAILED,SOBOL,,,,386,3326,0.774572385149076558796821245778,0.105461724493652583833913638500,str\(\'kl\'\),0.077113586468622097314096208720,True
34,34_0,COMPLETED,SOBOL,0.579999999999999960031971113494,526.000000000000000000000000000000,0.000000000000000000000000000000,1753,333,0.478363632094115032167280787689,0.994910059364512600055263646937,str\(\'kl\'\),0.093240620214492087036717293813,False
35,35_0,COMPLETED,SOBOL,0.579999999999999960031971113494,1164.000000000000000000000000000000,0.000000000000000000000000000000,4105,3841,0.601714300427585890851389649470,0.452329946506768443281742975159,str\(\'intersection\'\),0.016641002586111425243231565219,True
36,36_0,COMPLETED,SOBOL,0.579999999999999960031971113494,628.000000000000000000000000000000,0.010000000000000000208166817117,4606,927,0.929249189866706681861785455112,0.277294009834527954705407637448,str\(\'intersection\'\),0.048347199549898509096657051032,False
37,37_0,COMPLETED,SOBOL,0.579999999999999960031971113494,2348.000000000000000000000000000000,0.000000000000000000000000000000,1881,4903,0.057525106539949778794440504726,0.795941652296111024078584250674,str\(\'kl\'\),0.061753463167697197899741468063,True
38,38_0,COMPLETED,SOBOL,0.579999999999999960031971113494,650.000000000000000000000000000000,0.000000000000000000000000000000,825,1284,0.696422283574938738581749930745,0.187415375933051103762849720624,str\(\'kl\'\),0.077882975442335009019778624406,False
39,39_0,COMPLETED,SOBOL,0.579999999999999960031971113494,768.000000000000000000000000000000,0.000000000000000000000000000000,3157,2928,0.320778186626732353392554841776,0.636074626220390237918422826624,str\(\'intersection\'\),0.032215659525245431138440466157,True
40,40_0,FAILED,SOBOL,,,,3617,13,0.652051735686138278502710363682,0.847674197614192936889310203696,str\(\'kl\'\),0.010740427989512682169226387430,False
41,41_0,COMPLETED,SOBOL,0.579999999999999960031971113494,712.000000000000000000000000000000,0.000000000000000000000000000000,991,4161,0.279321949193254093213312216903,0.328835675684735206925068951023,str\(\'intersection\'\),0.098677548160776507035762961095,True
42,42_0,COMPLETED,SOBOL,0.579999999999999960031971113494,769.000000000000000000000000000000,0.000000000000000000000000000000,2359,2155,0.981364968243986335316719760158,0.687624551251530657935973067652,str\(\'intersection\'\),0.071213599946349848135440652186,False
43,43_0,COMPLETED,SOBOL,0.579999999999999960031971113494,1690.000000000000000000000000000000,0.000000000000000000000000000000,4754,3636,0.106707539122551681165518289163,0.239139900011941797242087659470,str\(\'kl\'\),0.038202326996251943780347204438,True
44,44_0,COMPLETED,SOBOL,0.579999999999999960031971113494,1108.000000000000000000000000000000,0.010000000000000000208166817117,3958,1600,0.433991191824898148166056444097,0.032383358584716914752021921231,str\(\'kl\'\),0.026798172397539024580659372532,False
45,45_0,COMPLETED,SOBOL,0.579999999999999960031971113494,1185.000000000000000000000000000000,0.000000000000000000000000000000,1275,2613,0.560259977681562326701225629222,0.520376518432050905182961741957,str\(\'intersection\'\),0.083803591337054977872256245064,True
46,46_0,COMPLETED,SOBOL,0.579999999999999960031971113494,453.000000000000000000000000000000,0.000000000000000000000000000000,221,1233,0.201407975055277355114213833076,0.379190786482766273302047466132,str\(\'intersection\'\),0.056336585571989422627225962970,False
47,47_0,FAILED,SOBOL,,,,2517,4598,0.823756732419133164135871538747,0.921823668498545911731412161316,str\(\'kl\'\),0.054268600661307578314485056126,True
48,48_0,COMPLETED,SOBOL,0.579999999999999960031971113494,634.000000000000000000000000000000,0.000000000000000000000000000000,2800,1004,0.304138803500682119995701668813,0.128023090921342369563618035500,str\(\'intersection\'\),0.086427143542096018791198730469,True
