trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
0,0_0,COMPLETED,SOBOL,0.520000000000000017763568394003,11.000000000000000000000000000000,0.000000000000000000000000000000,1778,4293,0.144182796508073807206784522350,0.087108008295297620349195710787,str\(\'intersection\'\),0.040716086328029636731695717344,True
1,1_0,COMPLETED,SOBOL,0.520000000000000017763568394003,18.000000000000000000000000000000,0.000000000000000000000000000000,3729,2124,0.777002659827470743003630104795,0.588271987127140127959989968076,str\(\'kl\'\),0.070466773547232158803055313001,False
2,2_0,COMPLETED,SOBOL,0.520000000000000017763568394003,21.000000000000000000000000000000,0.000000000000000000000000000000,4005,3553,0.326030171526595968778394762921,0.439589049212634586094594624228,str\(\'kl\'\),0.078379031559452416733080326594,True
3,3_0,COMPLETED,SOBOL,0.520000000000000017763568394003,17.000000000000000000000000000000,0.000000000000000000000000000000,803,56,0.690714412521570952918636976392,0.937387658121064282212842044828,str\(\'intersection\'\),0.031841321634128692819043493500,False
4,4_0,COMPLETED,SOBOL,0.520000000000000017763568394003,16.000000000000000000000000000000,0.000000000000000000000000000000,261,2957,0.934583980351686438581282345694,0.766603739447891729952289097128,str\(\'intersection\'\),0.044171045795083054008589584782,True
5,5_0,COMPLETED,SOBOL,0.520000000000000017763568394003,18.000000000000000000000000000000,0.000000000000000000000000000000,4556,632,0.050911655241623519907445682975,0.269288209902122599448404116629,str\(\'kl\'\),0.065396942365914589867514905563,False
6,6_0,COMPLETED,SOBOL,0.520000000000000017763568394003,26.000000000000000000000000000000,0.000000000000000000000000000000,3022,4868,0.595942573618143844882411030994,0.636287962369620818670057360578,str\(\'kl\'\),0.096105745071545248259248239719,True
7,7_0,COMPLETED,SOBOL,0.520000000000000017763568394003,13.000000000000000000000000000000,0.000000000000000000000000000000,2476,1528,0.481119052303954963800691757569,0.134632330836728209000341394130,str\(\'intersection\'\),0.012916872380301357495224756633,False
8,8_0,COMPLETED,SOBOL,0.520000000000000017763568394003,36.000000000000000000000000000000,0.000000000000000000000000000000,1907,3130,0.516080980330705596514917488093,0.370710149638354802270612253778,str\(\'kl\'\),0.024172913134098056309184698875,True
9,9_0,COMPLETED,SOBOL,0.520000000000000017763568394003,13.000000000000000000000000000000,0.000000000000000000000000000000,2608,454,0.405152063423767694327892741057,0.868022405626252324672975646536,str\(\'intersection\'\),0.084861079398542649254721936813,False
